"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050"
"GCAM 7.1","Reference","EU-12","Agricultural Demand","million t DM/yr",194.8675436,188.9077729056,188.829033497,198.627245659,204.25751403,207.955752986,210.596100584,214.652285029,220.578827309,226.021468931
"GCAM 7.1","Reference","EU-15","Agricultural Demand","million t DM/yr",778.5559588,843.1217764,896.1859449,927.3459385,947.5355257,964.4108166,979.5296163,1010.5429101,1066.5543082,1120.686132
"GCAM 7.1","Reference","World","Agricultural Demand","million t DM/yr",973.4235024,1032.0295493056,1085.014978397,1125.973184159,1151.79303973,1172.366569586,1190.125716884,1225.195195129,1287.133135509,1346.707600931
"GCAM 7.1","Reference","EU-12","Agricultural Demand|Crops","million t DM/yr",186.1210119,175.8001610056,171.664478897,181.441641259,187.10976033,190.910042786,193.719571884,197.978467029,204.120854309,209.793290731
"GCAM 7.1","Reference","EU-15","Agricultural Demand|Crops","million t DM/yr",740.870096,782.1799386,810.7910049,840.2804285,858.9260457,874.3660966,888.1428063,917.8765101,972.7290082,1025.910612
"GCAM 7.1","Reference","World","Agricultural Demand|Crops","million t DM/yr",926.9911079,957.9800996056,982.455483797,1021.722069759,1046.03580603,1065.276139386,1081.862378184,1115.854977129,1176.849862509,1235.703902731
"GCAM 7.1","Reference","EU-12","Agricultural Demand|Crops|Energy","million t DM/yr",0.4553754,7.68468,8.20439,11.38611,11.59661,10.94375,10.61851,13.16762,18.76255,24.23309
"GCAM 7.1","Reference","EU-15","Agricultural Demand|Crops|Energy","million t DM/yr",14.96868,53.82655,55.76533,63.413,61.4444,55.71416,49.26446,62.37799,105.78372,148.1708
"GCAM 7.1","Reference","World","Agricultural Demand|Crops|Energy","million t DM/yr",15.4240554,61.51123,63.96972,74.79911,73.04101,66.65791,59.88297,75.54561,124.54627,172.40389
"GCAM 7.1","Reference","EU-12","Agricultural Demand|Crops|Feed","million t DM/yr",53.9681684,49.35493,49.4814446,53.14205683,56.70827426,59.99534316,62.66563073,64.41191158,65.36476083,66.24372933
"GCAM 7.1","Reference","EU-15","Agricultural Demand|Crops|Feed","million t DM/yr",180.37992,186.5594504,205.5625233,213.4213926,221.446377,230.5852589,239.3080324,244.7653914,245.9720382,247.8718264
"GCAM 7.1","Reference","World","Agricultural Demand|Crops|Feed","million t DM/yr",234.3480884,235.9143804,255.0439679,266.56344943,278.15465126,290.58060206,301.97366313,309.17730298,311.33679903,314.11555573
"GCAM 7.1","Reference","EU-12","Agricultural Demand|Crops|Food","million t DM/yr",79.7097638,82.4242094056,84.472489397,87.523177129,89.59528197,91.036852026,91.878933554,92.265666649,92.292849379,92.060930601
