# map to pair ag_demand and ag_prices to compute the World ag_prices weighted by ag_demand
ag_demand_variable,ag_price_variable
Agricultural Demand,Price|Agriculture|Index
Agricultural Demand|Crops,Price|Agriculture|Crops|Index
Agricultural Demand|Crops|Energy,Price|Agriculture|Crops|Energy|Index
Agricultural Demand|Crops|Feed,Price|Agriculture|Crops|Feed|Index
Agricultural Demand|Crops|Feed|Corn,NoReported
Agricultural Demand|Crops|Feed|Fibercrop,NoReported
Agricultural Demand|Crops|Feed|Fruits,NoReported
Agricultural Demand|Crops|Feed|Legumes,NoReported
Agricultural Demand|Crops|Feed|MiscCrop,NoReported
Agricultural Demand|Crops|Feed|NutsSeeds,NoReported
Agricultural Demand|Crops|Feed|OilCrop,NoReported
Agricultural Demand|Crops|Feed|OilPalm,NoReported
Agricultural Demand|Crops|Feed|OtherGrain,NoReported
Agricultural Demand|Crops|Feed|Rice,NoReported
Agricultural Demand|Crops|Feed|RootTuber,NoReported
Agricultural Demand|Crops|Feed|Soybean,NoReported
Agricultural Demand|Crops|Feed|SugarCrop,NoReported
Agricultural Demand|Crops|Feed|Vegetables,NoReported
Agricultural Demand|Crops|Feed|Wheat,NoReported
Agricultural Demand|Crops|Food,Price|Agriculture|Crops|Food|Index
Agricultural Demand|Crops|Food|Corn,Price|Agriculture|Crops|Food|Corn|Index
Agricultural Demand|Crops|Food|FiberCrop,Price|Agriculture|Crops|Food|FiberCrop|Index
NoReported,Price|Agriculture|Crops|Food|Fruits|Index
NoReported,Price|Agriculture|Crops|Food|Legumes|Index
Agricultural Demand|Crops|Food|MiscCrop,Price|Agriculture|Crops|Food|MiscCrop|Index
NoReported,Price|Agriculture|Crops|Food|NutsSeeds|Index
Agricultural Demand|Crops|Food|OilCrop,Price|Agriculture|Crops|Food|OilCrop|Index
NoReported,Price|Agriculture|Crops|Food|OilPalm|Index
Agricultural Demand|Crops|Food|OtherGrain,Price|Agriculture|Crops|Food|OtherGrain|Index
Agricultural Demand|Crops|Food|Rice,Price|Agriculture|Crops|Food|Rice|Index
Agricultural Demand|Crops|Food|RootTuber,Price|Agriculture|Crops|Food|RootTuber|Index
NoReported,Price|Agriculture|Crops|Food|Soybean|Index
Agricultural Demand|Crops|Food|SugarCrop,Price|Agriculture|Crops|Food|SugarCrop|Index
NoReported,Price|Agriculture|Crops|Food|Vegetables|Index
Agricultural Demand|Crops|Food|Wheat,Price|Agriculture|Crops|Food|Wheat|Index
Agricultural Demand|Crops|Other,Price|Agriculture|Crops|Other|Index
Agricultural Demand|Crops|Other|Corn,NoReported
Agricultural Demand|Crops|Other|FiberCrop,NoReported
Agricultural Demand|Crops|Other|Fruits,NoReported
Agricultural Demand|Crops|Other|Legumes,NoReported
Agricultural Demand|Crops|Other|MiscCrop,NoReported
Agricultural Demand|Crops|Other|NutsSeeds,NoReported
Agricultural Demand|Crops|Other|OilCrop,NoReported
Agricultural Demand|Crops|Other|OilPalm,NoReported
Agricultural Demand|Crops|Other|OtherGrain,NoReported
Agricultural Demand|Crops|Other|Rice,NoReported
Agricultural Demand|Crops|Other|RootTuber,NoReported
Agricultural Demand|Crops|Other|SoyBean,NoReported
Agricultural Demand|Crops|Other|SugarCrop,NoReported
Agricultural Demand|Crops|Other|Vegetables,NoReported
Agricultural Demand|Crops|Other|Wheat,NoReported
Agricultural Demand|Livestock,Price|Agriculture|Livestock|Index
Agricultural Demand|Livestock|Food,Price|Agriculture|Livestock|Food|Index
NoReported,Price|Agriculture|Livestock|Food|Beef|Index
NoReported,Price|Agriculture|Livestock|Food|Dairy|Index
Agricultural Demand|Livestock|Food|Fish,Price|Agriculture|Livestock|Food|Fish|Index
NoReported,Price|Agriculture|Livestock|Food|Pork|Index
NoReported,Price|Agriculture|Livestock|Food|Poultry|Index
NoReported,Price|Agriculture|Livestock|Food|SheepGoat|Index
Agricultural Demand|Livestock|Other,Price|Agriculture|Livestock|Other|Index
Agricultural Demand|Livestock|Other|Beef,NoReported
Agricultural Demand|Livestock|Other|Dairy,NoReported
Agricultural Demand|Livestock|Other|Fish,NoReported
Agricultural Demand|Livestock|Other|Pork,NoReported
Agricultural Demand|Livestock|Other|Poultry,NoReported
Agricultural Demand|Livestock|Other|SheepGoat,NoReported
