# Kyoto gases by sector
ghg,ghg_sector,sector,subsector,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,unit_conv
C2F6,,industrial processes,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Demand,Emissions|Kyoto Gases|Energy|Demand|Industry,,,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
C2F6,,urban processes,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Other,,,,,,,,,,,1
CF4,,industrial processes,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Demand,Emissions|Kyoto Gases|Energy|Demand|Industry,,,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CF4,,urban processes,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Other,,,,,,,,,,,1
CH4,,agricultural energy use,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Demand,Emissions|Kyoto Gases|Energy|Demand|AFOFI,,Emissions|Kyoto Gases|Energy|Demand|Residential and Commercial and AFOFI,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CH4,,alumina,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Demand,Emissions|Kyoto Gases|Energy|Demand|Industry,,,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CH4,,ammonia,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Demand,Emissions|Kyoto Gases|Energy|Demand|Industry,,,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CH4,,backup_electricity,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Supply,Emissions|Kyoto Gases|Energy|Supply|Electricity,,,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CH4,AGR,Beef,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|AFOLU,Emissions|Kyoto Gases|AFOLU [NGHGI],Emissions|Kyoto Gases|AFOLU|Agriculture,,Emissions|Kyoto Gases|AFOLU|Agriculture|Livestock,Emissions|Kyoto Gases|AFOLU|Agriculture|Livestock|Enteric Fermentation,,,,,,1
CH4,,chemical energy use,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Demand,Emissions|Kyoto Gases|Energy|Demand|Industry,,,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CH4,,coal,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Supply,Emissions|Kyoto Gases|Energy|Supply|Solids,Emissions|Kyoto Gases|Energy|Supply|Solids|Coal,,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
CH4,,comm cooling,,Emissions|Kyoto Gases,Emissions|Kyoto Gases|Energy,Emissions|Kyoto Gases|Energy|Demand,Emissions|Kyoto Gases|Energy|Demand|Residential and Commercial,Emissions|Kyoto Gases|Energy|Demand|Commercial,Emissions|Kyoto Gases|Energy|Demand|Residential and Commercial and AFOFI,,,,,,Emissions|Kyoto Gases|Energy and Industrial Processes,1
