# Source: GCAM SCMIP version, in module_aglu_L100.FAO_SUA_connection
GCAM_commodity,GCAM_region_ID,year,scenario,WasteShare,region
Beef,1,2010,SSP2,0.299680282,USA
Beef,1,2011,SSP2,0.299980699,USA
Beef,1,2012,SSP2,0.30058898,USA
Beef,1,2013,SSP2,0.301138092,USA
Beef,1,2014,SSP2,0.301871947,USA
Beef,1,2015,SSP2,0.302801348,USA
Beef,1,2016,SSP2,0.303248535,USA
Beef,1,2017,SSP2,0.303971059,USA
Beef,1,2018,SSP2,0.304938281,USA
Beef,1,2019,SSP2,0.305727713,USA
Beef,1,2020,SSP2,0.304530512,USA
Beef,1,2021,SSP2,0.305609022,USA
Beef,1,2022,SSP2,0.306623052,USA
Beef,1,2023,SSP2,0.307606986,USA
Beef,1,2024,SSP2,0.308562134,USA
Beef,1,2025,SSP2,0.309490074,USA
Beef,2,2010,SSP2,0.150817298,Africa_Eastern
Beef,2,2011,SSP2,0.151304419,Africa_Eastern
Beef,2,2012,SSP2,0.151197279,Africa_Eastern
Beef,2,2013,SSP2,0.152464252,Africa_Eastern
Beef,2,2014,SSP2,0.15456526,Africa_Eastern
Beef,2,2015,SSP2,0.156012455,Africa_Eastern
Beef,2,2016,SSP2,0.15683596,Africa_Eastern
Beef,2,2017,SSP2,0.158088636,Africa_Eastern
Beef,2,2018,SSP2,0.159095808,Africa_Eastern
Beef,2,2019,SSP2,0.160153665,Africa_Eastern
Beef,2,2020,SSP2,0.158680844,Africa_Eastern
Beef,2,2021,SSP2,0.15958792,Africa_Eastern
Beef,2,2022,SSP2,0.160428149,Africa_Eastern
Beef,2,2023,SSP2,0.161213503,Africa_Eastern
Beef,2,2024,SSP2,0.161949301,Africa_Eastern
Beef,2,2025,SSP2,0.162640072,Africa_Eastern
Beef,3,2010,SSP2,0.279304804,Africa_Northern
Beef,3,2011,SSP2,0.276623174,Africa_Northern
Beef,3,2012,SSP2,0.279567433,Africa_Northern
Beef,3,2013,SSP2,0.278962899,Africa_Northern
Beef,3,2014,SSP2,0.278537128,Africa_Northern
Beef,3,2015,SSP2,0.279292285,Africa_Northern
Beef,3,2016,SSP2,0.280073375,Africa_Northern
Beef,3,2017,SSP2,0.281677633,Africa_Northern
Beef,3,2018,SSP2,0.282672023,Africa_Northern
Beef,3,2019,SSP2,0.283065574,Africa_Northern
Beef,3,2020,SSP2,0.280930825,Africa_Northern
Beef,3,2021,SSP2,0.282250297,Africa_Northern
Beef,3,2022,SSP2,0.283468983,Africa_Northern
Beef,3,2023,SSP2,0.284619924,Africa_Northern
Beef,3,2024,SSP2,0.285708981,Africa_Northern
Beef,3,2025,SSP2,0.286741321,Africa_Northern
Beef,4,2010,SSP2,0.203266994,Africa_Southern
Beef,4,2011,SSP2,0.204489138,Africa_Southern
Beef,4,2012,SSP2,0.206427769,Africa_Southern
Beef,4,2013,SSP2,0.207507577,Africa_Southern
Beef,4,2014,SSP2,0.208459181,Africa_Southern
Beef,4,2015,SSP2,0.208214749,Africa_Southern
Beef,4,2016,SSP2,0.207471626,Africa_Southern
Beef,4,2017,SSP2,0.207267027,Africa_Southern
Beef,4,2018,SSP2,0.206949827,Africa_Southern
Beef,4,2019,SSP2,0.20628195,Africa_Southern
Beef,4,2020,SSP2,0.203812043,Africa_Southern
Beef,4,2021,SSP2,0.204465318,Africa_Southern
Beef,4,2022,SSP2,0.205068051,Africa_Southern
Beef,4,2023,SSP2,0.20563133,Africa_Southern
Beef,4,2024,SSP2,0.206159344,Africa_Southern
Beef,4,2025,SSP2,0.206654952,Africa_Southern
Beef,5,2010,SSP2,0.351944283,Africa_Western
Beef,5,2011,SSP2,0.353008852,Africa_Western
Beef,5,2012,SSP2,0.354227678,Africa_Western
Beef,5,2013,SSP2,0.355757417,Africa_Western
Beef,5,2014,SSP2,0.357240066,Africa_Western
Beef,5,2015,SSP2,0.357500691,Africa_Western
Beef,5,2016,SSP2,0.356406208,Africa_Western
Beef,5,2017,SSP2,0.356221527,Africa_Western
Beef,5,2018,SSP2,0.356352692,Africa_Western
Beef,5,2019,SSP2,0.356531421,Africa_Western
Beef,5,2020,SSP2,0.355077593,Africa_Western
Beef,5,2021,SSP2,0.355767383,Africa_Western
Beef,5,2022,SSP2,0.356353915,Africa_Western
Beef,5,2023,SSP2,0.356902692,Africa_Western
Beef,5,2024,SSP2,0.357417284,Africa_Western
Beef,5,2025,SSP2,0.357900821,Africa_Western
Beef,6,2010,SSP2,0.228340487,Australia_NZ
Beef,6,2011,SSP2,0.22934888,Australia_NZ
Beef,6,2012,SSP2,0.229824144,Australia_NZ
Beef,6,2013,SSP2,0.230250126,Australia_NZ
Beef,6,2014,SSP2,0.230617014,Australia_NZ
Beef,6,2015,SSP2,0.231231314,Australia_NZ
Beef,6,2016,SSP2,0.231626837,Australia_NZ
Beef,6,2017,SSP2,0.232251296,Australia_NZ
Beef,6,2018,SSP2,0.232580358,Australia_NZ
Beef,6,2019,SSP2,0.231867801,Australia_NZ
Beef,6,2020,SSP2,0.23206835,Australia_NZ
Beef,6,2021,SSP2,0.232900615,Australia_NZ
Beef,6,2022,SSP2,0.233817484,Australia_NZ
Beef,6,2023,SSP2,0.234702266,Australia_NZ
Beef,6,2024,SSP2,0.235556789,Australia_NZ
Beef,6,2025,SSP2,0.23638273,Australia_NZ
Beef,7,2010,SSP2,0.30862749,Brazil
Beef,7,2011,SSP2,0.309933756,Brazil
Beef,7,2012,SSP2,0.310374774,Brazil
Beef,7,2013,SSP2,0.311295363,Brazil
Beef,7,2014,SSP2,0.311139074,Brazil
Beef,7,2015,SSP2,0.30917849,Brazil
Beef,7,2016,SSP2,0.307355862,Brazil
Beef,7,2017,SSP2,0.307585593,Brazil
Beef,7,2018,SSP2,0.308014154,Brazil
Beef,7,2019,SSP2,0.308211017,Brazil
Beef,7,2020,SSP2,0.306452503,Brazil
Beef,7,2021,SSP2,0.307618274,Brazil
Beef,7,2022,SSP2,0.308768135,Brazil
Beef,7,2023,SSP2,0.309878449,Brazil
Beef,7,2024,SSP2,0.310951558,Brazil
Beef,7,2025,SSP2,0.311989606,Brazil
Beef,8,2010,SSP2,0.293359802,Canada
Beef,8,2011,SSP2,0.29425754,Canada
Beef,8,2012,SSP2,0.294556391,Canada
Beef,8,2013,SSP2,0.295100155,Canada
Beef,8,2014,SSP2,0.295919353,Canada
Beef,8,2015,SSP2,0.295803921,Canada
Beef,8,2016,SSP2,0.295774449,Canada
Beef,8,2017,SSP2,0.296559228,Canada
Beef,8,2018,SSP2,0.297189264,Canada
Beef,8,2019,SSP2,0.297436347,Canada
Beef,8,2020,SSP2,0.294717892,Canada
Beef,8,2021,SSP2,0.29552975,Canada
Beef,8,2022,SSP2,0.296416853,Canada
Beef,8,2023,SSP2,0.297278463,Canada
Beef,8,2024,SSP2,0.298115823,Canada
Beef,8,2025,SSP2,0.298930087,Canada
Beef,9,2010,SSP2,0.178838267,Central America and Caribbean
Beef,9,2011,SSP2,0.179904371,Central America and Caribbean
Beef,9,2012,SSP2,0.180829246,Central America and Caribbean
