# Intermittent technologies from L113.globaltech_capital_ATB and values interpolated from assumptions
# Values determined by an exponential function with terms for minimum achievable cost and pace of reduction
sector.name,subsector.name,intermittent.technology,year,input.capital,capital.overnight,fixed.charge.rate
elect_td_bld,rooftop_pv,rooftop_pv,1975,capital,1083,0.1
elect_td_bld,rooftop_pv,rooftop_pv,1990,capital,1083,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2005,capital,1083,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2010,capital,1083,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2015,capital,1083,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2020,capital,763,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2025,capital,575,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2030,capital,464,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2035,capital,398,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2040,capital,359,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2045,capital,336,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2050,capital,323,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2055,capital,315,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2060,capital,310,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2065,capital,307,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2070,capital,306,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2075,capital,305,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2080,capital,304,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2085,capital,304,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2090,capital,303,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2095,capital,303,0.1
elect_td_bld,rooftop_pv,rooftop_pv,2100,capital,303,0.1
electricity,solar,CSP,1975,capital,1362,0.13
electricity,solar,CSP,1990,capital,1362,0.13
electricity,solar,CSP,2005,capital,1362,0.13
electricity,solar,CSP,2010,capital,1362,0.13
electricity,solar,CSP,2015,capital,1362,0.13
electricity,solar,CSP,2020,capital,1070,0.13
electricity,solar,CSP,2025,capital,877,0.13
electricity,solar,CSP,2030,capital,750,0.13
electricity,solar,CSP,2035,capital,666,0.13
electricity,solar,CSP,2040,capital,611,0.13
electricity,solar,CSP,2045,capital,574,0.13
electricity,solar,CSP,2050,capital,550,0.13
electricity,solar,CSP,2055,capital,535,0.13
electricity,solar,CSP,2060,capital,524,0.13
electricity,solar,CSP,2065,capital,517,0.13
electricity,solar,CSP,2070,capital,513,0.13
electricity,solar,CSP,2075,capital,510,0.13
electricity,solar,CSP,2080,capital,508,0.13
electricity,solar,CSP,2085,capital,507,0.13
electricity,solar,CSP,2090,capital,506,0.13
electricity,solar,CSP,2095,capital,505,0.13
electricity,solar,CSP,2100,capital,505,0.13
electricity,solar,PV,1975,capital,667,0.13
electricity,solar,PV,1990,capital,667,0.13
electricity,solar,PV,2005,capital,667,0.13
electricity,solar,PV,2010,capital,667,0.13
electricity,solar,PV,2015,capital,667,0.13
electricity,solar,PV,2020,capital,478,0.13
electricity,solar,PV,2025,capital,367,0.13
electricity,solar,PV,2030,capital,301,0.13
electricity,solar,PV,2035,capital,263,0.13
electricity,solar,PV,2040,capital,240,0.13
electricity,solar,PV,2045,capital,226,0.13
electricity,solar,PV,2050,capital,218,0.13
electricity,solar,PV,2055,capital,213,0.13
electricity,solar,PV,2060,capital,211,0.13
electricity,solar,PV,2065,capital,209,0.13
electricity,solar,PV,2070,capital,208,0.13
electricity,solar,PV,2075,capital,207,0.13
electricity,solar,PV,2080,capital,207,0.13
