# Prices by sector
sector,var1,var2,var3,unit_conv
AdrBlkSea_desalinated water,NoReported,,,1
AfrCstE_desalinated water,NoReported,,,1
AfrCstNE_desalinated water,NoReported,,,1
AfrCstNW_desalinated water,NoReported,,,1
AfrCstS_desalinated water,NoReported,,,1
AfrCstSSW_desalinated water,NoReported,,,1
AfrCstSW_desalinated water,NoReported,,,1
AfrCstW_desalinated water,NoReported,,,1
AfrIntN_desalinated water,NoReported,,,1
AfrIntS_desalinated water,NoReported,,,1
agricultural energy use,NoReported,,,1
alumina,NoReported,,,1
aluminum,NoReported,,,1
AmazonR_desalinated water,NoReported,,,1
ammonia,NoReported,,,1
AmuDaryaR_desalinated water,NoReported,,,1
AmurR_desalinated water,NoReported,,,1
AngolaCst_desalinated water,NoReported,,,1
ArabianP_desalinated water,NoReported,,,1
ArabianSea_desalinated water,NoReported,,,1
ArgColoR_desalinated water,NoReported,,,1
ArgCstN_desalinated water,NoReported,,,1
ArgCstS_desalinated water,NoReported,,,1
ArkWhtRedR_desalinated water,NoReported,,,1
AusCstE_desalinated water,NoReported,,,1
AusCstN_desalinated water,NoReported,,,1
AusCstS_desalinated water,NoReported,,,1
AusCstW_desalinated water,NoReported,,,1
AusInt_desalinated water,NoReported,,,1
backup_electricity,NoReported,,,1
Beef,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Livestock [Index],,1
BengalW_desalinated water,NoReported,,,1
biomass,Price|Agriculture|Energy Crops,,,1
BlackSeaS_desalinated water,NoReported,,,1
BoHai_desalinated water,NoReported,,,1
BorneoCstN_desalinated water,NoReported,,,1
BrahmaniR_desalinated water,NoReported,,,1
BrzCstE_desalinated water,NoReported,,,1
BrzCstN_desalinated water,NoReported,,,1
BrzCstS_desalinated water,NoReported,,,1
California_desalinated water,NoReported,,,1
CanAtl_desalinated water,NoReported,,,1
carbon-storage,NoReported,,,1
Caribbean_desalinated water,NoReported,,,1
CaspianE_desalinated water,NoReported,,,1
CaspianNE_desalinated water,NoReported,,,1
CaspianSW_desalinated water,NoReported,,,1
CauveryR_desalinated water,NoReported,,,1
cement,NoReported,,,1
chemical,NoReported,,,1
chemical energy use,NoReported,,,1
chemical feedstocks,NoReported,,,1
ChileCstN_desalinated water,NoReported,,,1
ChileCstS_desalinated water,NoReported,,,1
ChinaCst_desalinated water,NoReported,,,1
