# CO2 Sequestration
sector,technology,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,unit_conv
alumina,biomass CCS,Carbon Capture,Carbon Capture|Geological Storage,Carbon Capture|Geological Storage|Biomass,Carbon Capture|Energy,Carbon Capture|Energy|Biomass,Carbon Capture|Energy|Demand,Carbon Capture|Energy|Demand|Biomass,Carbon Capture|Energy|Demand|Industry,Carbon Capture|Energy|Demand|Industry|Biomass,Carbon Capture|Energy|Demand|Industry|Non-Ferrous Metals,Carbon Capture|Energy|Demand|Industry|Non-Ferrous Metals|Biomass,Carbon Removal,Carbon Removal|Geological Storage,Carbon Removal|Geological Storage|Biomass,3.666667
alumina,coal CCS,Carbon Capture,Carbon Capture|Geological Storage,Carbon Capture|Geological Storage|Fossil,Carbon Capture|Energy,Carbon Capture|Energy|Fossil,Carbon Capture|Energy|Demand,Carbon Capture|Energy|Demand|Fossil,Carbon Capture|Energy|Demand|Industry,Carbon Capture|Energy|Demand|Industry|Fossil,Carbon Capture|Energy|Demand|Industry|Non-Ferrous Metals,Carbon Capture|Energy|Demand|Industry|Non-Ferrous Metals|Fossil,,,,3.666667
alumina,gas CCS,Carbon Capture,Carbon Capture|Geological Storage,Carbon Capture|Geological Storage|Fossil,Carbon Capture|Energy,Carbon Capture|Energy|Fossil,Carbon Capture|Energy|Demand,Carbon Capture|Energy|Demand|Fossil,Carbon Capture|Energy|Demand|Industry,Carbon Capture|Energy|Demand|Industry|Fossil,Carbon Capture|Energy|Demand|Industry|Non-Ferrous Metals,Carbon Capture|Energy|Demand|Industry|Non-Ferrous Metals|Fossil,,,,3.666667
alumina,refined liquids CCS,Carbon Capture,Carbon Capture|Geological Storage,Carbon Capture|Geological Storage|Fossil,Carbon Capture|Energy,Carbon Capture|Energy|Fossil,Carbon Capture|Energy|Demand,Carbon Capture|Energy|Demand|Fossil,Carbon Capture|Energy|Demand|Industry,Carbon Capture|Energy|Demand|Industry|Fossil,Carbon Capture|Energy|Demand|Industry|Non-Ferrous Metals,Carbon Capture|Energy|Demand|Industry|Non-Ferrous Metals|Fossil,,,,3.666667
ammonia,gas CCS,Carbon Capture,Carbon Capture|Geological Storage,Carbon Capture|Geological Storage|Fossil,Carbon Capture|Energy,Carbon Capture|Energy|Fossil,Carbon Capture|Energy|Demand,Carbon Capture|Energy|Demand|Fossil,Carbon Capture|Energy|Demand|Industry,Carbon Capture|Energy|Demand|Industry|Fossil,Carbon Capture|Energy|Demand|Industry|Chemicals,Carbon Capture|Energy|Demand|Industry|Chemicals|Fossil,,,,3.666667
ammonia,coal CCS,Carbon Capture,Carbon Capture|Geological Storage,Carbon Capture|Geological Storage|Fossil,Carbon Capture|Energy,Carbon Capture|Energy|Fossil,Carbon Capture|Energy|Demand,Carbon Capture|Energy|Demand|Fossil,Carbon Capture|Energy|Demand|Industry,Carbon Capture|Energy|Demand|Industry|Fossil,Carbon Capture|Energy|Demand|Industry|Chemicals,Carbon Capture|Energy|Demand|Industry|Chemicals|Fossil,,,,3.666667
cement,cement CCS,Carbon Capture,Carbon Capture|Geological Storage,Carbon Capture|Geological Storage|Industrial Processes,Carbon Capture|Industrial Processes,Carbon Capture|Industrial Processes|Non-Ferrous Metals,,,,,,,,,,3.666667
chemical energy use,biomass CCS,Carbon Capture,Carbon Capture|Geological Storage,Carbon Capture|Geological Storage|Biomass,Carbon Capture|Energy,Carbon Capture|Energy|Biomass,Carbon Capture|Energy|Demand,Carbon Capture|Energy|Demand|Biomass,Carbon Capture|Energy|Demand|Industry,Carbon Capture|Energy|Demand|Industry|Biomass,Carbon Capture|Energy|Demand|Industry|Chemicals,Carbon Capture|Energy|Demand|Industry|Chemicals|Biomass,Carbon Removal,Carbon Removal|Geological Storage,Carbon Removal|Geological Storage|Biomass,3.666667
chemical energy use,coal CCS,Carbon Capture,Carbon Capture|Geological Storage,Carbon Capture|Geological Storage|Fossil,Carbon Capture|Energy,Carbon Capture|Energy|Fossil,Carbon Capture|Energy|Demand,Carbon Capture|Energy|Demand|Fossil,Carbon Capture|Energy|Demand|Industry,Carbon Capture|Energy|Demand|Industry|Fossil,Carbon Capture|Energy|Demand|Industry|Chemicals,Carbon Capture|Energy|Demand|Industry|Chemicals|Fossil,,,,3.666667
chemical energy use,gas CCS,Carbon Capture,Carbon Capture|Geological Storage,Carbon Capture|Geological Storage|Fossil,Carbon Capture|Energy,Carbon Capture|Energy|Fossil,Carbon Capture|Energy|Demand,Carbon Capture|Energy|Demand|Fossil,Carbon Capture|Energy|Demand|Industry,Carbon Capture|Energy|Demand|Industry|Fossil,Carbon Capture|Energy|Demand|Industry|Chemicals,Carbon Capture|Energy|Demand|Industry|Chemicals|Fossil,,,,3.666667
chemical energy use,refined liquids CCS,Carbon Capture,Carbon Capture|Geological Storage,Carbon Capture|Geological Storage|Fossil,Carbon Capture|Energy,Carbon Capture|Energy|Fossil,Carbon Capture|Energy|Demand,Carbon Capture|Energy|Demand|Fossil,Carbon Capture|Energy|Demand|Industry,Carbon Capture|Energy|Demand|Industry|Fossil,Carbon Capture|Energy|Demand|Industry|Chemicals,Carbon Capture|Energy|Demand|Industry|Chemicals|Fossil,,,,3.666667
chemical feedstocks,refined liquids,Carbon Capture,Carbon Capture|Utilization,Carbon Capture|Utilization|Liquids,Carbon Capture|Energy,Carbon Capture|Energy|Fossil,Carbon Capture|Energy|Demand,Carbon Capture|Energy|Demand|Fossil,Carbon Capture|Energy|Demand|Industry,Carbon Capture|Energy|Demand|Industry|Fossil,Carbon Capture|Energy|Demand|Industry|Chemicals,Carbon Capture|Energy|Demand|Industry|Chemicals|Fossil,,,,3.666667
chemical feedstocks,refined liquids,,,,,,,,,,,,Carbon Removal,Carbon Removal|Long-Lived Materials,Carbon Removal|Long-Lived Materials|Other,3.666667Xrefliq_bioshare
CO2 removal,hightemp DAC NG,Carbon Capture,Carbon Capture|Geological Storage,Carbon Capture|Geological Storage|Direct Air Capture,Carbon Capture|Direct Air Capture,,,,,,,,Carbon Removal,Carbon Removal|Geological Storage,Carbon Removal|Geological Storage|Direct Air Capture,3.666667
CO2 removal,hightemp DAC elec,Carbon Capture,Carbon Capture|Geological Storage,Carbon Capture|Geological Storage|Direct Air Capture,Carbon Capture|Direct Air Capture,,,,,,,,Carbon Removal,Carbon Removal|Geological Storage,Carbon Removal|Geological Storage|Direct Air Capture,3.666667
CO2 removal,lowtemp DAC heatpump,Carbon Capture,Carbon Capture|Geological Storage,Carbon Capture|Geological Storage|Direct Air Capture,Carbon Capture|Direct Air Capture,,,,,,,,Carbon Removal,Carbon Removal|Geological Storage,Carbon Removal|Geological Storage|Direct Air Capture,3.666667
