# Demand for Final Fuels
sector,input,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,unit_conv
agricultural energy use,biomass,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Agriculture,Final Energy|Agriculture|Solids,Final Energy|Agriculture|Solids|Biomass,,,,,,,Final Energy (w/o bunkers),1
agricultural energy use,delivered biomass industry,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Agriculture,Final Energy|Agriculture|Solids,Final Energy|Agriculture|Solids|Biomass,,,,,,,Final Energy (w/o bunkers),1
agricultural energy use,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,Final Energy|Agriculture,Final Energy|Agriculture|Solids,Final Energy|Agriculture|Solids|Coal,,,,,,,Final Energy (w/o bunkers),1
agricultural energy use,delivered industry,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,Final Energy|Agriculture,Final Energy|Agriculture|Solids,Final Energy|Agriculture|Solids|Coal,,,,,,,Final Energy (w/o bunkers),1
agricultural energy use,delivered coal industry,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,Final Energy|Agriculture,Final Energy|Agriculture|Solids,Final Energy|Agriculture|Solids|Coal,,,,,,,Final Energy (w/o bunkers),1
agricultural energy use,district heat,Final Energy,Final Energy|Heat,,Final Energy|Agriculture,Final Energy|Agriculture|Heat,,,,,,,,Final Energy (w/o bunkers),1
agricultural energy use,electricity,Final Energy,Final Energy|Electricity,,Final Energy|Agriculture,Final Energy|Agriculture|Electricity,,,,,,,,Final Energy (w/o bunkers),1
agricultural energy use,gas,Final Energy,Final Energy|Gases,,Final Energy|Agriculture,Final Energy|Agriculture|Gases,,,,,,,,Final Energy (w/o bunkers),1
agricultural energy use,H2 retail delivery,Final Energy,Final Energy|Hydrogen,,Final Energy|Agriculture,Final Energy|Agriculture|Hydrogen,,,,,,,,Final Energy (w/o bunkers),1
agricultural energy use,H2 wholesale dispensing,Final Energy,Final Energy|Hydrogen,,Final Energy|Agriculture,Final Energy|Agriculture|Hydrogen,,,,,,,,Final Energy (w/o bunkers),1
agricultural energy use,hydrogen,Final Energy,Final Energy|Hydrogen,,Final Energy|Agriculture,Final Energy|Agriculture|Hydrogen,,,,,,,,Final Energy (w/o bunkers),1
