# Production mapping,,,,
sector,var1,var2,var3,GCAM output unit
iron and steel,Production|Steel,,,Mt
N fertilizer,Production|Chemicals,,,Mt N
airCO2,,,,
agricultural energy use,Production|Agriculture,,,EJ
alumina,,,,
aluminum,Production|Non-ferrous metals,,,Mt
cement,Production|Cement,,,Mt
chemical energy use,Production|Chemicals,,,EJ
chemical feedstocks,,,,EJ
CO2 removal,,,,
construction energy use,Production|Construction,,,EJ
construction feedstocks,,,,EJ
other industrial energy use,Production|Other,,,EJ
other industrial feedstocks,,,,EJ
mining energy use,Production|Mining,,,EJ
process heat cement,,,,
process heat dac,,,,
