#Transport Demand for Final Fuels
input,sector,mode,var1,var2,var3,var4,var5,var6,var7,var8,var9,unit_conv
H2 wholesale dispensing,trn_aviation_intl,International Aviation,Final Energy,Final Energy|Hydogen,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Hydrogen,Final Energy|Transportation|Passenger|Hydrogen,Final Energy|Transportation|Aviation,Final Energy|Transportation|Aviation|Passenger,,1
elect_td_trn,trn_aviation_intl,International Aviation,Final Energy,Final Energy|Electricity,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Electricity,Final Energy|Transportation|Passenger|Electricity,Final Energy|Transportation|Aviation,Final Energy|Transportation|Aviation|Passenger,,1
refined liquids bunkers,trn_aviation_intl,International Aviation,Final Energy,Final Energy|Liquids,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Liquids,Final Energy|Transportation|Passenger|Liquids,Final Energy|Transportation|Aviation,Final Energy|Transportation|Aviation|Passenger,,1
H2 wholesale dispensing,trn_freight,Domestic Ship,Final Energy,Final Energy|Hydogen,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Hydrogen,Final Energy|Transportation|Freight|Hydrogen,Final Energy|Transportation|Maritime,Final Energy|Transportation|Maritime|Freight,,1
elect_td_trn,trn_freight,Domestic Ship,Final Energy,Final Energy|Electricity,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Electricity,Final Energy|Transportation|Freight|Electricity,Final Energy|Transportation|Maritime,Final Energy|Transportation|Maritime|Freight,,1
refined liquids transport,trn_freight,Domestic Ship,Final Energy,Final Energy|Liquids,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Liquids,Final Energy|Transportation|Freight|Liquids,Final Energy|Transportation|Maritime,Final Energy|Transportation|Maritime|Freight,,1
H2 wholesale dispensing,trn_freight,Freight Rail,Final Energy,Final Energy|Hydogen,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Hydrogen,Final Energy|Transportation|Freight|Hydrogen,Final Energy|Transportation|Rail,Final Energy|Transportation|Rail|Freight,,1
delivered coal,trn_freight,Freight Rail,Final Energy,Final Energy|Solids,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Other,Final Energy|Transportation|Freight|Other,Final Energy|Transportation|Rail,Final Energy|Transportation|Rail|Freight,,1
elect_td_trn,trn_freight,Freight Rail,Final Energy,Final Energy|Electricity,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Electricity,Final Energy|Transportation|Freight|Electricity,Final Energy|Transportation|Rail,Final Energy|Transportation|Rail|Freight,,1
refined liquids transport,trn_freight,Freight Rail,Final Energy,Final Energy|Liquids,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Liquids,Final Energy|Transportation|Freight|Liquids,Final Energy|Transportation|Rail,Final Energy|Transportation|Rail|Freight,,1
H2 retail dispensing,trn_freight_road,Heavy truck,Final Energy,Final Energy|Hydogen,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Hydrogen,Final Energy|Transportation|Freight|Hydrogen,Final Energy|Transportation|Road,Final Energy|Transportation|Road|Freight,,1
elect_td_trn,trn_freight_road,Heavy truck,Final Energy,Final Energy|Electricity,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Electricity,Final Energy|Transportation|Freight|Electricity,Final Energy|Transportation|Road,Final Energy|Transportation|Road|Freight,,1
refined liquids transport,trn_freight_road,Heavy truck,Final Energy,Final Energy|Liquids,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Liquids,Final Energy|Transportation|Freight|Liquids,Final Energy|Transportation|Road,Final Energy|Transportation|Road|Freight,,1
H2 retail dispensing,trn_freight_road,Light truck,Final Energy,Final Energy|Hydogen,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Hydrogen,Final Energy|Transportation|Freight|Hydrogen,Final Energy|Transportation|Road,Final Energy|Transportation|Road|Freight,,1
elect_td_trn,trn_freight_road,Light truck,Final Energy,Final Energy|Electricity,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Electricity,Final Energy|Transportation|Freight|Electricity,Final Energy|Transportation|Road,Final Energy|Transportation|Road|Freight,,1
refined liquids transport,trn_freight_road,Light truck,Final Energy,Final Energy|Liquids,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Liquids,Final Energy|Transportation|Freight|Liquids,Final Energy|Transportation|Road,Final Energy|Transportation|Road|Freight,,1
H2 retail dispensing,trn_freight_road,Medium truck,Final Energy,Final Energy|Hydogen,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Hydrogen,Final Energy|Transportation|Freight|Hydrogen,Final Energy|Transportation|Road,Final Energy|Transportation|Road|Freight,,1
elect_td_trn,trn_freight_road,Medium truck,Final Energy,Final Energy|Electricity,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Electricity,Final Energy|Transportation|Freight|Electricity,Final Energy|Transportation|Road,Final Energy|Transportation|Road|Freight,,1
refined liquids transport,trn_freight_road,Medium truck,Final Energy,Final Energy|Liquids,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Liquids,Final Energy|Transportation|Freight|Liquids,Final Energy|Transportation|Road,Final Energy|Transportation|Road|Freight,,1
H2 wholesale dispensing,trn_pass,Domestic Aviation,Final Energy,Final Energy|Hydogen,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Hydrogen,Final Energy|Transportation|Passenger|Hydrogen,Final Energy|Transportation|Aviation,Final Energy|Transportation|Aviation|Passenger,,1
elect_td_trn,trn_pass,Domestic Aviation,Final Energy,Final Energy|Electricity,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Electricity,Final Energy|Transportation|Passenger|Electricity,Final Energy|Transportation|Aviation,Final Energy|Transportation|Aviation|Passenger,,1
refined liquids transport,trn_pass,Domestic Aviation,Final Energy,Final Energy|Liquids,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Liquids,Final Energy|Transportation|Passenger|Liquids,Final Energy|Transportation|Aviation,Final Energy|Transportation|Aviation|Passenger,,1
elect_td_trn,trn_pass,HSR,Final Energy,Final Energy|Electricity,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Electricity,Final Energy|Transportation|Passenger|Electricity,Final Energy|Transportation|Rail,Final Energy|Transportation|Rail|Passenger,,1
elect_td_trn,trn_pass,Passenger Rail,Final Energy,Final Energy|Electricity,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Electricity,Final Energy|Transportation|Passenger|Electricity,Final Energy|Transportation|Rail,Final Energy|Transportation|Rail|Passenger,,1
refined liquids transport,trn_pass,Passenger Rail,Final Energy,Final Energy|Liquids,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Liquids,Final Energy|Transportation|Passenger|Liquids,Final Energy|Transportation|Rail,Final Energy|Transportation|Rail|Passenger,,1
H2 retail dispensing,trn_pass_road,Bus,Final Energy,Final Energy|Hydogen,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Hydrogen,Final Energy|Transportation|Passenger|Hydrogen,Final Energy|Transportation|Road,Final Energy|Transportation|Road|Passenger,Final Energy|Transportation|Road|Passenger|Bus,1
delivered gas transport,trn_pass_road,Bus,Final Energy,Final Energy|Gases,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Gases,Final Energy|Transportation|Passenger|Gases,Final Energy|Transportation|Road,Final Energy|Transportation|Road|Passenger,Final Energy|Transportation|Road|Passenger|Bus,1
elect_td_trn,trn_pass_road,Bus,Final Energy,Final Energy|Electricity,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Electricity,Final Energy|Transportation|Passenger|Electricity,Final Energy|Transportation|Road,Final Energy|Transportation|Road|Passenger,Final Energy|Transportation|Road|Passenger|Bus,1
refined liquids transport,trn_pass_road,Bus,Final Energy,Final Energy|Liquids,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Liquids,Final Energy|Transportation|Passenger|Liquids,Final Energy|Transportation|Road,Final Energy|Transportation|Road|Passenger,Final Energy|Transportation|Road|Passenger|Bus,1
elect_td_trn,trn_pass_road_LDV,2W and 3W,Final Energy,Final Energy|Electricity,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Electricity,Final Energy|Transportation|Passenger|Electricity,Final Energy|Transportation|Road,Final Energy|Transportation|Road|Passenger,Final Energy|Transportation|Road|Passenger|2W&3W,1
refined liquids transport,trn_pass_road_LDV,2W and 3W,Final Energy,Final Energy|Liquids,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Liquids,Final Energy|Transportation|Passenger|Liquids,Final Energy|Transportation|Road,Final Energy|Transportation|Road|Passenger,Final Energy|Transportation|Road|Passenger|2W&3W,1
H2 retail dispensing,trn_pass_road_LDV_4W,Car,Final Energy,Final Energy|Hydogen,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Hydrogen,Final Energy|Transportation|Passenger|Hydrogen,Final Energy|Transportation|Road,Final Energy|Transportation|Road|Passenger,Final Energy|Transportation|Road|Passenger|4W,1
delivered gas transport,trn_pass_road_LDV_4W,Car,Final Energy,Final Energy|Gases,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Gases,Final Energy|Transportation|Passenger|Gases,Final Energy|Transportation|Road,Final Energy|Transportation|Road|Passenger,Final Energy|Transportation|Road|Passenger|4W,1
elect_td_trn,trn_pass_road_LDV_4W,Car,Final Energy,Final Energy|Electricity,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Electricity,Final Energy|Transportation|Passenger|Electricity,Final Energy|Transportation|Road,Final Energy|Transportation|Road|Passenger,Final Energy|Transportation|Road|Passenger|4W,1
