"region","PrimaryFuelCO2Coef.name","PrimaryFuelCO2Coef"
"USA","biomass",0
"Africa_Eastern","biomass",0
"Africa_Northern","biomass",0
"Africa_Southern","biomass",0
"Africa_Western","biomass",0
"Australia_NZ","biomass",0
"Brazil","biomass",0
"Canada","biomass",0
"Central America and Caribbean","biomass",0
"Central Asia","biomass",0
"China","biomass",0
"EU-12","biomass",0
"EU-15","biomass",0
"Europe_Eastern","biomass",0
"Europe_Non_EU","biomass",0
"European Free Trade Association","biomass",0
"India","biomass",0
"Indonesia","biomass",0
"Japan","biomass",0
"Mexico","biomass",0
"Middle East","biomass",0
"Pakistan","biomass",0
"Russia","biomass",0
"South Africa","biomass",0
"South America_Northern","biomass",0
"South America_Southern","biomass",0
"South Asia","biomass",0
"South Korea","biomass",0
"Southeast Asia","biomass",0
"Taiwan","biomass",0
"Argentina","biomass",0
"Colombia","biomass",0
"USA","regional biomass",0
"Africa_Eastern","regional biomass",0
"Africa_Northern","regional biomass",0
"Africa_Southern","regional biomass",0
"Africa_Western","regional biomass",0
"Australia_NZ","regional biomass",0
"Brazil","regional biomass",0
"Canada","regional biomass",0
"Central America and Caribbean","regional biomass",0
"Central Asia","regional biomass",0
"China","regional biomass",0
"EU-12","regional biomass",0
"EU-15","regional biomass",0
"Europe_Eastern","regional biomass",0
"Europe_Non_EU","regional biomass",0
"European Free Trade Association","regional biomass",0
"India","regional biomass",0
"Indonesia","regional biomass",0
"Japan","regional biomass",0
"Mexico","regional biomass",0
"Middle East","regional biomass",0
"Pakistan","regional biomass",0
"Russia","regional biomass",0
"South Africa","regional biomass",0
"South America_Northern","regional biomass",0
"South America_Southern","regional biomass",0
"South Asia","regional biomass",0
"South Korea","regional biomass",0
"Southeast Asia","regional biomass",0
"Taiwan","regional biomass",0
"Argentina","regional biomass",0
"Colombia","regional biomass",0
"USA","regional biomass energy sector",23
"Africa_Eastern","regional biomass energy sector",23
"Africa_Northern","regional biomass energy sector",23
"Africa_Southern","regional biomass energy sector",23
"Africa_Western","regional biomass energy sector",23
"Australia_NZ","regional biomass energy sector",23
"Brazil","regional biomass energy sector",23
"Canada","regional biomass energy sector",23
"Central America and Caribbean","regional biomass energy sector",23
"Central Asia","regional biomass energy sector",23
"China","regional biomass energy sector",23
"EU-12","regional biomass energy sector",23
"EU-15","regional biomass energy sector",23
"Europe_Eastern","regional biomass energy sector",23
"Europe_Non_EU","regional biomass energy sector",23
"European Free Trade Association","regional biomass energy sector",23
"India","regional biomass energy sector",23
"Indonesia","regional biomass energy sector",23
"Japan","regional biomass energy sector",23
"Mexico","regional biomass energy sector",23
"Middle East","regional biomass energy sector",23
"Pakistan","regional biomass energy sector",23
"Russia","regional biomass energy sector",23
"South Africa","regional biomass energy sector",23
"South America_Northern","regional biomass energy sector",23
"South America_Southern","regional biomass energy sector",23
"South Asia","regional biomass energy sector",23
"South Korea","regional biomass energy sector",23
"Southeast Asia","regional biomass energy sector",23
"Taiwan","regional biomass energy sector",23
"Argentina","regional biomass energy sector",23
"Colombia","regional biomass energy sector",23
"USA","regional biomass liquids",23
"Africa_Eastern","regional biomass liquids",23
"Africa_Northern","regional biomass liquids",23
"Africa_Southern","regional biomass liquids",23
"Africa_Western","regional biomass liquids",23
"Australia_NZ","regional biomass liquids",23
"Brazil","regional biomass liquids",23
"Canada","regional biomass liquids",23
