# Prices by sector
sector,var1,var2,var3,var4,var5,var6,var7,var8,unit_conv
Beef,Price|Agriculture|Index,Price|Agriculture|Livestock|Index,Price|Agriculture|Livestock|Food|Index,Price|Agriculture|Livestock|Food|Beef|Index,,,,,1
Corn,Price|Agriculture|Index,Price|Agriculture|Crops|Index,Price|Agriculture|Crops|Food|Index,Price|Agriculture|Crops|Food|Corn|Index,,,,,1
Dairy,Price|Agriculture|Index,Price|Agriculture|Livestock|Index,Price|Agriculture|Livestock|Food|Index,Price|Agriculture|Livestock|Food|Dairy|Index,,,,,1
FiberCrop,Price|Agriculture|Index,Price|Agriculture|Crops|Index,Price|Agriculture|Crops|Food|Index,Price|Agriculture|Crops|Food|FiberCrop|Index,,,,,1
FeedCrops,Price|Agriculture|Index,Price|Agriculture|Crops|Index,Price|Agriculture|Crops|Feed|Index,,,,,,1
FodderGrass,NoReported,,,,,,,,1
FodderHerb,NoReported,,,,,,,,1
FodderHerb_Residue,NoReported,,,,,,,,1
Forest,NoReported,,,,,,,,1
Fruits,Price|Agriculture|Index,Price|Agriculture|Crops|Index,Price|Agriculture|Crops|Food|Index,Price|Agriculture|Crops|Food|Fruits|Index,,,,,1
Legumes,Price|Agriculture|Index,Price|Agriculture|Crops|Index,Price|Agriculture|Crops|Food|Index,Price|Agriculture|Crops|Food|Legumes|Index,,,,,1
MiscCrop,Price|Agriculture|Index,Price|Agriculture|Crops|Index,Price|Agriculture|Crops|Food|Index,Price|Agriculture|Crops|Food|MiscCrop|Index,,,,,1
NonFoodDemand_Crops,Price|Agriculture|Index,Price|Agriculture|Crops|Index,Price|Agriculture|Crops|Other|Index,,,,,,1
NonFoodDemand_Meat,Price|Agriculture|Index,Price|Agriculture|Livestock|Index,Price|Agriculture|Livestock|Other|Index,,,,,,1
NutsSeeds,Price|Agriculture|Index,Price|Agriculture|Crops|Index,Price|Agriculture|Crops|Food|Index,Price|Agriculture|Crops|Food|NutsSeeds|Index,,,,,1
OilCrop,Price|Agriculture|Index,Price|Agriculture|Crops|Index,Price|Agriculture|Crops|Food|Index,Price|Agriculture|Crops|Food|OilCrop|Index,,,,,1
OilPalm,Price|Agriculture|Index,Price|Agriculture|Crops|Index,Price|Agriculture|Crops|Food|Index,Price|Agriculture|Crops|Food|OilPalm|Index,,,,,1
OtherGrain,Price|Agriculture|Index,Price|Agriculture|Crops|Index,Price|Agriculture|Crops|Food|Index,Price|Agriculture|Crops|Food|OtherGrain|Index,,,,,1
OtherMeat_Fish,Price|Agriculture|Index,Price|Agriculture|Livestock|Index,Price|Agriculture|Livestock|Food|Index,Price|Agriculture|Livestock|Food|Fish|Index,,,,,1
Pasture,NoReported,,,,,,,,1
Pasture_FodderGrass,NoReported,,,,,,,,1
Pork,Price|Agriculture|Index,Price|Agriculture|Livestock|Index,Price|Agriculture|Livestock|Food|Index,Price|Agriculture|Livestock|Food|Pork|Index,,,,,1
Poultry,Price|Agriculture|Index,Price|Agriculture|Livestock|Index,Price|Agriculture|Livestock|Food|Index,Price|Agriculture|Livestock|Food|Poultry|Index,,,,,1
Rice,Price|Agriculture|Index,Price|Agriculture|Crops|Index,Price|Agriculture|Crops|Food|Index,Price|Agriculture|Crops|Food|Rice|Index,,,,,1
RootTuber,Price|Agriculture|Index,Price|Agriculture|Crops|Index,Price|Agriculture|Crops|Food|Index,Price|Agriculture|Crops|Food|RootTuber|Index,,,,,1
Scavenging_Other,NoReported,,,,,,,,1
SheepGoat,Price|Agriculture|Index,Price|Agriculture|Livestock|Index,Price|Agriculture|Livestock|Food|Index,Price|Agriculture|Livestock|Food|SheepGoat|Index,,,,,1
Soybean,Price|Agriculture|Index,Price|Agriculture|Crops|Index,Price|Agriculture|Crops|Food|Index,Price|Agriculture|Crops|Food|Soybean|Index,,,,,1
SugarCrop,Price|Agriculture|Index,Price|Agriculture|Crops|Index,Price|Agriculture|Crops|Food|Index,Price|Agriculture|Crops|Food|SugarCrop|Index,,,,,1
Vegetables,Price|Agriculture|Index,Price|Agriculture|Crops|Index,Price|Agriculture|Crops|Food|Index,Price|Agriculture|Crops|Food|Vegetables|Index,,,,,1
Wheat,Price|Agriculture|Index,Price|Agriculture|Crops|Index,Price|Agriculture|Crops|Food|Index,Price|Agriculture|Crops|Food|Wheat|Index,,,,,1
biomass,Price|Agriculture|Index,Price|Agriculture|Crops|Index,Price|Agriculture|Crops|Energy|Index,,,,,,1
