name;fun;dependencies;queries
population_clean;get_population;;population by region
pop_weights;get_population_weights;population_clean;
GDP_PPP_clean;get_gdp_ppp;population_clean;GDP per capita PPP by region
GDP_PPP_pc_growth_clean;get_gdp_ppp;population_clean;GDP per capita PPP by region
GDP_MER_clean;get_gdp_mer;;GDP MER by region
forcing_clean;get_forcing;;total climate forcing
global_temp_clean;get_temperature;;global mean temperature
co2_concentration_clean;get_co2_concentration;;CO2 concentrations
nonbio_share;get_nonbio_tmp;;CO2 emissions by sector (excluding resource production),CO2 emissions by sector (no bio) (excluding resource production)
co2_tech_nobio;get_co2_tech_nobio_tmp;nonbio_share;CO2 emissions by tech (excluding resource production)
co2_emiss;get_co2_emiss;;CO2 emissions by tech (excluding resource production),CO2 emissions by resource production,CO2 emissions by region
iron_steel_map;get_iron_steel_map;;industry final energy by tech and fue
co2_tech_ironsteel;get_co2_iron_steel;co2_tech_nobio,iron_steel_map;
LUC_emiss;get_lu_co2;;LUC emissions by region
co2_emissions_clean;get_co2_emissions;co2_emiss,LUC_emiss;
nonco2_clean;get_nonco2_emissions;;nonCO2 emissions by subsector (excluding resource production),nonCO2 emissions by resource production
f_gas_clean;get_fgas;;nonCO2 emissions by region
ghg_all;get_ghg;LUC_emiss;nonCO2 emissions by region
kyoto_gases_clean;get_kyoto_gases;LUC_emiss;nonCO2 emissions by subsector (excluding resource production),nonCO2 emissions by resource production,CO2 emissions by tech (excluding resource production)
co2_sequestration_clean;get_co2_sequestration;LUC_emiss,refliq_bioshare;CO2 sequestration by tech
co2_removal_raw;get_co2_sequestration;LUC_emiss,refliq_bioshare;CO2 sequestration by tech
biomass_shares;get_biomass_shares;;purpose-grown biomass production,residue biomass production,MSW production
ag_demand_clean;get_ag_demand;biomass_shares;demand balances by crop commodity,demand balances by meat and dairy commodity,regional biomass consumption
ag_production_clean;get_ag_production;;ag production by crop type,meat and dairy production by type
land_clean;get_land;;land allocation by crop and water source
primary_energy_clean;get_primary_energy;;primary energy consumption with CCS by region (direct equivalent)
pe_trade_prod;get_pe_trade_prod;;resource production,purpose-grown biomass production,residue biomass production,MSW production
pe_trade_supply;get_pe_trade_supply;;supply of all markets
pe_trade;get_pe_trade;pe_trade_prod,pe_trade_supply;
secondary_energy_clean;get_elec_gen_tech;secondary_solids;elec gen by gen tech,gas production by tech,hydrogen production by tech,refined liquids production by tech,district heat production by subsector (fuel)
secondary_energy_raw;get_elec_gen_tech;secondary_solids;elec gen by gen tech,gas production by tech,hydrogen production by tech,refined liquids production by tech,district heat production by subsector (fuel)
secondary_solids;get_secondary_solids;;inputs by sector
fe_sector;get_fe_sector_tmp;;final energy consumption by sector and fuel
fe_sector_raw;get_fe_sector_tmp;;final energy consumption by sector and fuel
fe_transportation;get_fe_transportation_tmp;;transport final energy by mode and fuel
fe_transportation_raw;get_fe_transportation_tmp;;transport final energy by mode and fuel
fe_sector_clean;get_fe_sector;fe_sector,fe_transportation;
energy_service_transportation_clean;get_energy_service_transportation;;transport service output by tech and vintage
floor_space_clean;get_floor_space;;building floorspace
industry_production_clean;get_industry_production;;industry primary output by sector
ag_weights;get_ag_weights;;demand balances by crop commodity,demand balances by meat and dairy commodity,regional biomass consumption
ag_wld_weights;get_ag_weights;;demand balances by crop commodity,demand balances by meat and dairy commodity,regional biomass consumption
ag_price_wld;get_ag_price_wld_tmp;ag_wld_weights;prices by sector
ag_price_clean;get_ag_price;ag_weights,ag_price_wld;prices by sector
price_var;get_price_var_tmp;;
regions.global;get_regions_tmp;;
co2_ets_byreg;get_co2_ets;;nonCO2 emissions by region,nonCO2 emissions by subsector (excluding resource production)
co2_ets_bysec;get_co2_ets;;nonCO2 emissions by subsector (excluding resource production),nonCO2 emissions by region
co2_price_share_bysec;get_co2_price_share_bysec;co2_emiss,co2_ets_bysec;
co2_price_global;get_co2_price_global_tmp;regions.global,price_var,co2_emiss;CO2 prices
co2_price_fragmented;get_co2_price_fragmented_tmp;price_var,regions.global,co2_price_share_bysec;CO2 prices
co2_price_clean;get_co2_price;co2_price_fragmented,co2_price_global,co2_emiss;
gov_revenue_clean;get_gov_revenue;co2_emiss,co2_price_clean;
total_revenue;get_total_revenue;;resource production,prices by sector
regional_emission;get_regional_emission;nonco2_content;resource production
cf_iea;get_cf_iea_tmp;secondary_energy_clean;
elec_cf;get_elec_cf_tmp;cf_iea;
elec_capacity_tot_clean;get_elec_capacity_tot;elec_cf;elec gen by gen tech and cooling tech and vintage
elec_capacity_add;get_elec_capacity_add_tmp;elec_cf;elec gen by gen tech and cooling tech and vintage
elec_capacity_add_clean;get_elec_capacity_add;elec_capacity_add;
elec_capital_clean;get_elec_capital;;
elec_investment_clean;get_elec_investment;elec_capacity_add;
transmission_invest_clean;get_transmission_invest;elec_capacity_add_clean;
resource_investment_clean;get_resource_investment;;resource production by tech and vintage,regional primary energy prices,prices of all markets
nonelec_investment_clean;get_nonelec_investment;;Capital investment demands by tech
total_investment_clean;get_total_investment;elec_investment_clean,resource_investment_clean,nonelec_investment_clean;
iron_steel_imports;get_iron_steel_imports;;regional iron and steel sources
iron_steel_exports;get_iron_steel_exports;;traded iron and steel
iron_steel_clean;get_iron_steel_clean;iron_steel_imports,iron_steel_exports;
capital_stock_clean;get_capital_stock;;National Account
capital_formation_clean;get_capital_formation;capital_stock_clean;
expenditure_clean;get_expenditure;;food demand prices,food consumption by type (general),costs of transport modes,transport service output by mode,building total final energy by service,building service costs
water_withdrawals_clean;get_water_withdrawals;;water withdrawals by subsector
water_consumption_clean;get_water_consumption;;water consumption by subsector
ag_trade;get_ag_trade;;ag export to the world center (USA) (Intl. Armington competition),ag import vs. domestic supply (Regional Armington competition)
trade_clean;get_total_trade;ag_trade,pe_trade;
energy_price;get_energy_price_tmp;;CO2 prices,prices by sector,costs by subsector
energy_price_clean;get_energy_price;energy_price,fe_sector_clean,primary_energy_clean,secondary_energy_clean;
en_weights;get_en_weights;fe_sector_raw,fe_transportation_raw,primary_energy_clean,secondary_energy_raw;
en_wld_weights;get_en_weights;fe_sector_raw,fe_transportation_raw,primary_energy_clean,secondary_energy_raw;
fert_consumption_clean;get_fert_consumption;;fertilizer consumption by region
food_availability_clean;get_food_availability;population_clean,pop_weights;food consumption by type (specific)
food_intake_clean;get_food_intake;population_clean,pop_weights;food consumption by type (specific)
forestry_demand_clean;get_forestry;;inputs by tech
forestry_production_clean;get_forestry;;inputs by tech
labor_clean;get_labor;population_clean;National Account
goods_trade_clean;get_goods_trade;;National Account
value_added_clean;get_value_added;;National Account
gross_co2_emiss_clean;get_gross_co2_emiss;co2_emissions_clean,co2_removal_raw;
production_price_clean;get_production_price;;iron and steel prices,chemical prices,ammonia and N fertilizer prices,aluminum prices
trn_stock_clean;get_transport_stock;;transport service output by tech and vintage
trn_sales_clean;get_transport_sales;;transport service output by tech and vintage
resource_extraction_clean;get_resource_extraction;;resource production
income_clean;get_income;;subregional income
consumption_hh_clean;get_consumption_hh;;building total final energy by service
yield_clean;get_yield;ag_production_clean,land_clean;
refliq_bioshare;get_refliq_bioshare;;refined liquids production by tech
