# Multiple load segments Electricity generation by technology (inc solar roofs)
output,subsector,technology,var1,var2,var3,var4,var6,var7,var8,unit_conv
electricity,biomass,biomass (conv CCS),Secondary Energy|Electricity,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/ CCS,,,,Secondary Energy,1
electricity,biomass,biomass (conv),Secondary Energy|Electricity,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/o CCS,,,,Secondary Energy,1
electricity,biomass,biomass (IGCC CCS),Secondary Energy|Electricity,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/ CCS,,,,Secondary Energy,1
electricity,biomass,biomass (IGCC),Secondary Energy|Electricity,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/o CCS,,,,Secondary Energy,1
electricity,biomass,biomass cogen,Secondary Energy|Electricity,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/o CCS,,,,Secondary Energy,1
electricity,coal,coal (conv pul CCS),Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/ CCS,Secondary Energy|Electricity|Fossil,Secondary Energy|Electricity|Fossil|w/ CCS,,Secondary Energy,1
electricity,coal,coal (conv pul),Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,Secondary Energy|Electricity|Fossil,Secondary Energy|Electricity|Fossil|w/o CCS,,Secondary Energy,1
electricity,coal,coal (IGCC CCS),Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/ CCS,Secondary Energy|Electricity|Fossil,Secondary Energy|Electricity|Fossil|w/ CCS,,Secondary Energy,1
electricity,coal,coal (IGCC),Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,Secondary Energy|Electricity|Fossil,Secondary Energy|Electricity|Fossil|w/o CCS,,Secondary Energy,1
electricity,coal,coal cogen,Secondary Energy|Electricity,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,Secondary Energy|Electricity|Fossil,Secondary Energy|Electricity|Fossil|w/o CCS,,Secondary Energy,1
electricity,gas,gas (CC CCS),Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/ CCS,Secondary Energy|Electricity|Fossil,Secondary Energy|Electricity|Fossil|w/ CCS,,Secondary Energy,1
electricity,gas,gas (CC),Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/o CCS,Secondary Energy|Electricity|Fossil,Secondary Energy|Electricity|Fossil|w/o CCS,,Secondary Energy,1
electricity,gas,gas (steam/CT),Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/o CCS,Secondary Energy|Electricity|Fossil,Secondary Energy|Electricity|Fossil|w/o CCS,,Secondary Energy,1
electricity,gas,gas cogen,Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/o CCS,Secondary Energy|Electricity|Fossil,Secondary Energy|Electricity|Fossil|w/o CCS,,Secondary Energy,1
electricity,gas,desalinated water,Secondary Energy|Electricity,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/o CCS,Secondary Energy|Electricity|Fossil,Secondary Energy|Electricity|Fossil|w/o CCS,,Secondary Energy,1
electricity,geothermal,geothermal,Secondary Energy|Electricity,Secondary Energy|Electricity|Geothermal,,Secondary Energy|Electricity|Non-Biomass Renewables,,,Secondary Energy,1
electricity,hydro,hydro,Secondary Energy|Electricity,Secondary Energy|Electricity|Hydro,,Secondary Energy|Electricity|Non-Biomass Renewables,,,Secondary Energy,1
electricity,nuclear,Gen_II_LWR,Secondary Energy|Electricity,Secondary Energy|Electricity|Nuclear,,,,,Secondary Energy,1
electricity,nuclear,Gen_III,Secondary Energy|Electricity,Secondary Energy|Electricity|Nuclear,,,,,Secondary Energy,1
electricity,refined liquids,refined liquids (CC CCS),Secondary Energy|Electricity,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil|w/ CCS,Secondary Energy|Electricity|Fossil,Secondary Energy|Electricity|Fossil|w/ CCS,,Secondary Energy,1
electricity,refined liquids,refined liquids (CC),Secondary Energy|Electricity,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil|w/o CCS,Secondary Energy|Electricity|Fossil,Secondary Energy|Electricity|Fossil|w/o CCS,,Secondary Energy,1
electricity,refined liquids,refined liquids (steam/CT),Secondary Energy|Electricity,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil|w/o CCS,Secondary Energy|Electricity|Fossil,Secondary Energy|Electricity|Fossil|w/o CCS,,Secondary Energy,1
electricity,refined liquids,refined liquids cogen,Secondary Energy|Electricity,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Oil|w/o CCS,Secondary Energy|Electricity|Fossil,Secondary Energy|Electricity|Fossil|w/o CCS,,Secondary Energy,1
electricity,solar,CSP,Secondary Energy|Electricity,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Solar|CSP,,Secondary Energy|Electricity|Non-Biomass Renewables,,Secondary Energy,1
electricity,solar,CSP_storage,Secondary Energy|Electricity,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Solar|CSP,,Secondary Energy|Electricity|Non-Biomass Renewables,,Secondary Energy,1
electricity,solar,PV,Secondary Energy|Electricity,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Solar|PV,,Secondary Energy|Electricity|Non-Biomass Renewables,,Secondary Energy,1
electricity,solar,PV_storage,Secondary Energy|Electricity,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Solar|PV,,Secondary Energy|Electricity|Non-Biomass Renewables,,Secondary Energy,1
electricity,wind,wind,Secondary Energy|Electricity,Secondary Energy|Electricity|Wind,Secondary Energy|Electricity|Wind|Onshore,,Secondary Energy|Electricity|Non-Biomass Renewables,,Secondary Energy,1
electricity,wind,wind_offshore,Secondary Energy|Electricity,Secondary Energy|Electricity|Wind,Secondary Energy|Electricity|Wind|Offshore,,Secondary Energy|Electricity|Non-Biomass Renewables,,Secondary Energy,1
electricity,wind,wind_storage,Secondary Energy|Electricity,Secondary Energy|Electricity|Wind,Secondary Energy|Electricity|Wind|Onshore,,Secondary Energy|Electricity|Non-Biomass Renewables,,Secondary Energy,1
electricity,hydrogen,hydrogen cogen,Secondary Energy|Electricity,Secondary Energy|Electricity|Hydrogen,,,,,Secondary Energy,1
electricity,rooftop_pv,rooftop_pv,Secondary Energy|Electricity,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Solar|PV,Secondary Energy|Electricity|Solar|PV|Residential,Secondary Energy|Electricity|Non-Biomass Renewables,Secondary Energy|Electricity|Solar|PV|Commercial,Secondary Energy,1
elect_td_bld,rooftop_pv,rooftop_pv,Secondary Energy|Electricity,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Solar|PV,Secondary Energy|Electricity|Solar|PV|Residential,Secondary Energy|Electricity|Non-Biomass Renewables,Secondary Energy|Electricity|Solar|PV|Commercial,Secondary Energy,1
gas processing,biomass gasification,biomass gasification,Secondary Energy|Gases,Secondary Energy|Gases|Biomass,,,,,Secondary Energy,1
gas processing,coal gasification,coal gasification,Secondary Energy|Gases,Secondary Energy|Gases|Coal,Secondary Energy|Gases|Fossil,,,,Secondary Energy,1
gas processing,natural gas,natural gas,Secondary Energy|Gases,Secondary Energy|Gases|Gas,Secondary Energy|Gases|Fossil,,,,Secondary Energy,1
H2 central production,biomass,biomass to H2,Secondary Energy|Hydrogen,Secondary Energy|Hydrogen|Biomass,,,,,Secondary Energy,1
H2 central production,biomass,biomass to H2 CCS,Secondary Energy|Hydrogen,Secondary Energy|Hydrogen|Biomass,,,,,Secondary Energy,1
H2 central production,electricity,electrolysis,Secondary Energy|Hydrogen,Secondary Energy|Hydrogen|Electricity,,,,,Secondary Energy,1
H2 central production,gas,natural gas steam reforming,Secondary Energy|Hydrogen,Secondary Energy|Hydrogen|Gas,Secondary Energy|Hydrogen|Fossil,,,,Secondary Energy,1
H2 central production,gas,natural gas steam reforming CCS,Secondary Energy|Hydrogen,Secondary Energy|Hydrogen|Gas,Secondary Energy|Hydrogen|Fossil,,,,Secondary Energy,1
H2 central production,gas,gas ATR CCS,Secondary Energy|Hydrogen,Secondary Energy|Hydrogen|Gas,Secondary Energy|Hydrogen|Fossil,Secondary Energy|Hydrogen|Gas|w/ CCS,,,Secondary Energy,1
H2 central production,nuclear,electrolysis,Secondary Energy|Hydrogen,Secondary Energy|Hydrogen|Electricity,,,,,Secondary Energy,1
H2 central production,nuclear,thermal splitting,Secondary Energy|Nuclear,Secondary Energy|Nuclear|Other,,,,,Secondary Energy,1
H2 central production,solar,electrolysis,Secondary Energy|Hydrogen,Secondary Energy|Hydrogen|Electricity,,,,,Secondary Energy,1
H2 central production,wind,electrolysis,Secondary Energy|Hydrogen,Secondary Energy|Hydrogen|Electricity,,,,,Secondary Energy,1
H2 central production,coal,coal chemical CCS,Secondary Energy|Hydrogen,Secondary Energy|Hydrogen|Coal,Secondary Energy|Hydrogen|Fossil,Secondary Energy|Hydrogen|Coal|w/ CCS,,,Secondary Energy,1
H2 industrial,onsite production,electrolysis,Secondary Energy|Hydrogen,Secondary Energy|Hydrogen|Other,,,,,Secondary Energy,1
H2 industrial,forecourt production,electrolysis,Secondary Energy|Hydrogen,Secondary Energy|Hydrogen|Other,,,,,Secondary Energy,1
H2 wholesale dispensing,forecourt production,electrolysis,Secondary Energy|Hydrogen,Secondary Energy|Hydrogen|Other,,,,,Secondary Energy,1
H2 wholesale dispensing,forecourt production,natural gas steam reforming,Secondary Energy|Hydrogen,Secondary Energy|Hydrogen|Gas,Secondary Energy|Hydrogen|Fossil,,,,Secondary Energy,1
district heat,biomass,biomass,Secondary Energy|Heat,Secondary Energy|Heat|Biomass,,,,,Secondary Energy,1
district heat,coal,coal,Secondary Energy|Heat,Secondary Energy|Heat|Coal,Secondary Energy|Heat|Fossil,,,,Secondary Energy,1
district heat,gas,gas,Secondary Energy|Heat,Secondary Energy|Heat|Gas,Secondary Energy|Heat|Fossil,,,,Secondary Energy,1
district heat,refined liquids,refined liquids,Secondary Energy|Heat,Secondary Energy|Heat|Oil,,,,,Secondary Energy,1
refining,biomass liquids,BTL with hydrogen,Secondary Energy|Liquids,Secondary Energy|Liquids|Hydrogen,Secondary Energy|Liquids|Biomass,,,,Secondary Energy,1
refining,biomass liquids,FT biofuels,Secondary Energy|Liquids,Secondary Energy|Liquids|Biomass,,,,,Secondary Energy,1
refining,biomass liquids,FT biofuels CCS level 1,Secondary Energy|Liquids,Secondary Energy|Liquids|Biomass,,,,,Secondary Energy,1
refining,biomass liquids,FT biofuels CCS level 2,Secondary Energy|Liquids,Secondary Energy|Liquids|Biomass,,,,,Secondary Energy,1
refining,biomass liquids,biodiesel,Secondary Energy|Liquids,Secondary Energy|Liquids|Biomass,,,,,Secondary Energy,1
refining,biomass liquids,cellulosic ethanol,Secondary Energy|Liquids,Secondary Energy|Liquids|Biomass,,,,,Secondary Energy,1
refining,biomass liquids,cellulosic ethanol CCS level 1,Secondary Energy|Liquids,Secondary Energy|Liquids|Biomass,,,,,Secondary Energy,1
refining,biomass liquids,cellulosic ethanol CCS level 2,Secondary Energy|Liquids,Secondary Energy|Liquids|Biomass,,,,,Secondary Energy,1
refining,biomass liquids,corn ethanol,Secondary Energy|Liquids,Secondary Energy|Liquids|Biomass,,,,,Secondary Energy,1
refining,coal to liquids,coal to liquids,Secondary Energy|Liquids,Secondary Energy|Liquids|Coal,Secondary Energy|Liquids|Fossil,,,,Secondary Energy,1
refining,coal to liquids,coal to liquids CCS level 1,Secondary Energy|Liquids,Secondary Energy|Liquids|Coal,Secondary Energy|Liquids|Fossil,,,,Secondary Energy,1
refining,coal to liquids,coal to liquids CCS level 2,Secondary Energy|Liquids,Secondary Energy|Liquids|Coal,Secondary Energy|Liquids|Fossil,,,,Secondary Energy,1
refining,gas to liquids,gas to liquids,Secondary Energy|Liquids,Secondary Energy|Liquids|Gas,Secondary Energy|Liquids|Fossil,,,,Secondary Energy,1
refining,oil refining,oil refining,Secondary Energy|Liquids,Secondary Energy|Liquids|Oil,,,,,Secondary Energy,1
refining,biomass liquids,sugar cane ethanol,Secondary Energy|Liquids,Secondary Energy|Liquids|Biomass,,,,,Secondary Energy,1
