# map to pair energy consumption and en_prices to compute the parent categories and World en_prices weighted by energy consumption
en_price_var,en_consumption_var
Price|Final Energy|Agriculture|Electricity,Final Energy|Agriculture|Electricity
Price|Final Energy|Agriculture|Gases,Final Energy|Agriculture|Gases
Price|Final Energy|Agriculture|Heat,Final Energy|Agriculture|Heat
Price|Final Energy|Agriculture|Hydrogen,Final Energy|Agriculture|Hydrogen
Price|Final Energy|Agriculture|Liquids,Final Energy|Agriculture|Liquids
Price|Final Energy|Agriculture|Solids,Final Energy|Agriculture|Solids
Price|Final Energy|Agriculture|Solids|Biomass,Final Energy|Agriculture|Solids|Biomass
Price|Final Energy|Agriculture|Solids|Coal,Final Energy|Agriculture|Solids|Coal
Price|Final Energy|Bunkers|Electricity,Final Energy|Transportation (w/ bunkers)|Electricity
Price|Final Energy|Bunkers|Hydrogen,Final Energy|Transportation (w/ bunkers)|Hydrogen
Price|Final Energy|Bunkers|Liquids,Final Energy|Transportation (w/ bunkers)|Liquids
Price|Final Energy|Commercial|Electricity,Final Energy|Commercial|Electricity
Price|Final Energy|Commercial|Gases,Final Energy|Commercial|Gases
Price|Final Energy|Commercial|Heat,Final Energy|Commercial|Heat
Price|Final Energy|Commercial|Hydrogen,Final Energy|Commercial|Hydrogen
Price|Final Energy|Commercial|Liquids,Final Energy|Commercial|Liquids
Price|Final Energy|Commercial|Solids,Final Energy|Commercial|Solids
Price|Final Energy|Commercial|Solids|Biomass,Final Energy|Commercial|Solids|Biomass
Price|Final Energy|Commercial|Solids|Coal,Final Energy|Commercial|Solids|Coal
Price|Final Energy|Electricity,Final Energy|Electricity
Price|Final Energy|Gases,Final Energy|Gases
Price|Final Energy|Heat,Final Energy|Heat
Price|Final Energy|Hydrogen,Final Energy|Hydrogen
Price|Final Energy|Industry|Chemicals|Ammonia|Gases,Final Energy|Industry|Chemicals|Ammonia|Gases
Price|Final Energy|Industry|Chemicals|Ammonia|Hydrogen,Final Energy|Industry|Chemicals|Ammonia|Hydrogen
Price|Final Energy|Industry|Chemicals|Electricity,Final Energy|Industry|Chemicals|Electricity
Price|Final Energy|Industry|Chemicals|Gases,Final Energy|Industry|Chemicals|Gases
Price|Final Energy|Industry|Chemicals|Heat,Final Energy|Industry|Chemicals|Heat
Price|Final Energy|Industry|Chemicals|Liquids,Final Energy|Industry|Chemicals|Liquids
Price|Final Energy|Industry|Chemicals|Solids,Final Energy|Industry|Chemicals|Solids
Price|Final Energy|Industry|Chemicals|Solids|Biomass,Final Energy|Industry|Chemicals|Solids|Biomass
Price|Final Energy|Industry|Chemicals|Solids|Coal,Final Energy|Industry|Chemicals|Solids|Coal
Price|Final Energy|Industry|Electricity,Final Energy|Industry|Electricity
Price|Final Energy|Industry|Gases,Final Energy|Industry|Gases
Price|Final Energy|Industry|Heat,Final Energy|Industry|Heat
Price|Final Energy|Industry|Hydrogen,Final Energy|Industry|Hydrogen
Price|Final Energy|Industry|Iron and Steel|Electricity,Final Energy|Industry|Iron and Steel|Electricity
Price|Final Energy|Industry|Iron and Steel|Gases,Final Energy|Industry|Iron and Steel|Gases
Price|Final Energy|Industry|Iron and Steel|Hydrogen,Final Energy|Industry|Iron and Steel|Hydrogen
Price|Final Energy|Industry|Iron and Steel|Liquids,Final Energy|Industry|Iron and Steel|Liquids
Price|Final Energy|Industry|Iron and Steel|Solids,Final Energy|Industry|Iron and Steel|Solids
Price|Final Energy|Industry|Iron and Steel|Solids|Biomass,Final Energy|Industry|Iron and Steel|Solids|Biomass
Price|Final Energy|Industry|Iron and Steel|Solids|Coal,Final Energy|Industry|Iron and Steel|Solids|Coal
Price|Final Energy|Industry|Liquids,Final Energy|Industry|Liquids
Price|Final Energy|Industry|Non-Metallic Minerals|Cement|Electricity,Final Energy|Industry|Non-Metallic Minerals|Cement|Electricity
Price|Final Energy|Industry|Other Sector|Electricity,Final Energy|Industry|Other Sector|Electricity
Price|Final Energy|Industry|Other Sector|Gases,Final Energy|Industry|Other Sector|Gases
Price|Final Energy|Industry|Other Sector|Hydrogen,Final Energy|Industry|Other Sector|Hydrogen
Price|Final Energy|Industry|Other Sector|Liquids,Final Energy|Industry|Other Sector|Liquids
Price|Final Energy|Industry|Other Sector|Solids,Final Energy|Industry|Other Sector|Solids
Price|Final Energy|Industry|Other Sector|Solids|Biomass,Final Energy|Industry|Other Sector|Solids|Biomass
Price|Final Energy|Industry|Other Sector|Solids|Coal,Final Energy|Industry|Other Sector|Solids|Coal
Price|Final Energy|Industry|Pulp and Paper|Electricity,Final Energy|Industry|Pulp and Paper|Electricity
Price|Final Energy|Industry|Solids,Final Energy|Industry|Solids
Price|Final Energy|Industry|Solids|Biomass,Final Energy|Industry|Solids|Biomass
Price|Final Energy|Industry|Solids|Coal,Final Energy|Industry|Solids|Coal
Price|Final Energy|Liquids,Final Energy|Liquids
Price|Final Energy|Residential and Commercial|Electricity,Final Energy|Residential and Commercial|Electricity
Price|Final Energy|Residential and Commercial|Gases,Final Energy|Residential and Commercial|Gases
Price|Final Energy|Residential and Commercial|Heat,Final Energy|Residential and Commercial|Heat
Price|Final Energy|Residential and Commercial|Hydrogen,Final Energy|Residential and Commercial|Hydrogen
Price|Final Energy|Residential and Commercial|Liquids,Final Energy|Residential and Commercial|Liquids
