#Resource extraction
resource,var1,var2,unit_conv
AdnNicIsl_water consumption,NoReported,,1
AdnNicIsl_water withdrawals,NoReported,,1
AdrBlkSea_water consumption,NoReported,,1
AdrBlkSea_water withdrawals,NoReported,,1
AfrCstE_water consumption,NoReported,,1
AfrCstE_water withdrawals,NoReported,,1
AfrCstNE_water consumption,NoReported,,1
AfrCstNE_water withdrawals,NoReported,,1
AfrCstNW_water consumption,NoReported,,1
AfrCstNW_water withdrawals,NoReported,,1
AfrCstS_water consumption,NoReported,,1
AfrCstS_water withdrawals,NoReported,,1
AfrCstSE_water consumption,NoReported,,1
AfrCstSE_water withdrawals,NoReported,,1
AfrCstSSW_water consumption,NoReported,,1
AfrCstSSW_water withdrawals,NoReported,,1
AfrCstSW_water consumption,NoReported,,1
AfrCstSW_water withdrawals,NoReported,,1
AfrCstW_water consumption,NoReported,,1
AfrCstW_water withdrawals,NoReported,,1
AfrIntN_water consumption,NoReported,,1
AfrIntN_water withdrawals,NoReported,,1
AfrIntS_water consumption,NoReported,,1
AfrIntS_water withdrawals,NoReported,,1
AmazonR_water consumption,NoReported,,1
AmazonR_water withdrawals,NoReported,,1
AmuDaryaR_water consumption,NoReported,,1
AmuDaryaR_water withdrawals,NoReported,,1
AmurR_water consumption,NoReported,,1
AmurR_water withdrawals,NoReported,,1
AngolaCst_water consumption,NoReported,,1
AngolaCst_water withdrawals,NoReported,,1
ArabianP_water consumption,NoReported,,1
ArabianP_water withdrawals,NoReported,,1
ArabianSea_water consumption,NoReported,,1
ArabianSea_water withdrawals,NoReported,,1
ArcticIsl_water consumption,NoReported,,1
ArcticIsl_water withdrawals,NoReported,,1
ArgColoR_water consumption,NoReported,,1
ArgColoR_water withdrawals,NoReported,,1
ArgCstN_water consumption,NoReported,,1
ArgCstN_water withdrawals,NoReported,,1
ArgCstS_water consumption,NoReported,,1
ArgCstS_water withdrawals,NoReported,,1
ArkWhtRedR_water consumption,NoReported,,1
ArkWhtRedR_water withdrawals,NoReported,,1
AusCstE_water consumption,NoReported,,1
AusCstE_water withdrawals,NoReported,,1
AusCstN_water consumption,NoReported,,1
AusCstN_water withdrawals,NoReported,,1
AusCstS_water consumption,NoReported,,1
AusCstS_water withdrawals,NoReported,,1
AusCstW_water consumption,NoReported,,1
AusCstW_water withdrawals,NoReported,,1
AusInt_water consumption,NoReported,,1
AusInt_water withdrawals,NoReported,,1
BalticSea_water consumption,NoReported,,1
BalticSea_water withdrawals,NoReported,,1
BarentsSea_water consumption,NoReported,,1
BarentsSea_water withdrawals,NoReported,,1
BengalBay_water consumption,NoReported,,1
BengalBay_water withdrawals,NoReported,,1
BengalW_water consumption,NoReported,,1
BengalW_water withdrawals,NoReported,,1
bio_externality_cost,NoReported,,1
biomass,NoReported,,1
biophysical water consumption,NoReported,,1
BlackSeaN_water consumption,NoReported,,1
BlackSeaN_water withdrawals,NoReported,,1
BlackSeaS_water consumption,NoReported,,1
BlackSeaS_water withdrawals,NoReported,,1
BoHai_water consumption,NoReported,,1
BoHai_water withdrawals,NoReported,,1
BorneoCstN_water consumption,NoReported,,1
BorneoCstN_water withdrawals,NoReported,,1
BrahmaniR_water consumption,NoReported,,1
BrahmaniR_water withdrawals,NoReported,,1
BrzCstE_water consumption,NoReported,,1
BrzCstE_water withdrawals,NoReported,,1
BrzCstN_water consumption,NoReported,,1
BrzCstN_water withdrawals,NoReported,,1
BrzCstS_water consumption,NoReported,,1
BrzCstS_water withdrawals,NoReported,,1
California_water consumption,NoReported,,1
California_water withdrawals,NoReported,,1
CanAtl_water consumption,NoReported,,1
CanAtl_water withdrawals,NoReported,,1
capital,NoReported,,1
