# yield and land scalers for cereals
# Source: extra_scripts/Postprocess_Cereal_Yield.R
region,GCAM_commodity,year,PhysicalLand_scaler,Yield_scaler
Africa_Eastern,Corn,1975,1,1
Africa_Eastern,Corn,1990,1,1
Africa_Eastern,Corn,2005,1,1
Africa_Eastern,Corn,2010,1,1
Africa_Eastern,Corn,2015,1,1
Africa_Eastern,Corn,2019,1,1
Africa_Eastern,Corn,2020,1,1
Africa_Eastern,Corn,2021,1,1
Africa_Eastern,Corn,2025,1,1
Africa_Eastern,Corn,2030,1,1
Africa_Eastern,Corn,2035,1,1
Africa_Eastern,Corn,2040,1,1
Africa_Eastern,Corn,2045,1,1
Africa_Eastern,Corn,2050,1,1
Africa_Eastern,Corn,2055,1,1
Africa_Eastern,Corn,2060,1,1
Africa_Eastern,Corn,2065,1,1
Africa_Eastern,Corn,2070,1,1
Africa_Eastern,Corn,2075,1,1
Africa_Eastern,Corn,2080,1,1
Africa_Eastern,Corn,2085,1,1
Africa_Eastern,Corn,2090,1,1
Africa_Eastern,Corn,2095,1,1
Africa_Eastern,Corn,2100,1,1
Africa_Eastern,OtherGrain,1975,1,1
Africa_Eastern,OtherGrain,1990,1,1
Africa_Eastern,OtherGrain,2005,1,1
Africa_Eastern,OtherGrain,2010,1,1
Africa_Eastern,OtherGrain,2015,1,1
Africa_Eastern,OtherGrain,2019,1,1
Africa_Eastern,OtherGrain,2020,1,1
Africa_Eastern,OtherGrain,2021,1,1
Africa_Eastern,OtherGrain,2025,1,1
Africa_Eastern,OtherGrain,2030,1,1
Africa_Eastern,OtherGrain,2035,1,1
Africa_Eastern,OtherGrain,2040,1,1
Africa_Eastern,OtherGrain,2045,1,1
Africa_Eastern,OtherGrain,2050,1,1
Africa_Eastern,OtherGrain,2055,1,1
Africa_Eastern,OtherGrain,2060,1,1
Africa_Eastern,OtherGrain,2065,1,1
Africa_Eastern,OtherGrain,2070,1,1
Africa_Eastern,OtherGrain,2075,1,1
Africa_Eastern,OtherGrain,2080,1,1
Africa_Eastern,OtherGrain,2085,1,1
Africa_Eastern,OtherGrain,2090,1,1
Africa_Eastern,OtherGrain,2095,1,1
Africa_Eastern,OtherGrain,2100,1,1
Africa_Eastern,Rice,1975,1,1
Africa_Eastern,Rice,1990,1,1
Africa_Eastern,Rice,2005,1,1
Africa_Eastern,Rice,2010,1,1
Africa_Eastern,Rice,2015,1,1
Africa_Eastern,Rice,2019,1,1
Africa_Eastern,Rice,2020,1,1
Africa_Eastern,Rice,2021,1,1
Africa_Eastern,Rice,2025,1,1
Africa_Eastern,Rice,2030,1,1
Africa_Eastern,Rice,2035,1,1
Africa_Eastern,Rice,2040,1,1
Africa_Eastern,Rice,2045,1,1
Africa_Eastern,Rice,2050,1,1
Africa_Eastern,Rice,2055,1,1
Africa_Eastern,Rice,2060,1,1
Africa_Eastern,Rice,2065,1,1
Africa_Eastern,Rice,2070,1,1
Africa_Eastern,Rice,2075,1,1
Africa_Eastern,Rice,2080,1,1
Africa_Eastern,Rice,2085,1,1
Africa_Eastern,Rice,2090,1,1
Africa_Eastern,Rice,2095,1,1
Africa_Eastern,Rice,2100,1,1
Africa_Eastern,Wheat,1975,1,1
Africa_Eastern,Wheat,1990,1,1
Africa_Eastern,Wheat,2005,1,1
Africa_Eastern,Wheat,2010,1,1
Africa_Eastern,Wheat,2015,1,1
Africa_Eastern,Wheat,2019,1,1
Africa_Eastern,Wheat,2020,1,1
Africa_Eastern,Wheat,2021,1,1
Africa_Eastern,Wheat,2025,1,1
Africa_Eastern,Wheat,2030,1,1
Africa_Eastern,Wheat,2035,1,1
Africa_Eastern,Wheat,2040,1,1
Africa_Eastern,Wheat,2045,1,1
Africa_Eastern,Wheat,2050,1,1
Africa_Eastern,Wheat,2055,1,1
Africa_Eastern,Wheat,2060,1,1
Africa_Eastern,Wheat,2065,1,1
Africa_Eastern,Wheat,2070,1,1
Africa_Eastern,Wheat,2075,1,1
Africa_Eastern,Wheat,2080,1,1
Africa_Eastern,Wheat,2085,1,1
Africa_Eastern,Wheat,2090,1,1
Africa_Eastern,Wheat,2095,1,1
Africa_Eastern,Wheat,2100,1,1
Africa_Northern,Corn,1975,2.26701976718503,0.441107754980763
Africa_Northern,Corn,1990,2.1892176758908,0.456784179578258
Africa_Northern,Corn,2005,2.28328843658546,0.437964815998214
Africa_Northern,Corn,2010,2.30493888311124,0.433850982916383
Africa_Northern,Corn,2015,2.22274112496788,0.4498949467246
Africa_Northern,Corn,2019,2.23776661883925,0.446874125112614
Africa_Northern,Corn,2020,2.18852206525,0.456929366113459
Africa_Northern,Corn,2021,2.18354777355198,0.457970286756447
Africa_Northern,Corn,2025,2.18354777355198,0.457970286756447
Africa_Northern,Corn,2030,2.18354777355198,0.457970286756447
Africa_Northern,Corn,2035,2.18354777355198,0.457970286756447
Africa_Northern,Corn,2040,2.18354777355198,0.457970286756447
Africa_Northern,Corn,2045,2.18354777355198,0.457970286756447
Africa_Northern,Corn,2050,2.18354777355198,0.457970286756447
Africa_Northern,Corn,2055,2.18354777355198,0.457970286756447
Africa_Northern,Corn,2060,2.18354777355198,0.457970286756447
Africa_Northern,Corn,2065,2.18354777355198,0.457970286756447
Africa_Northern,Corn,2070,2.18354777355198,0.457970286756447
Africa_Northern,Corn,2075,2.18354777355198,0.457970286756447
Africa_Northern,Corn,2080,2.18354777355198,0.457970286756447
Africa_Northern,Corn,2085,2.18354777355198,0.457970286756447
Africa_Northern,Corn,2090,2.18354777355198,0.457970286756447
Africa_Northern,Corn,2095,2.18354777355198,0.457970286756447
Africa_Northern,Corn,2100,2.18354777355198,0.457970286756447
Africa_Northern,OtherGrain,1975,1.07849579999226,0.927217333630023
Africa_Northern,OtherGrain,1990,1.00850258082222,0.991569103556193
Africa_Northern,OtherGrain,2005,1.08165838245341,0.924506310145543
Africa_Northern,OtherGrain,2010,1.09951951460043,0.909488177991459
Africa_Northern,OtherGrain,2015,1.03852970427176,0.962899757115009
Africa_Northern,OtherGrain,2019,1.0471327388381,0.954988763993382
Africa_Northern,OtherGrain,2020,1.02024481682892,0.980156903034466
Africa_Northern,OtherGrain,2021,1.01801034064401,0.982308293025183
Africa_Northern,OtherGrain,2025,1.01801034064401,0.982308293025183
Africa_Northern,OtherGrain,2030,1.01801034064401,0.982308293025183
Africa_Northern,OtherGrain,2035,1.01801034064401,0.982308293025183
Africa_Northern,OtherGrain,2040,1.01801034064401,0.982308293025183
Africa_Northern,OtherGrain,2045,1.01801034064401,0.982308293025183
Africa_Northern,OtherGrain,2050,1.01801034064401,0.982308293025183
Africa_Northern,OtherGrain,2055,1.01801034064401,0.982308293025183
Africa_Northern,OtherGrain,2060,1.01801034064401,0.982308293025183
Africa_Northern,OtherGrain,2065,1.01801034064401,0.982308293025183
Africa_Northern,OtherGrain,2070,1.01801034064401,0.982308293025183
Africa_Northern,OtherGrain,2075,1.01801034064401,0.982308293025183
Africa_Northern,OtherGrain,2080,1.01801034064401,0.982308293025183
Africa_Northern,OtherGrain,2085,1.01801034064401,0.982308293025183
Africa_Northern,OtherGrain,2090,1.01801034064401,0.982308293025183
Africa_Northern,OtherGrain,2095,1.01801034064401,0.982308293025183
Africa_Northern,OtherGrain,2100,1.01801034064401,0.982308293025183
Africa_Northern,Rice,1975,3.07507938700038,0.325194856505952
Africa_Northern,Rice,1990,3.07011449327934,0.325720751518896
Africa_Northern,Rice,2005,3.05581010507122,0.327245465397364
Africa_Northern,Rice,2010,3.02963705361125,0.330072540804195
Africa_Northern,Rice,2015,3.07120536875329,0.325605057276237
Africa_Northern,Rice,2019,3.07300774092797,0.325414084280186
Africa_Northern,Rice,2020,3.06884084821082,0.325855933709633
Africa_Northern,Rice,2021,3.06826821381557,0.325916748574089
Africa_Northern,Rice,2025,3.06826821381557,0.325916748574089
Africa_Northern,Rice,2030,3.06826821381557,0.325916748574089
Africa_Northern,Rice,2035,3.06826821381557,0.325916748574089
Africa_Northern,Rice,2040,3.06826821381557,0.325916748574089
Africa_Northern,Rice,2045,3.06826821381557,0.325916748574089
Africa_Northern,Rice,2050,3.06826821381557,0.325916748574089
Africa_Northern,Rice,2055,3.06826821381557,0.325916748574089
Africa_Northern,Rice,2060,3.06826821381557,0.325916748574089
Africa_Northern,Rice,2065,3.06826821381557,0.325916748574089
Africa_Northern,Rice,2070,3.06826821381557,0.325916748574089
Africa_Northern,Rice,2075,3.06826821381557,0.325916748574089
Africa_Northern,Rice,2080,3.06826821381557,0.325916748574089
Africa_Northern,Rice,2085,3.06826821381557,0.325916748574089
Africa_Northern,Rice,2090,3.06826821381557,0.325916748574089
Africa_Northern,Rice,2095,3.06826821381557,0.325916748574089
Africa_Northern,Rice,2100,3.06826821381557,0.325916748574089
Africa_Northern,Wheat,1975,1.15645929043996,0.864708345781515
Africa_Northern,Wheat,1990,1.11424048664474,0.897472324858031
Africa_Northern,Wheat,2005,1.17118870580306,0.853833370357102
Africa_Northern,Wheat,2010,1.18723876073353,0.842290559467713
Africa_Northern,Wheat,2015,1.13488001231563,0.881150420439231
Africa_Northern,Wheat,2019,1.14090930427304,0.876493859989312
Africa_Northern,Wheat,2020,1.11662110375452,0.895558929199536
Africa_Northern,Wheat,2021,1.11448417931814,0.897276083911584
Africa_Northern,Wheat,2025,1.11448417931814,0.897276083911584
Africa_Northern,Wheat,2030,1.11448417931814,0.897276083911584
Africa_Northern,Wheat,2035,1.11448417931814,0.897276083911584
Africa_Northern,Wheat,2040,1.11448417931814,0.897276083911584
Africa_Northern,Wheat,2045,1.11448417931814,0.897276083911584
Africa_Northern,Wheat,2050,1.11448417931814,0.897276083911584
Africa_Northern,Wheat,2055,1.11448417931814,0.897276083911584
Africa_Northern,Wheat,2060,1.11448417931814,0.897276083911584
Africa_Northern,Wheat,2065,1.11448417931814,0.897276083911584
Africa_Northern,Wheat,2070,1.11448417931814,0.897276083911584
Africa_Northern,Wheat,2075,1.11448417931814,0.897276083911584
Africa_Northern,Wheat,2080,1.11448417931814,0.897276083911584
Africa_Northern,Wheat,2085,1.11448417931814,0.897276083911584
Africa_Northern,Wheat,2090,1.11448417931814,0.897276083911584
Africa_Northern,Wheat,2095,1.11448417931814,0.897276083911584
Africa_Northern,Wheat,2100,1.11448417931814,0.897276083911584
Africa_Southern,Corn,1975,1,1
Africa_Southern,Corn,1990,1,1
Africa_Southern,Corn,2005,1.04934535851934,0.952975101935016
Africa_Southern,Corn,2010,1.03675438669007,0.964548607498628
Africa_Southern,Corn,2015,1,1
