# Description: per-basin vegetation and soil carbon densities used as emission factors for afforestation/reforestation (AR) carbon storage estimation
# Usage: cdf_lulucf computation
# Source: GCAM v8 ScenMIP - GCAM_land_carbon_info_ScenMIP (Xin Zhao, 2026-05-14) 
region,basin,LandLeaf,veg.carbon.density,soil.carbon.density,mature.age,min.soil.carbon.density,SoilTime
USA,PacArctic,UnmanagedPasture_PacArctic,77,968,10,782.345668811392,50
USA,NelsonR,UnmanagedPasture_NelsonR,58.6666666666667,352,10,322.461262913638,50
USA,FraserR,UnmanagedPasture_FraserR,176,645.333333333333,10,436.333333333333,50
USA,MexCstNW,UnmanagedPasture_MexCstNW,33,117.333333333333,10,93.5955133728447,50
USA,Caribbean,UnmanagedPasture_Caribbean,179.666666666667,432.666666666667,11,326.253290260932,50
USA,California,UnmanagedPasture_California,84.3333333333333,234.666666666667,10,198.343091269844,50
USA,MissppRN,UnmanagedPasture_MissppRN,88,293.333333333333,10,259.501873672833,50
USA,MissppRS,UnmanagedPasture_MissppRS,139.333333333333,443.666666666667,10,219.350767236589,50
USA,UsaColoRN,UnmanagedPasture_UsaColoRN,51.3333333333333,264,10,223.444106483816,50
USA,UsaColoRS,UnmanagedPasture_UsaColoRS,33,146.666666666667,10,104.093545069638,50
USA,GreatBasin,UnmanagedPasture_GreatBasin,40.3333333333333,234.666666666667,10,159.626064435428,50
USA,MissouriR,UnmanagedPasture_MissouriR,44,234.666666666667,10,206.127211732756,50
USA,ArkWhtRedR,UnmanagedPasture_ArkWhtRedR,47.6666666666667,205.333333333333,10,179.438055174581,50
USA,TexasCst,UnmanagedPasture_TexasCst,58.6666666666667,205.333333333333,10,179.845322604059,50
USA,UsaCstSE,UnmanagedPasture_UsaCstSE,183.333333333333,410.666666666667,10,255.66637831427,50
USA,GreatLakes,UnmanagedPasture_GreatLakes,168.666666666667,440,10,443.545643146702,50
USA,OhioR,UnmanagedPasture_OhioR,150.333333333333,264,10,249.579401887665,50
USA,UsaPacNW,UnmanagedPasture_UsaPacNW,102.666666666667,293.333333333333,10,264.121757476052,50
USA,TennR,UnmanagedPasture_TennR,176,234.666666666667,10,221.715709592738,50
USA,RioGrande,UnmanagedPasture_RioGrande,22,146.666666666667,10,131.878419408681,50
USA,UsaCstNE,UnmanagedPasture_UsaCstNE,190.666666666667,557.333333333333,10,517.279935584566,50
USA,UsaCstE,UnmanagedPasture_UsaCstE,201.666666666667,440,10,384.087601979362,50
USA,Hawaii,UnmanagedPasture_Hawaii,179.666666666667,850.666666666667,10,744.333333333333,50
Africa_Eastern,NileR,UnmanagedPasture_NileR,165,231,27,201.303050461597,25
Africa_Eastern,AfrCstNE,UnmanagedPasture_AfrCstNE,128.333333333333,106.333333333333,12,85.3495687499321,25
Africa_Eastern,AfrIntN,UnmanagedPasture_AfrIntN,25.6666666666667,58.6666666666667,11,34.9562685100941,25
Africa_Eastern,LChad,UnmanagedPasture_LChad,69.6666666666667,143,28,124.954669456663,25
Africa_Eastern,ShebJubR,UnmanagedPasture_ShebJubR,161.333333333333,176,17,171.765480166435,25
Africa_Eastern,AfrCstE,UnmanagedPasture_AfrCstE,150.333333333333,146.666666666667,26,144.257807828542,25
Africa_Eastern,Madagascar,UnmanagedPasture_Madagascar,73.3333333333333,187,27,262.993113472177,25
Africa_Eastern,RiftValley,UnmanagedPasture_RiftValley,146.666666666667,275,18,244.35268196422,25
Africa_Eastern,CongoR,UnmanagedPasture_CongoR,176,330,24,284.164481684857,25
Africa_Northern,MeditS,UnmanagedPasture_MeditS,66,146.666666666667,11,149.034081162567,25
Africa_Northern,AfrCstNW,UnmanagedPasture_AfrCstNW,44,176,11,136.810252780444,25
Africa_Northern,AfrIntN,UnmanagedPasture_AfrIntN,110,139.333333333333,10,91.632182596937,25
Africa_Southern,NileR,UnmanagedPasture_NileR,84.3333333333333,198,25,178.081490295663,25
Africa_Southern,GuineaGulf,UnmanagedPasture_GuineaGulf,212.666666666667,293.333333333333,29,244.014275302219,25
Africa_Southern,AfrCstE,UnmanagedPasture_AfrCstE,161.333333333333,146.666666666667,27,136.209332509823,25
Africa_Southern,RiftValley,UnmanagedPasture_RiftValley,135.666666666667,146.666666666667,25,129.498668873031,25
Africa_Southern,AngolaCst,UnmanagedPasture_AngolaCst,183.333333333333,179.666666666667,24,160.137276971925,25
Africa_Southern,CongoR,UnmanagedPasture_CongoR,161.333333333333,198,21,167.702752505245,25
Africa_Southern,ZambeziR,UnmanagedPasture_ZambeziR,168.666666666667,194.333333333333,25,165.774120337431,25
Africa_Southern,AfrCstSE,UnmanagedPasture_AfrCstSE,143,150.333333333333,28,133.360901243555,25
Africa_Southern,OrangeR,UnmanagedPasture_OrangeR,58.6666666666667,102.666666666667,23,87.1905781435965,25
Africa_Southern,AfrCstSW,UnmanagedPasture_AfrCstSW,110,73.3333333333333,19,61.2568954126919,25
Africa_Southern,AfrIntS,UnmanagedPasture_AfrIntS,110,73.3333333333333,26,65.8442400606877,25
Africa_Southern,AfrCstS,UnmanagedPasture_AfrCstS,110,179.666666666667,22,164.217681125013,25
Africa_Southern,LimpopoR,UnmanagedPasture_LimpopoR,139.333333333333,88,29,76.1375690321845,25
Africa_Western,AfrCstNW,UnmanagedPasture_AfrCstNW,91.6666666666667,278.666666666667,29,29.3001448225923,25
Africa_Western,NileR,UnmanagedPasture_NileR,220,355.666666666667,26,323.827465745369,25
Africa_Western,AfrCstW,UnmanagedPasture_AfrCstW,179.666666666667,205.333333333333,24,180.778846415937,25
Africa_Western,AfrIntN,UnmanagedPasture_AfrIntN,22,264,11,230.454763548606,25
Africa_Western,NigerR,UnmanagedPasture_NigerR,110,161.333333333333,21,139.630290035877,25
Africa_Western,LChad,UnmanagedPasture_LChad,150.333333333333,209,27,176.653875325798,25
Africa_Western,SenegalR,UnmanagedPasture_SenegalR,102.666666666667,128.333333333333,25,109.716109758615,25
Africa_Western,VoltaR,UnmanagedPasture_VoltaR,88,157.666666666667,28,141.856189460415,25
Africa_Western,GuineaGulf,UnmanagedPasture_GuineaGulf,278.666666666667,333.666666666667,22,279.554934441185,25
Africa_Western,CongoR,UnmanagedPasture_CongoR,179.666666666667,212.666666666667,21,195.656175934795,25
Africa_Western,ZambeziR,UnmanagedPasture_ZambeziR,223.666666666667,238.333333333333,15,182.154956238267,25
Australia_NZ,AusCstN,UnmanagedPasture_AusCstN,198,179.666666666667,23,158.145210785253,50
Australia_NZ,AusCstE,UnmanagedPasture_AusCstE,51.3333333333333,198,17,187.19451598436,50
Australia_NZ,AusCstW,UnmanagedPasture_AusCstW,146.666666666667,220,20,121.823627415489,50
Australia_NZ,AusInt,UnmanagedPasture_AusInt,18.3333333333333,88,22,76.6512487205126,50
Australia_NZ,NewZealand,UnmanagedPasture_NewZealand,194.333333333333,601.333333333333,13,537.852632607897,50
Australia_NZ,AusCstS,UnmanagedPasture_AusCstS,25.6666666666667,124.666666666667,24,103.9013407097,50
Australia_NZ,MurrayDrlg,UnmanagedPasture_MurrayDrlg,29.3333333333333,157.666666666667,16,141.248666981081,50
Australia_NZ,Tasmania,UnmanagedPasture_Tasmania,348.333333333333,685.666666666667,25,518.423889656303,50
Brazil,OrinocoR,UnmanagedPasture_OrinocoR,29.3333333333333,293.333333333333,29,265.306930693069,25
Brazil,SAmerCstNE,UnmanagedPasture_SAmerCstNE,161.333333333333,322.666666666667,18,219.400972170456,25
Brazil,AmazonR,UnmanagedPasture_AmazonR,337.333333333333,289.666666666667,20,235.872767000304,25
Brazil,BrzCstN,UnmanagedPasture_BrzCstN,176,176,24,170.25634716028,25
Brazil,TocantinsR,UnmanagedPasture_TocantinsR,172.333333333333,176,26,160.637098549652,25
Brazil,BrzCstE,UnmanagedPasture_BrzCstE,168.666666666667,146.666666666667,13,129.758357068666,25
Brazil,ParnaibaR,UnmanagedPasture_ParnaibaR,172.333333333333,146.666666666667,27,128.333333333333,25
Brazil,SaoFrancR,UnmanagedPasture_SaoFrancR,187,176,28,148.096408939082,25
Brazil,BrzCstS,UnmanagedPasture_BrzCstS,157.666666666667,293.333333333333,21,241.56408812968,25
Brazil,RioLaPlata,UnmanagedPasture_RioLaPlata,161.333333333333,264,22,229.173272646313,25
Canada,NWTerr,UnmanagedPasture_NWTerr,66,1114.66666666667,10,870.48274616047,75
Canada,PacArctic,UnmanagedPasture_PacArctic,69.6666666666667,674.666666666667,10,580.017902258112,75
Canada,Mackenzie,UnmanagedPasture_Mackenzie,66,1026.66666666667,10,698.612174430072,75
Canada,HudsonBay,UnmanagedPasture_HudsonBay,40.3333333333333,762.666666666667,10,760.130496370976,75
Canada,CanAtl,UnmanagedPasture_CanAtl,55,645.333333333333,10,530.378739200295,75
Canada,NelsonR,UnmanagedPasture_NelsonR,55,381.333333333333,10,422.138206854892,75
Canada,FraserR,UnmanagedPasture_FraserR,161.333333333333,557.333333333333,10,427.004906674299,75
Canada,ChurchillR,UnmanagedPasture_ChurchillR,36.6666666666667,586.666666666667,10,504.274509803922,75
Canada,StLwrncR,UnmanagedPasture_StLwrncR,47.6666666666667,586.666666666667,10,539.421417760938,75
Canada,MissouriR,UnmanagedPasture_MissouriR,29.3333333333333,234.666666666667,10,206.716692010186,75
Canada,GreatLakes,UnmanagedPasture_GreatLakes,150.333333333333,469.333333333333,10,448.687240592085,75
