# Conveyance loss factor obtained from L165.ag_IrrEff_R (gcamdata).
# Source: L165.ag_IrrEff_R & extra_scripts/Derive_Irrigation_Water_Withdrawal
conveyance.eff,region
0.829937455747218,USA
0.7,Africa_Eastern
0.718726736373752,Africa_Northern
0.836637290831608,Africa_Southern
0.714449655526744,Africa_Western
0.7,Australia_NZ
0.83,Brazil
0.83,Canada
0.7643433408873,Central America and Caribbean
0.725468566598492,Central Asia
0.7,China
0.880188709966145,EU-12
0.851204253349998,EU-15
0.95,Ukraine
0.70850917449416,Europe_Non_EU
0.788846802098672,European Free Trade Association
0.85,India
0.7,Indonesia
0.7,Japan
0.7,Mexico
0.727215863247552,Middle East
0.7,Pakistan
0.95,Russia
0.83,South Africa
0.7,South America_Northern
0.7,South America_Southern
0.712618571071184,South Asia
0.7,South Korea
0.700002614840189,Southeast Asia
0.7,Taiwan
0.7,Argentina
0.7,Colombia
