# Transport Demand for Final Fuels
input,sector,mode,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,unit_conv
H2 wholesale dispensing,trn_aviation_intl,International Aviation,Final Energy,Final Energy|Hydrogen,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Hydrogen,Final Energy|Bunkers,Final Energy|Bunkers|Hydrogen,Final Energy|Bunkers|Passenger,Final Energy|Bunkers|International Aviation,Final Energy|Bunkers|International Aviation|Passenger,,,,,,,1
elect_td_trn,trn_aviation_intl,International Aviation,Final Energy,Final Energy|Electricity,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Electricity,Final Energy|Bunkers,Final Energy|Bunkers|Electricity,Final Energy|Bunkers|Passenger,Final Energy|Bunkers|International Aviation,Final Energy|Bunkers|International Aviation|Passenger,,,,,,,1
refined liquids enduse,trn_aviation_intl,International Aviation,Final Energy,Final Energy|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,Final Energy|Bunkers,Final Energy|Bunkers|Liquids,Final Energy|Bunkers|Passenger,Final Energy|Bunkers|International Aviation,Final Energy|Bunkers|International Aviation|Passenger,,,,,,,1
refined liquids transport,trn_aviation_intl,International Aviation,Final Energy,Final Energy|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,Final Energy|Bunkers,Final Energy|Bunkers|Liquids,Final Energy|Bunkers|Passenger,Final Energy|Bunkers|International Aviation,Final Energy|Bunkers|International Aviation|Passenger,,,,,,,1
refined liquids bunkers,trn_aviation_intl,International Aviation,Final Energy,Final Energy|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,Final Energy|Bunkers,Final Energy|Bunkers|Liquids,Final Energy|Bunkers|Passenger,Final Energy|Bunkers|International Aviation,Final Energy|Bunkers|International Aviation|Passenger,,,,,,,1
H2 wholesale dispensing,trn_freight,Domestic Ship,Final Energy,Final Energy|Hydrogen,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Hydrogen,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Hydrogen,,Final Energy|Transportation|Hydrogen,,Final Energy|Transportation|Domestic Shipping,Final Energy|Transportation|Domestic Shipping|Hydrogen,,Final Energy (w/o bunkers),1
elect_td_trn,trn_freight,Domestic Ship,Final Energy,Final Energy|Electricity,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Electricity,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Electricity,,Final Energy|Transportation|Electricity,,Final Energy|Transportation|Domestic Shipping,Final Energy|Transportation|Domestic Shipping|Electricity,,Final Energy (w/o bunkers),1
refined liquids enduse,trn_freight,Domestic Ship,Final Energy,Final Energy|Liquids,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,,Final Energy|Transportation|Liquids,,Final Energy|Transportation|Domestic Shipping,Final Energy|Transportation|Domestic Shipping|Liquids,,Final Energy (w/o bunkers),1
refined liquids transport,trn_freight,Domestic Ship,Final Energy,Final Energy|Liquids,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,,Final Energy|Transportation|Liquids,,Final Energy|Transportation|Domestic Shipping,Final Energy|Transportation|Domestic Shipping|Liquids,,Final Energy (w/o bunkers),1
H2 wholesale dispensing,trn_freight,Freight Rail,Final Energy,Final Energy|Hydrogen,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Hydrogen,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Hydrogen,,Final Energy|Transportation|Hydrogen,,Final Energy|Transportation|Rail,Final Energy|Transportation|Rail|Hydrogen,,Final Energy (w/o bunkers),1
elect_td_trn,trn_freight,Freight Rail,Final Energy,Final Energy|Electricity,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Electricity,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Electricity,,Final Energy|Transportation|Electricity,,Final Energy|Transportation|Rail,Final Energy|Transportation|Rail|Electricity,,Final Energy (w/o bunkers),1
refined liquids enduse,trn_freight,Freight Rail,Final Energy,Final Energy|Liquids,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,,Final Energy|Transportation|Liquids,,Final Energy|Transportation|Rail,Final Energy|Transportation|Rail|Liquids,,Final Energy (w/o bunkers),1
refined liquids transport,trn_freight,Freight Rail,Final Energy,Final Energy|Liquids,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,,Final Energy|Transportation|Liquids,,Final Energy|Transportation|Rail,Final Energy|Transportation|Rail|Liquids,,Final Energy (w/o bunkers),1
delivered coal,trn_freight,Freight Rail,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Solids,Final Energy|Transportation|Freight|Solids|Coal,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Solids,Final Energy|Transportation (w/ bunkers)|Solids|Coal,Final Energy|Transportation|Solids,Final Energy|Transportation|Solids|Coal,Final Energy|Transportation|Rail,Final Energy|Transportation|Rail|Solids,Final Energy|Transportation|Rail|Solids|Coal,Final Energy (w/o bunkers),1
H2 retail dispensing,trn_freight_road,Heavy truck,Final Energy,Final Energy|Hydrogen,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Hydrogen,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Hydrogen,,Final Energy|Transportation|Hydrogen,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Hydrogen,,Final Energy (w/o bunkers),1
elect_td_trn,trn_freight_road,Heavy truck,Final Energy,Final Energy|Electricity,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Electricity,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Electricity,,Final Energy|Transportation|Electricity,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Electricity,,Final Energy (w/o bunkers),1
refined liquids enduse,trn_freight_road,Heavy truck,Final Energy,Final Energy|Liquids,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,,Final Energy|Transportation|Liquids,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Liquids,,Final Energy (w/o bunkers),1
refined liquids transport,trn_freight_road,Heavy truck,Final Energy,Final Energy|Liquids,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,,Final Energy|Transportation|Liquids,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Liquids,,Final Energy (w/o bunkers),1
H2 retail dispensing,trn_freight_road,Light truck,Final Energy,Final Energy|Hydrogen,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Hydrogen,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Hydrogen,,Final Energy|Transportation|Hydrogen,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Hydrogen,,Final Energy (w/o bunkers),1
delivered gas,trn_freight_road,Heavy truck,Final Energy,Final Energy|Gases,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Gases,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Gases,,Final Energy|Transportation|Gases,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Gases,,Final Energy (w/o bunkers),1
delivered gas,trn_freight_road,Medium truck,Final Energy,Final Energy|Gases,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Gases,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Gases,,Final Energy|Transportation|Gases,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Gases,,Final Energy (w/o bunkers),1
delivered gas,trn_freight_road,Light truck,Final Energy,Final Energy|Gases,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Gases,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Gases,,Final Energy|Transportation|Gases,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Gases,,Final Energy (w/o bunkers),1
delivered gas transport,trn_freight_road,Light truck,Final Energy,Final Energy|Gases,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Gases,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Gases,,Final Energy|Transportation|Gases,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Gases,,Final Energy (w/o bunkers),1
elect_td_trn,trn_freight_road,Light truck,Final Energy,Final Energy|Electricity,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Electricity,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Electricity,,Final Energy|Transportation|Electricity,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Electricity,,Final Energy (w/o bunkers),1
refined liquids enduse,trn_freight_road,Light truck,Final Energy,Final Energy|Liquids,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,,Final Energy|Transportation|Liquids,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Liquids,,Final Energy (w/o bunkers),1
refined liquids transport,trn_freight_road,Light truck,Final Energy,Final Energy|Liquids,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,,Final Energy|Transportation|Liquids,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Liquids,,Final Energy (w/o bunkers),1
H2 retail dispensing,trn_freight_road,Medium truck,Final Energy,Final Energy|Hydrogen,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Hydrogen,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Hydrogen,,Final Energy|Transportation|Hydrogen,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Hydrogen,,Final Energy (w/o bunkers),1
elect_td_trn,trn_freight_road,Medium truck,Final Energy,Final Energy|Electricity,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Electricity,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Electricity,,Final Energy|Transportation|Electricity,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Electricity,,Final Energy (w/o bunkers),1
refined liquids enduse,trn_freight_road,Medium truck,Final Energy,Final Energy|Liquids,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,,Final Energy|Transportation|Liquids,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Liquids,,Final Energy (w/o bunkers),1
refined liquids transport,trn_freight_road,Medium truck,Final Energy,Final Energy|Liquids,,Final Energy|Transportation,Final Energy|Transportation|Freight,Final Energy|Transportation|Freight|Liquids,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Liquids,,Final Energy|Transportation|Liquids,,Final Energy|Transportation|Truck,Final Energy|Transportation|Truck|Liquids,,Final Energy (w/o bunkers),1
H2 wholesale dispensing,trn_pass,Domestic Aviation,Final Energy,Final Energy|Hydrogen,,Final Energy|Transportation,Final Energy|Transportation|Passenger,Final Energy|Transportation|Passenger|Hydrogen,,Final Energy|Transportation (w/ bunkers),Final Energy|Transportation (w/ bunkers)|Hydrogen,,Final Energy|Transportation|Hydrogen,,Final Energy|Transportation|Domestic Aviation,Final Energy|Transportation|Domestic Aviation|Hydrogen,,Final Energy (w/o bunkers),1
