# mapping file for CO2 markets
market,region
Africa_EasternCO2,Africa_Eastern
Africa_EasternCO2_NearTerm,Africa_Eastern
Africa_NorthernCO2,Africa_Northern
Africa_NorthernCO2_NearTerm,Africa_Northern
Africa_SouthernCO2,Africa_Southern
Africa_SouthernCO2_NearTerm,Africa_Southern
Africa_WesternCO2,Africa_Western
Africa_WesternCO2_NearTerm,Africa_Western
ArgentinaCO2,Argentina
ArgentinaCO2_NearTerm,Argentina
Australia_NZCO2,Australia_NZ
Australia_NZCO2_NearTerm,Australia_NZ
BrazilCO2,Brazil
BrazilCO2_NearTerm,Brazil
CanadaCO2,Canada
CanadaCO2_NearTerm,Canada
Central America and CaribbeanCO2,Central America and Caribbean
Central America and CaribbeanCO2_NearTerm,Central America and Caribbean
Central AsiaCO2,Central Asia
Central AsiaCO2_NearTerm,Central Asia
ChinaCO2,China
ChinaCO2_NearTerm,China
ColombiaCO2,Colombia
ColombiaCO2_NearTerm,Colombia
EFTACO2,European Free Trade Association
EFTACO2_NearTerm,European Free Trade Association
EU-12CO2,EU-12
EU-12CO2_NearTerm,EU-12
EU-15CO2,EU-15
EU-15CO2_NearTerm,EU-15
EU12CO2,EU-12
EU12CO2_NearTerm,EU-12
EU15CO2,EU-15
EU15CO2_NearTerm,EU-15
EU_12CO2,EU-12
EU_12CO2_NearTerm,EU-12
EU_15CO2,EU-15
EU_15CO2_NearTerm,EU-15
EU_ETSCO2_ETS,EU-12
EU_ETSCO2_ETS,EU-15
EU_ETSCO2_ETS,EU-12
EU_ETSCO2_ETS,EU-15
EU_ETSCO2_ETS,EU-12
EU_ETSCO2_ETS,EU-15
EUCO2,EU-12
EUCO2,EU-15
EUCO2_ETS,EU-12
EUCO2_ETS,EU-15
EUCO2_ETS,EU-12
EUCO2_ETS,EU-15
EUCO2_ETS,EU-12
EUCO2_ETS,EU-15
EUCO2_NearTerm,EU-12
EUCO2_NearTerm,EU-15
Europe_Non_EUCO2,Europe_Non_EU
Europe_Non_EUCO2_NearTerm,Europe_Non_EU
European Free Trade AssociationCO2,European Free Trade Association
European Free Trade AssociationCO2_ETS,European Free Trade Association
European Free Trade AssociationCO2_ETS,European Free Trade Association
European Free Trade AssociationCO2_ETS,European Free Trade Association
European Free Trade AssociationCO2_NearTerm,European Free Trade Association
IndiaCO2,India
IndiaCO2_NearTerm,India
IndonesiaCO2,Indonesia
IndonesiaCO2_NearTerm,Indonesia
JapanCO2,Japan
JapanCO2_NearTerm,Japan
MexicoCO2,Mexico
MexicoCO2_NearTerm,Mexico
Middle EastCO2,Middle East
Middle EastCO2_NearTerm,Middle East
PakistanCO2,Pakistan
PakistanCO2_NearTerm,Pakistan
ROWCO2,Africa_Eastern
ROWCO2,Africa_Northern
ROWCO2,Africa_Southern
ROWCO2,Africa_Western
ROWCO2,Argentina
ROWCO2,Australia_NZ
ROWCO2,Brazil
ROWCO2,Canada
ROWCO2,Central America and Caribbean
ROWCO2,Central Asia
ROWCO2,China
ROWCO2,Colombia
ROWCO2,European Free Trade Association
ROWCO2,EU-12
ROWCO2,EU-15
ROWCO2,Ukraine
ROWCO2,Europe_Non_EU
ROWCO2,India
ROWCO2,Indonesia
ROWCO2,Pakistan
ROWCO2,Japan
ROWCO2,Mexico
ROWCO2,Middle East
ROWCO2,Russia
ROWCO2,South Africa
ROWCO2,South America_Southern
ROWCO2,South America_Northern
ROWCO2,South Asia
ROWCO2,South Korea
ROWCO2,Southeast Asia
ROWCO2,Taiwan
ROWCO2,USA
RussiaCO2,Russia
RussiaCO2_NearTerm,Russia
South AfricaCO2,South Africa
South AfricaCO2_NearTerm,South Africa
South America_NorthernCO2,South America_Northern
South America_NorthernCO2_NearTerm,South America_Northern
South America_SouthernCO2,South America_Southern
South America_SouthernCO2_NearTerm,South America_Southern
South AsiaCO2,South Asia
South AsiaCO2_NearTerm,South Asia
South KoreaCO2,South Korea
South KoreaCO2_NearTerm,South Korea
Southeast AsiaCO2,Southeast Asia
Southeast AsiaCO2_NearTerm,Southeast Asia
TaiwanCO2,Taiwan
TaiwanCO2_NearTerm,Taiwan
UkraineCO2,Ukraine
UkraineCO2,Ukraine
USACO2,USA
USACO2_NearTerm,USA
