# Data can be generated in 3 ways. 1. Using GCAM 3.0 assumptions 2. Using global average emissions
# coefficients based on CDIAC inventory and IEA energy balances or 3. Using region-specific average emissions coefficients based on CDIAC inventory and IEA energy balances
region,PrimaryFuelCO2Coef.name,PrimaryFuelCO2Coef
Africa_Eastern,biomass,0
Africa_Eastern,regional biomass,23
Africa_Eastern,delivered biomass,23
Africa_Eastern,regional biomassOil,19.6
Africa_Eastern,regional sugar for ethanol,19.6
Africa_Eastern,regional corn for ethanol,19.6
Africa_Eastern,coal,27.3
Africa_Eastern,regional coal,27.3
Africa_Eastern,delivered coal,27.3
Africa_Eastern,natural gas,14.2
Africa_Eastern,regional natural gas,14.2
Africa_Eastern,gas processing,14.2
Africa_Eastern,gas pipeline,14.2
Africa_Eastern,wholesale gas,14.2
Africa_Eastern,delivered gas,14.2
Africa_Eastern,crude oil,19.6
Africa_Eastern,regional oil,19.6
Africa_Eastern,refining,19.6
Africa_Eastern,refined liquids industrial,19.6
Africa_Eastern,refined liquids enduse,19.6
Africa_Eastern,limestone,0.08
Africa_Eastern,unconventional oil upscaling,1.5
Africa_Eastern,regional industrial_roundwood,0
Africa_Eastern,regional sawnwood,0
Africa_Eastern,regional woodpulp,0
Africa_Eastern,NonFoodDemand_sawnwood,0
Africa_Eastern,regional woodpulp for energy,23
Africa_Northern,biomass,0
Africa_Northern,regional biomass,23
Africa_Northern,delivered biomass,23
Africa_Northern,regional biomassOil,19.6
Africa_Northern,regional sugar for ethanol,19.6
Africa_Northern,regional corn for ethanol,19.6
Africa_Northern,coal,27.3
Africa_Northern,regional coal,27.3
Africa_Northern,delivered coal,27.3
Africa_Northern,natural gas,14.2
Africa_Northern,regional natural gas,14.2
Africa_Northern,gas processing,14.2
Africa_Northern,gas pipeline,14.2
Africa_Northern,wholesale gas,14.2
Africa_Northern,delivered gas,14.2
Africa_Northern,crude oil,19.6
Africa_Northern,regional oil,19.6
Africa_Northern,refining,19.6
Africa_Northern,refined liquids industrial,19.6
Africa_Northern,refined liquids enduse,19.6
Africa_Northern,limestone,0.08
Africa_Northern,unconventional oil upscaling,1.5
Africa_Northern,regional industrial_roundwood,0
Africa_Northern,regional sawnwood,0
Africa_Northern,regional woodpulp,0
Africa_Northern,NonFoodDemand_sawnwood,0
Africa_Northern,regional woodpulp for energy,23
Africa_Southern,biomass,0
Africa_Southern,regional biomass,23
Africa_Southern,delivered biomass,23
Africa_Southern,regional biomassOil,19.6
Africa_Southern,regional sugar for ethanol,19.6
Africa_Southern,regional corn for ethanol,19.6
Africa_Southern,coal,27.3
Africa_Southern,regional coal,27.3
Africa_Southern,delivered coal,27.3
Africa_Southern,natural gas,14.2
Africa_Southern,regional natural gas,14.2
Africa_Southern,gas processing,14.2
Africa_Southern,gas pipeline,14.2
Africa_Southern,wholesale gas,14.2
Africa_Southern,delivered gas,14.2
Africa_Southern,crude oil,19.6
Africa_Southern,regional oil,19.6
Africa_Southern,refining,19.6
Africa_Southern,refined liquids industrial,19.6
Africa_Southern,refined liquids enduse,19.6
Africa_Southern,limestone,0.08
Africa_Southern,unconventional oil upscaling,1.5
Africa_Southern,regional industrial_roundwood,0
Africa_Southern,regional sawnwood,0
Africa_Southern,regional woodpulp,0
Africa_Southern,NonFoodDemand_sawnwood,0
Africa_Southern,regional woodpulp for energy,23
Africa_Western,biomass,0
Africa_Western,regional biomass,23
Africa_Western,delivered biomass,23
Africa_Western,regional biomassOil,19.6
Africa_Western,regional sugar for ethanol,19.6
Africa_Western,regional corn for ethanol,19.6
Africa_Western,coal,27.3
Africa_Western,regional coal,27.3
Africa_Western,delivered coal,27.3
Africa_Western,natural gas,14.2
Africa_Western,regional natural gas,14.2
Africa_Western,gas processing,14.2
Africa_Western,gas pipeline,14.2
Africa_Western,wholesale gas,14.2
Africa_Western,delivered gas,14.2
Africa_Western,crude oil,19.6
Africa_Western,regional oil,19.6
Africa_Western,refining,19.6
Africa_Western,refined liquids industrial,19.6
Africa_Western,refined liquids enduse,19.6
Africa_Western,limestone,0.08
Africa_Western,unconventional oil upscaling,1.5
Africa_Western,regional industrial_roundwood,0
Africa_Western,regional sawnwood,0
Africa_Western,regional woodpulp,0
Africa_Western,NonFoodDemand_sawnwood,0
Africa_Western,regional woodpulp for energy,23
Argentina,biomass,0
Argentina,regional biomass,23
Argentina,delivered biomass,23
Argentina,regional biomassOil,19.6
Argentina,regional sugar for ethanol,19.6
Argentina,regional corn for ethanol,19.6
Argentina,coal,27.3
Argentina,regional coal,27.3
Argentina,delivered coal,27.3
Argentina,natural gas,14.2
Argentina,regional natural gas,14.2
Argentina,gas processing,14.2
Argentina,gas pipeline,14.2
Argentina,wholesale gas,14.2
Argentina,delivered gas,14.2
Argentina,crude oil,19.6
Argentina,regional oil,19.6
Argentina,refining,19.6
Argentina,refined liquids industrial,19.6
Argentina,refined liquids enduse,19.6
Argentina,limestone,0.08
Argentina,unconventional oil upscaling,1.5
Argentina,regional industrial_roundwood,0
Argentina,regional sawnwood,0
Argentina,regional woodpulp,0
Argentina,NonFoodDemand_sawnwood,0
Argentina,regional woodpulp for energy,23
Australia_NZ,biomass,0
Australia_NZ,regional biomass,23
Australia_NZ,delivered biomass,23
Australia_NZ,regional biomassOil,19.6
Australia_NZ,regional sugar for ethanol,19.6
Australia_NZ,regional corn for ethanol,19.6
Australia_NZ,coal,27.3
Australia_NZ,regional coal,27.3
Australia_NZ,delivered coal,27.3
Australia_NZ,natural gas,14.2
Australia_NZ,regional natural gas,14.2
Australia_NZ,gas processing,14.2
Australia_NZ,gas pipeline,14.2
Australia_NZ,wholesale gas,14.2
Australia_NZ,delivered gas,14.2
Australia_NZ,crude oil,19.6
Australia_NZ,regional oil,19.6
Australia_NZ,refining,19.6
Australia_NZ,refined liquids industrial,19.6
Australia_NZ,refined liquids enduse,19.6
Australia_NZ,limestone,0.08
Australia_NZ,unconventional oil upscaling,1.5
Australia_NZ,regional industrial_roundwood,0
Australia_NZ,regional sawnwood,0
Australia_NZ,regional woodpulp,0
Australia_NZ,NonFoodDemand_sawnwood,0
Australia_NZ,regional woodpulp for energy,23
Brazil,biomass,0
Brazil,regional biomass,23
Brazil,delivered biomass,23
