# HDD and CDD. Same for all scenarios and GCAM versions. Simply check that the loaded version in the config file matches this data.
# Source: GCAM DB; module_energy_L143.HDDCDD; constdd_no_GCM
scenario,region,var,year,value
scen,USA,Energy Service|Residential|Cooling Degree Days,1975,1315.92193678509
scen,USA,Energy Service|Residential|Cooling Degree Days,1990,1403.65550173246
scen,USA,Energy Service|Residential|Cooling Degree Days,2005,1404.69140626415
scen,USA,Energy Service|Residential|Cooling Degree Days,2010,1402.47489358749
scen,USA,Energy Service|Residential|Cooling Degree Days,2015,1399.48693463495
scen,USA,Energy Service|Residential|Cooling Degree Days,2019,1397.12839587765
scen,USA,Energy Service|Residential|Cooling Degree Days,2020,1396.84483705333
scen,USA,Energy Service|Residential|Cooling Degree Days,2021,1396.64916967959
scen,USA,Energy Service|Residential|Cooling Degree Days,2025,1395.23999975881
scen,USA,Energy Service|Residential|Cooling Degree Days,2030,1393.55156399827
scen,USA,Energy Service|Residential|Cooling Degree Days,2035,1391.98386754602
scen,USA,Energy Service|Residential|Cooling Degree Days,2040,1390.55146856424
scen,USA,Energy Service|Residential|Cooling Degree Days,2045,1389.25705608323
scen,USA,Energy Service|Residential|Cooling Degree Days,2050,1388.11860353019
scen,USA,Energy Service|Residential|Cooling Degree Days,2055,1387.11636887913
scen,USA,Energy Service|Residential|Cooling Degree Days,2060,1386.23326542304
scen,USA,Energy Service|Residential|Cooling Degree Days,2065,1385.47494810654
scen,USA,Energy Service|Residential|Cooling Degree Days,2070,1384.82323505208
scen,USA,Energy Service|Residential|Cooling Degree Days,2075,1384.2657320744
scen,USA,Energy Service|Residential|Cooling Degree Days,2080,1383.79371316428
scen,USA,Energy Service|Residential|Cooling Degree Days,2085,1383.39168748292
scen,USA,Energy Service|Residential|Cooling Degree Days,2090,1383.0392386602
scen,USA,Energy Service|Residential|Cooling Degree Days,2095,1382.7127343999
scen,USA,Energy Service|Residential|Cooling Degree Days,2100,1382.40097370896
scen,USA,Energy Service|Residential|Heating Degree Days,1975,4451.21108659201
scen,USA,Energy Service|Residential|Heating Degree Days,1990,4367.59212301923
scen,USA,Energy Service|Residential|Heating Degree Days,2005,4369.07587880086
scen,USA,Energy Service|Residential|Heating Degree Days,2010,4372.84251225475
scen,USA,Energy Service|Residential|Heating Degree Days,2015,4377.92010385533
scen,USA,Energy Service|Residential|Heating Degree Days,2019,4381.92808949832
scen,USA,Energy Service|Residential|Heating Degree Days,2020,4382.40995552376
scen,USA,Energy Service|Residential|Heating Degree Days,2021,4382.7424631081
scen,USA,Energy Service|Residential|Heating Degree Days,2025,4385.13713768938
scen,USA,Energy Service|Residential|Heating Degree Days,2030,4388.00638300766
scen,USA,Energy Service|Residential|Heating Degree Days,2035,4390.67044983877
scen,USA,Energy Service|Residential|Heating Degree Days,2040,4393.10459875247
scen,USA,Energy Service|Residential|Heating Degree Days,2045,4395.30426014195
scen,USA,Energy Service|Residential|Heating Degree Days,2050,4397.23889084229
scen,USA,Energy Service|Residential|Heating Degree Days,2055,4398.94203948887
scen,USA,Energy Service|Residential|Heating Degree Days,2060,4400.44274239754
scen,USA,Energy Service|Residential|Heating Degree Days,2065,4401.73138983144
scen,USA,Energy Service|Residential|Heating Degree Days,2070,4402.83887918585
scen,USA,Energy Service|Residential|Heating Degree Days,2075,4403.78627253419
scen,USA,Energy Service|Residential|Heating Degree Days,2080,4404.58839843063
scen,USA,Energy Service|Residential|Heating Degree Days,2085,4405.27158125051
scen,USA,Energy Service|Residential|Heating Degree Days,2090,4405.87051557668
scen,USA,Energy Service|Residential|Heating Degree Days,2095,4406.42536097984
scen,USA,Energy Service|Residential|Heating Degree Days,2100,4406.95515188087
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,1975,2563.17367761918
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,1990,2692.499054164
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2005,2637.32081642422
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2010,2628.79121719532
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2015,2622.26732222198
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2019,2642.02626347833
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2020,2644.7877344537
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2021,2647.2583925247
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2025,2655.65338220776
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2030,2664.34073148496
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2035,2671.54692876689
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2040,2678.26872402398
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2045,2686.06361653508
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2050,2693.97077966928
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2055,2701.30407485023
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2060,2707.55535363074
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2065,2714.40367391998
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2070,2721.47313281379
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2075,2728.74601606635
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2080,2736.43992690958
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2085,2743.16259224147
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2090,2749.3781155028
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2095,2755.04865606529
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2100,2760.49404173215
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,1975,353.256405836965
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,1990,322.247944901232
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2005,332.620037168574
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2010,332.604567486709
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2015,333.020051741279
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2019,330.788220627512
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2020,330.354974398887
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2021,329.986787761047
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2025,328.681162374177
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2030,327.194767541724
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2035,325.759630008987
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2040,324.304001372343
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2045,322.750506705558
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2050,321.263558502623
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2055,320.008209910165
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2060,318.951433366032
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2065,317.790320193098
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2070,316.520640955586
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2075,315.158117313766
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2080,313.774055976091
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2085,312.578135763577
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2090,311.518796701572
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2095,310.526109568261
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2100,309.527172218612
scen,Africa_Northern,Energy Service|Residential|Cooling Degree Days,1975,2216.79158210945
scen,Africa_Northern,Energy Service|Residential|Cooling Degree Days,1990,2309.30459856199
scen,Africa_Northern,Energy Service|Residential|Cooling Degree Days,2005,2349.89819029802
scen,Africa_Northern,Energy Service|Residential|Cooling Degree Days,2010,2360.17252732156
scen,Africa_Northern,Energy Service|Residential|Cooling Degree Days,2015,2371.48325336047
scen,Africa_Northern,Energy Service|Residential|Cooling Degree Days,2019,2378.3153111457
scen,Africa_Northern,Energy Service|Residential|Cooling Degree Days,2020,2379.72806783795
scen,Africa_Northern,Energy Service|Residential|Cooling Degree Days,2021,2380.99857224334
scen,Africa_Northern,Energy Service|Residential|Cooling Degree Days,2025,2387.03673269794
scen,Africa_Northern,Energy Service|Residential|Cooling Degree Days,2030,2397.08625367318
scen,Africa_Northern,Energy Service|Residential|Cooling Degree Days,2035,2408.72911457093
scen,Africa_Northern,Energy Service|Residential|Cooling Degree Days,2040,2421.10610100709
scen,Africa_Northern,Energy Service|Residential|Cooling Degree Days,2045,2432.8158518943
scen,Africa_Northern,Energy Service|Residential|Cooling Degree Days,2050,2443.29247783391
scen,Africa_Northern,Energy Service|Residential|Cooling Degree Days,2055,2453.24115097598
scen,Africa_Northern,Energy Service|Residential|Cooling Degree Days,2060,2463.15701159407
scen,Africa_Northern,Energy Service|Residential|Cooling Degree Days,2065,2472.48579556846
scen,Africa_Northern,Energy Service|Residential|Cooling Degree Days,2070,2480.92058786165
scen,Africa_Northern,Energy Service|Residential|Cooling Degree Days,2075,2488.4330030739
scen,Africa_Northern,Energy Service|Residential|Cooling Degree Days,2080,2495.05943459578
scen,Africa_Northern,Energy Service|Residential|Cooling Degree Days,2085,2500.68772234547
scen,Africa_Northern,Energy Service|Residential|Cooling Degree Days,2090,2505.92250039828
scen,Africa_Northern,Energy Service|Residential|Cooling Degree Days,2095,2510.53280780183
scen,Africa_Northern,Energy Service|Residential|Cooling Degree Days,2100,2514.84262124522
scen,Africa_Northern,Energy Service|Residential|Heating Degree Days,1975,1518.02953964357
scen,Africa_Northern,Energy Service|Residential|Heating Degree Days,1990,1485.52108034832
scen,Africa_Northern,Energy Service|Residential|Heating Degree Days,2005,1457.4606309803
scen,Africa_Northern,Energy Service|Residential|Heating Degree Days,2010,1450.34856729911
scen,Africa_Northern,Energy Service|Residential|Heating Degree Days,2015,1443.28374971303
scen,Africa_Northern,Energy Service|Residential|Heating Degree Days,2019,1439.61100603854
