#Transport Energy Service
sector,subsector,technology,var1,var2,var3,var4,var5,unit_conv
trn_aviation_intl,International Aviation,BEV,Energy Service|Transportation|Passenger,Energy Service|Transportation|Passenger|Aviation,Energy Service|Transportation|Passenger|Aviation|International,,,1
trn_aviation_intl,International Aviation,Hydrogen,Energy Service|Transportation|Passenger,Energy Service|Transportation|Passenger|Aviation,Energy Service|Transportation|Passenger|Aviation|International,,,1
trn_aviation_intl,International Aviation,Liquids,Energy Service|Transportation|Passenger,Energy Service|Transportation|Passenger|Aviation,Energy Service|Transportation|Passenger|Aviation|International,,,1
trn_freight,Domestic Ship,BEV,Energy Service|Transportation|Freight,Energy Service|Transportation|Freight|Shipping,Energy Service|Transportation|Freight|Shipping|Domestic,,Energy Service|Transportation|Freight|Domestic,1
trn_freight,Domestic Ship,FCEV,Energy Service|Transportation|Freight,Energy Service|Transportation|Freight|Shipping,Energy Service|Transportation|Freight|Shipping|Domestic,,Energy Service|Transportation|Freight|Domestic,1
trn_freight,Domestic Ship,Hybrid Liquids,Energy Service|Transportation|Freight,Energy Service|Transportation|Freight|Shipping,Energy Service|Transportation|Freight|Shipping|Domestic,,Energy Service|Transportation|Freight|Domestic,1
trn_freight,Domestic Ship,Liquids,Energy Service|Transportation|Freight,Energy Service|Transportation|Freight|Shipping,Energy Service|Transportation|Freight|Shipping|Domestic,,Energy Service|Transportation|Freight|Domestic,1
trn_freight,Domestic Ship,NG,Energy Service|Transportation|Freight,Energy Service|Transportation|Freight|Shipping,Energy Service|Transportation|Freight|Shipping|Domestic,,Energy Service|Transportation|Freight|Domestic,1
trn_freight,Freight Rail,BEV,Energy Service|Transportation|Freight,Energy Service|Transportation|Freight|Railways,,,Energy Service|Transportation|Freight|Domestic,1
trn_freight,Freight Rail,FCEV,Energy Service|Transportation|Freight,Energy Service|Transportation|Freight|Railways,,,Energy Service|Transportation|Freight|Domestic,1
trn_freight,Freight Rail,Hybrid Liquids,Energy Service|Transportation|Freight,Energy Service|Transportation|Freight|Railways,,,Energy Service|Transportation|Freight|Domestic,1
trn_freight,Freight Rail,Liquids,Energy Service|Transportation|Freight,Energy Service|Transportation|Freight|Railways,,,Energy Service|Transportation|Freight|Domestic,1
trn_freight,Freight Rail,NG,Energy Service|Transportation|Freight,Energy Service|Transportation|Freight|Railways,,,Energy Service|Transportation|Freight|Domestic,1
trn_freight,Freight Rail,Coal,Energy Service|Transportation|Freight,Energy Service|Transportation|Freight|Railways,,,Energy Service|Transportation|Freight|Domestic,1
trn_freight,Freight Rail,Electric,Energy Service|Transportation|Freight,Energy Service|Transportation|Freight|Railways,,,Energy Service|Transportation|Freight|Domestic,1
trn_freight,road,road,NoReported,,,,,1
trn_freight_road,Heavy truck,BEV,Energy Service|Transportation|Freight,Energy Service|Transportation|Freight|Truck,Energy Service|Transportation|Freight|Truck|Battery-Electric,,Energy Service|Transportation|Freight|Domestic,1
trn_freight_road,Heavy truck,FCEV,Energy Service|Transportation|Freight,Energy Service|Transportation|Freight|Truck,Energy Service|Transportation|Freight|Truck|Fuel-Cell-Electric,,Energy Service|Transportation|Freight|Domestic,1
trn_freight_road,Heavy truck,Hybrid Liquids,Energy Service|Transportation|Freight,Energy Service|Transportation|Freight|Truck,Energy Service|Transportation|Freight|Truck|Internal Combustion,,Energy Service|Transportation|Freight|Domestic,1
trn_freight_road,Heavy truck,Liquids,Energy Service|Transportation|Freight,Energy Service|Transportation|Freight|Truck,Energy Service|Transportation|Freight|Truck|Internal Combustion,,Energy Service|Transportation|Freight|Domestic,1
trn_freight_road,Heavy truck,NG,Energy Service|Transportation|Freight,Energy Service|Transportation|Freight|Truck,Energy Service|Transportation|Freight|Truck|Internal Combustion,,Energy Service|Transportation|Freight|Domestic,1
trn_freight_road,Light truck,BEV,Energy Service|Transportation|Freight,Energy Service|Transportation|Freight|Truck,Energy Service|Transportation|Freight|Truck|Battery-Electric,,Energy Service|Transportation|Freight|Domestic,1
trn_freight_road,Light truck,FCEV,Energy Service|Transportation|Freight,Energy Service|Transportation|Freight|Truck,Energy Service|Transportation|Freight|Truck|Fuel-Cell-Electric,,Energy Service|Transportation|Freight|Domestic,1
trn_freight_road,Light truck,Hybrid Liquids,Energy Service|Transportation|Freight,Energy Service|Transportation|Freight|Truck,Energy Service|Transportation|Freight|Truck|Internal Combustion,,Energy Service|Transportation|Freight|Domestic,1
trn_freight_road,Light truck,Liquids,Energy Service|Transportation|Freight,Energy Service|Transportation|Freight|Truck,Energy Service|Transportation|Freight|Truck|Internal Combustion,,Energy Service|Transportation|Freight|Domestic,1
