# Prices of all markets
market,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,unit_conv
AdnNicIslAdnNicIsl_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
AdnNicIslAdnNicIsl_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
AdrBlkSeaAdrBlkSea_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
AdrBlkSeaAdrBlkSea_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
AdrBlkSea_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
AfrCstEAfrCstE_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
AfrCstEAfrCstE_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
AfrCstE_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
AfrCstNEAfrCstNE_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
AfrCstNEAfrCstNE_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
AfrCstNE_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
AfrCstNWAfrCstNW_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
AfrCstNWAfrCstNW_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
AfrCstNW_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
AfrCstSAfrCstS_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
AfrCstSAfrCstS_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
AfrCstSEAfrCstSE_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
AfrCstSEAfrCstSE_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
AfrCstSSWAfrCstSSW_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
AfrCstSSWAfrCstSSW_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
AfrCstSSW_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
AfrCstSWAfrCstSW_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
AfrCstSWAfrCstSW_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
AfrCstSW_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
AfrCstS_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
AfrCstWAfrCstW_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
AfrCstWAfrCstW_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
AfrCstW_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
AfrIntN_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
AfrIntSAfrIntS_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
AfrIntSAfrIntS_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
AfrIntS_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
AfrIntfrIntN_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
AfrIntfrIntN_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
AmazonRAmazonR_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
AmazonRAmazonR_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
AmazonR_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
AmuDaryaRAmuDaryaR_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
AmuDaryaRAmuDaryaR_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
AmuDaryaR_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
AmurRAmurR_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
AmurRAmurR_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
AmurR_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
AngolaCstAngolaCst_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
AngolaCstAngolaCst_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
AngolaCst_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
ArabianPArabianP_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
ArabianPArabianP_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
ArabianP_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
ArabianSeaArabianSea_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
ArabianSeaArabianSea_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
ArabianSea_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
ArcticIslArcticIsl_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
ArcticIslArcticIsl_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
ArgColoRArgColoR_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
ArgColoRArgColoR_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
ArgColoR_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
ArgCstN_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
ArgCstSArgCstS_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
ArgCstSArgCstS_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
ArgCstS_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
ArgCstrgCstN_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
ArgCstrgCstN_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
ArkWhtRedRArkWhtRedR_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
ArkWhtRedRArkWhtRedR_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
ArkWhtRedR_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
AusCstEAusCstE_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
AusCstEAusCstE_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
AusCstE_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
AusCstN_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
AusCstSAusCstS_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
AusCstSAusCstS_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
AusCstS_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
AusCstWAusCstW_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
AusCstWAusCstW_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
AusCstW_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
AusCstusCstN_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
AusCstusCstN_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
AusIntAusInt_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
AusIntAusInt_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
AusInt_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
BalticSeaBalticSea_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
BalticSeaBalticSea_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
BarentsSeaBarentsSea_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
BarentsSeaBarentsSea_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
Beef,NoReported,,,,,,,,,,,,,,,,,,1
BengalBayBengalBay_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
BengalBayBengalBay_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
BengalWBengalW_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
BengalWBengalW_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
BengalW_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
BlackSeaNBlackSeaN_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
BlackSeaNBlackSeaN_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
BlackSeaSBlackSeaS_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
BlackSeaSBlackSeaS_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
BlackSeaS_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
BoHaiBoHai_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
BoHaiBoHai_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
BoHai_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
BorneoCstNBorneoCstN_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
BorneoCstNBorneoCstN_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
BorneoCstN_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
BrahmaniRBrahmaniR_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
BrahmaniRBrahmaniR_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
BrahmaniR_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
BrzCstEBrzCstE_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
BrzCstEBrzCstE_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
BrzCstE_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
BrzCstNBrzCstN_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
BrzCstNBrzCstN_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
BrzCstN_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
BrzCstSBrzCstS_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
BrzCstSBrzCstS_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
BrzCstS_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
C2F6,NoReported,,,,,,,,,,,,,,,,,,1
CF4,NoReported,,,,,,,,,,,,,,,,,,1
CH4,NoReported,,,,,,,,,,,,,,,,,,1
CH4_AGR,NoReported,,,,,,,,,,,,,,,,,,1
CH4_AWB,NoReported,,,,,,,,,,,,,,,,,,1
CO2,NoReported,,,,,,,,,,,,,,,,,,1
EUCO2_ETS,NoReported,,,,,,,,,,,,,,,,,,1
EUCO2_ETS2,NoReported,,,,,,,,,,,,,,,,,,1
CO2 removal,NoReported,,,,,,,,,,,,,,,,,,1
CO2 removal-tfe,NoReported,,,,,,,,,,,,,,,,,,1
CO2_LUC,NoReported,,,,,,,,,,,,,,,,,,1
CaliforniaCalifornia_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
CaliforniaCalifornia_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
California_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
CanAtlCanAtl_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
CanAtlCanAtl_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
CanAtl_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
CaribbeanCaribbean_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
CaribbeanCaribbean_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
Caribbean_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
CaspianECaspianE_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
CaspianECaspianE_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
CaspianE_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
CaspianNECaspianNE_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
CaspianNECaspianNE_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
CaspianNE_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
CaspianSWCaspianSW_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
CaspianSWCaspianSW_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
CaspianSW_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
CauveryRCauveryR_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
CauveryRCauveryR_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
CauveryR_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
ChaoPhrRChaoPhrR_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
ChaoPhrRChaoPhrR_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
ChileCstNChileCstN_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
ChileCstNChileCstN_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
ChileCstN_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
ChileCstSChileCstS_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
ChileCstSChileCstS_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
ChileCstS_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
ChinaCst_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
ChurchillRChurchillR_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
ChurchillRChurchillR_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
CntAmerCntAmer_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
CntAmerCntAmer_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
CntAmer_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
ColEcuaCstColEcuaCst_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
ColEcuaCstColEcuaCst_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
ColEcuaCst_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
CongoRCongoR_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
CongoRCongoR_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
CongoR_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
Corn,NoReported,,,,,,,,,,,,,,,,,,1
CstChinaCst_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
CstChinaCst_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
DDGS and feedcakes,NoReported,,,,,,,,,,,,,,,,,,1
Dairy,NoReported,,,,,,,,,,,,,,,,,,1
DanubeRDanubeR_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
DanubeRDanubeR_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
DanubeR_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
DaugavaRDaugavaR_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
DaugavaRDaugavaR_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
DeadSeaDeadSea_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
DeadSeaDeadSea_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
DeadSea_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
DnieperRDnieperR_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
DnieperRDnieperR_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
DniesterRDniesterR_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
DniesterRDniesterR_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
DnkGrmCstDnkGrmCst_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
DnkGrmCstDnkGrmCst_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
DnkGrmCst_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
DonRDonR_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
DonRDonR_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
DouroRDouroR_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
DouroRDouroR_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
DouroR_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
DvinaRNDvinaRN_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
DvinaRNDvinaRN_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
Exports_fertilizer,NoReported,,,,,,,,,,,,,,,,,,1
Exports_fertilizer-tfe,NoReported,,,,,,,,,,,,,,,,,,1
EJrdnSyrEJrdnSyr_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
EJrdnSyrEJrdnSyr_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
EJrdnSyr_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
EUC2F6,NoReported,,,,,,,,,,,,,,,,,,1
EUCF4,NoReported,,,,,,,,,,,,,,,,,,1
EUCH4,NoReported,,,,,,,,,,,,,,,,,,1
EUCH4_AGR,NoReported,,,,,,,,,,,,,,,,,,1
EUCH4_AWB,NoReported,,,,,,,,,,,,,,,,,,1
EUCO2,NoReported,,,,,,,,,,,,,,,,,,1
EUGHG,NoReported,,,,,,,,,,,,,,,,,,1
EUHFC125,NoReported,,,,,,,,,,,,,,,,,,1
EUHFC134a,NoReported,,,,,,,,,,,,,,,,,,1
EUHFC143a,NoReported,,,,,,,,,,,,,,,,,,1
EUHFC152a,NoReported,,,,,,,,,,,,,,,,,,1
EUHFC227ea,NoReported,,,,,,,,,,,,,,,,,,1
EUHFC23,NoReported,,,,,,,,,,,,,,,,,,1
EUHFC236fa,NoReported,,,,,,,,,,,,,,,,,,1
EUHFC245fa,NoReported,,,,,,,,,,,,,,,,,,1
EUHFC32,NoReported,,,,,,,,,,,,,,,,,,1
EUHFC365mfc,NoReported,,,,,,,,,,,,,,,,,,1
EUN2O,NoReported,,,,,,,,,,,,,,,,,,1
EUN2O_AGR,NoReported,,,,,,,,,,,,,,,,,,1
EUN2O_AWB,NoReported,,,,,,,,,,,,,,,,,,1
EUSF6,NoReported,,,,,,,,,,,,,,,,,,1
EbroREbroR_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
EbroREbroR_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
EbroR_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
ElbeRElbeR_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
ElbeRElbeR_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
ElbeR_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
EmsWeserREmsWeserR_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
EmsWeserREmsWeserR_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
EngWalesEngWales_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
EngWalesEngWales_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
EngWales_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
FarahrudRFarahrudR_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
FarahrudRFarahrudR_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
FeedCrops,NoReported,,,,,,,,,,,,,,,,,,1
FiberCrop,NoReported,,,,,,,,,,,,,,,,,,1
FinlandFinland_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
FinlandFinland_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
Finland_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
FlyRFlyR_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
FlyRFlyR_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
FodderGrass,NoReported,,,,,,,,,,,,,,,,,,1
FodderHerb_Residue,NoReported,,,,,,,,,,,,,,,,,,1
FoodDemand_NonStaples,NoReported,,,,,,,,,,,,,,,,,,1
FoodDemand_NonStaples-budget-fraction-trial-supply,NoReported,,,,,,,,,,,,,,,,,,1
FoodDemand_NonStaples_Dairy,NoReported,,,,,,,,,,,,,,,,,,1
FoodDemand_NonStaples_Fish,NoReported,,,,,,,,,,,,,,,,,,1
FoodDemand_NonStaples_FruitsVeg,NoReported,,,,,,,,,,,,,,,,,,1
FoodDemand_NonStaples_NonRuminant,NoReported,,,,,,,,,,,,,,,,,,1
FoodDemand_NonStaples_Oils,NoReported,,,,,,,,,,,,,,,,,,1
FoodDemand_NonStaples_OtherCrop,NoReported,,,,,,,,,,,,,,,,,,1
FoodDemand_NonStaples_PlantProtein,NoReported,,,,,,,,,,,,,,,,,,1
FoodDemand_NonStaples_Ruminant,NoReported,,,,,,,,,,,,,,,,,,1
FoodDemand_NonStaples_Sugar,NoReported,,,,,,,,,,,,,,,,,,1
FoodDemand_NonStaples_Dairy-tfe,NoReported,,,,,,,,,,,,,,,,,,1
FoodDemand_NonStaples_Fish-tfe,NoReported,,,,,,,,,,,,,,,,,,1
FoodDemand_NonStaples_FruitsVeg-tfe,NoReported,,,,,,,,,,,,,,,,,,1
FoodDemand_NonStaples_NonRuminant-tfe,NoReported,,,,,,,,,,,,,,,,,,1
FoodDemand_NonStaples_Oils-tfe,NoReported,,,,,,,,,,,,,,,,,,1
FoodDemand_NonStaples_OtherCrop-tfe,NoReported,,,,,,,,,,,,,,,,,,1
FoodDemand_NonStaples_PlantProtein-tfe,NoReported,,,,,,,,,,,,,,,,,,1
FoodDemand_NonStaples_Ruminant-tfe,NoReported,,,,,,,,,,,,,,,,,,1
FoodDemand_NonStaples_Sugar-tfe,NoReported,,,,,,,,,,,,,,,,,,1
FoodDemand_Staples-tfe,NoReported,,,,,,,,,,,,,,,,,,1
FoodDemand_Staples,NoReported,,,,,,,,,,,,,,,,,,1
FoodDemand_Staples-budget-fraction-trial-supply,NoReported,,,,,,,,,,,,,,,,,,1
Forest,NoReported,,,,,,,,,,,,,,,,,,1
FranceCstSFranceCstS_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
FranceCstSFranceCstS_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
FranceCstS_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
FranceCstWFranceCstW_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
FranceCstWFranceCstW_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
FranceCstW_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
FraserRFraserR_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
FraserRFraserR_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
FraserR_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
Fruits,NoReported,,,,,,,,,,,,,,,,,,1
GDP_Trial,NoReported,,,,,,,,,,,,,,,,,,1
GHG,NoReported,,,,,,,,,,,,,,,,,,1
GangesRGangesR_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
GangesRGangesR_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
GangesR_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
GirondeGironde_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
GirondeGironde_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
Gironde_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
GobiGobi_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
GobiGobi_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
Gobi_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
GodavariRGodavariR_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
GodavariRGodavariR_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
GodavariR_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
GreatBasinGreatBasin_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
GreatBasinGreatBasin_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
GreatBasin_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
GreatLakesGreatLakes_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
GreatLakesGreatLakes_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
GreatLakes_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
GrijUsuRGrijUsuR_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
GrijUsuRGrijUsuR_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
GrijUsuR_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
GuadalqRGuadalqR_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
GuadalqRGuadalqR_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
GuadalqR_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
GuadianaRGuadianaR_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
GuadianaRGuadianaR_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
GuadianaR_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
GuineaGulfGuineaGulf_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
GuineaGulfGuineaGulf_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
GuineaGulf_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
H2 central production,Price|Secondary Energy|Hydrogen,,,,,,,,,,,,,,,,,,1
H2 industrial,Price|Final Energy|Industry|Hydrogen,Price|Final Energy|Industry|Chemicals|Ammonia|Hydrogen,Price|Final Energy|Industry|Iron and Steel|Hydrogen,Price|Final Energy|Industry|Other Sector|Hydrogen,,,,,,,,,,,,,,,1
H2 liquid truck,NoReported,,,,,,,,,,,,,,,,,,1
H2 pipeline,NoReported,,,,,,,,,,,,,,,,,,1
H2 retail delivery,Price|Final Energy|Residential and Commercial|Hydrogen,Price|Final Energy|Residential|Hydrogen,Price|Final Energy|Commercial|Hydrogen,,,,,,,,,,,,,,,,1
H2 retail dispensing,Price|Final Energy|Transportation|Hydrogen,Price|Final Energy|Transportation|Bus|Hydrogen,Price|Final Energy|Transportation|Light-Duty Vehicle|Hydrogen,Price|Final Energy|Transportation|Truck|Hydrogen,,,,,,,,,,,,,,,1
H2 wholesale delivery,Price|Final Energy|Agriculture|Hydrogen,Price|Final Energy|Hydrogen,,,,,,,,,,,,,,,,,1
H2 wholesale dispensing,Price|Final Energy|Bunkers|Hydrogen,Price|Final Energy|Transportation (w/ bunkers)|Hydrogen,Price|Final Energy|Transportation|Passenger|Hydrogen,Price|Final Energy|Transportation|Freight|Hydrogen,Price|Final Energy|Transportation|Domestic Shipping|Hydrogen,Price|Final Energy|Transportation|Domestic Aviation|Hydrogen,Price|Final Energy|Transportation|Rail|Hydrogen,,,,,,,,,,,,1
HFC125,NoReported,,,,,,,,,,,,,,,,,,1
HFC134a,NoReported,,,,,,,,,,,,,,,,,,1
HFC143a,NoReported,,,,,,,,,,,,,,,,,,1
HFC152a,NoReported,,,,,,,,,,,,,,,,,,1
HFC227ea,NoReported,,,,,,,,,,,,,,,,,,1
HFC23,NoReported,,,,,,,,,,,,,,,,,,1
HFC236fa,NoReported,,,,,,,,,,,,,,,,,,1
HFC245fa,NoReported,,,,,,,,,,,,,,,,,,1
HFC32,NoReported,,,,,,,,,,,,,,,,,,1
HFC365mfc,NoReported,,,,,,,,,,,,,,,,,,1
HainanHainan_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
HainanHainan_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
Hainan_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
HamuMashRHamuMashR_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
HamuMashRHamuMashR_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
HawaiiHawaii_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
HawaiiHawaii_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
Hawaii_desalinated water,NoReported,,,,,,,,,,,,,,,,,,1
HelmandHelmand_water consumption,NoReported,,,,,,,,,,,,,,,,,,1
HelmandHelmand_water withdrawals,NoReported,,,,,,,,,,,,,,,,,,1
