# Water XXs by subsector
sector,subsector,var1,var2,var3,var4,unit_conv
Beef,Mixed,Water XX,Water XX|Livestock,,,1
Beef,Pastoral,Water XX,Water XX|Livestock,,,1
biomass,biomassGrass_AfrCstE,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_AfrCstNE,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_CongoR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_LChad,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_Madagascar,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_NileR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_RiftValley,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_ShebJubR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_AfrCstE,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_AfrCstNE,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_CongoR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_Madagascar,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_NileR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_RiftValley,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_ShebJubR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_AfrCstNW,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_AfrIntN,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_MeditE,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_MeditS,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_SinaiP,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_AfrCstNW,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_AfrIntN,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_MeditS,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_AfrCstS,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_AfrCstSE,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_AfrCstSW,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_AfrIntS,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_AngolaCst,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_LimpopoR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_OrangeR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_ZambeziR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_AfrCstS,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_AfrCstSE,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_AfrIntS,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_AngolaCst,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_LimpopoR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_ZambeziR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_AfrCstW,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_GuineaGulf,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_NigerR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_SenegalR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_VoltaR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_AfrCstW,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_GuineaGulf,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_LChad,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_NigerR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_SenegalR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_VoltaR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_ArgColoR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_ArgCstN,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_ArgCstS,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_ChileCstS,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_LaPuna,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_MarChiq,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_NegroR,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_Pampas,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_Patagonia,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_RioLaPlata,Water XX,Water XX|Irrigation,,,1
biomass,biomassGrass_Salinas,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_ArgColoR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_ArgCstS,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_ChileCstS,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_MarChiq,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_NegroR,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_Pampas,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_Patagonia,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_RioLaPlata,Water XX,Water XX|Irrigation,,,1
biomass,biomassTree_Salinas,Water XX,Water XX|Irrigation,,,1
