# mapping file for CO2 markets
market,region
Africa_EasternCO2,Africa_Eastern
Africa_NorthernCO2,Africa_Northern
Africa_SouthernCO2,Africa_Southern
Africa_WesternCO2,Africa_Western
ArgentinaCO2,Argentina
Australia_NZCO2,Australia_NZ
BrazilCO2,Brazil
CanadaCO2,Canada
Central America and CaribbeanCO2,Central America and Caribbean
Central AsiaCO2,Central Asia
ChinaCO2,China
ColombiaCO2,Colombia
EFTACO2,European Free Trade Association
EUCO2_ETS,EU-12
EUCO2_ETS,EU-15
European Free Trade AssociationCO2_ETS,European Free Trade Association
European Free Trade AssociationCO2,European Free Trade Association
EU12CO2,EU-12
EU-12CO2,EU-12
EU_12CO2,EU-12
EUCO2,EU-12
EU_ETSCO2_ETS,EU-12
EU15CO2,EU-15
EU-15CO2,EU-15
EU_15CO2,EU-15
EUCO2,EU-15
EU_ETSCO2_ETS,EU-15
Europe_EasternCO2,Europe_Eastern
Europe_Non_EUCO2,Europe_Non_EU
IndiaCO2,India
IndonesiaCO2,Indonesia
PakistanCO2,Pakistan
JapanCO2,Japan
MexicoCO2,Mexico
Middle EastCO2,Middle East
RussiaCO2,Russia
South AfricaCO2,South Africa
South America_SouthernCO2,South America_Southern
South America_NorthernCO2,South America_Northern
South AsiaCO2,South Asia
South KoreaCO2,South Korea
Southeast AsiaCO2,Southeast Asia
TaiwanCO2,Taiwan
USACO2,USA
Africa_EasternCO2_NearTerm,Africa_Eastern
Africa_NorthernCO2_NearTerm,Africa_Northern
Africa_SouthernCO2_NearTerm,Africa_Southern
Africa_WesternCO2_NearTerm,Africa_Western
ArgentinaCO2_NearTerm,Argentina
Australia_NZCO2_NearTerm,Australia_NZ
BrazilCO2_NearTerm,Brazil
CanadaCO2_NearTerm,Canada
Central America and CaribbeanCO2_NearTerm,Central America and Caribbean
Central AsiaCO2_NearTerm,Central Asia
ChinaCO2_NearTerm,China
ColombiaCO2_NearTerm,Colombia
EFTACO2_NearTerm,European Free Trade Association
EUCO2_ETS,EU-12
EUCO2_ETS,EU-15
European Free Trade AssociationCO2_ETS,European Free Trade Association
European Free Trade AssociationCO2_NearTerm,European Free Trade Association
EU12CO2_NearTerm,EU-12
EU-12CO2_NearTerm,EU-12
EU_12CO2_NearTerm,EU-12
EUCO2_NearTerm,EU-12
EU_ETSCO2_ETS,EU-12
EU15CO2_NearTerm,EU-15
EU-15CO2_NearTerm,EU-15
EU_15CO2_NearTerm,EU-15
EUCO2_NearTerm,EU-15
EU_ETSCO2_ETS,EU-15
Europe_EasternCO2_NearTerm,Europe_Eastern
Europe_Non_EUCO2_NearTerm,Europe_Non_EU
IndiaCO2_NearTerm,India
IndonesiaCO2_NearTerm,Indonesia
PakistanCO2_NearTerm,Pakistan
JapanCO2_NearTerm,Japan
MexicoCO2_NearTerm,Mexico
Middle EastCO2_NearTerm,Middle East
RussiaCO2_NearTerm,Russia
South AfricaCO2_NearTerm,South Africa
South America_SouthernCO2_NearTerm,South America_Southern
South America_NorthernCO2_NearTerm,South America_Northern
South AsiaCO2_NearTerm,South Asia
South KoreaCO2_NearTerm,South Korea
Southeast AsiaCO2_NearTerm,Southeast Asia
TaiwanCO2_NearTerm,Taiwan
USACO2_NearTerm,USA
EU_ETSCO2_ETS,EU-12
EU_ETSCO2_ETS,EU-15
EUCO2_ETS,EU-12
EUCO2_ETS,EU-15
European Free Trade AssociationCO2_ETS,European Free Trade Association
EUCO2,Austria
EUCO2,Belgium
EUCO2,Denmark
EUCO2,Finland
EUCO2,France
EUCO2,Germany
EUCO2,Greece
EUCO2,Ireland
EUCO2,Italy
EUCO2,Luxembourg
EUCO2,Malta
EUCO2,Netherlands
EUCO2,Portugal
EUCO2,Spain
EUCO2,Sweden
EUCO2,UK
EUCO2,Belarus
EUCO2,Moldova
EUCO2,Croatia
EUCO2,Turkey
EUCO2,Iceland
EUCO2,Norway
EUCO2,Switzerland
EUCO2,Czech Republic
EUCO2,Estonia
EUCO2,Hungary
EUCO2,Latvia
EUCO2,Lithuania
EUCO2,Poland
EUCO2,Romania
EUCO2,Slovakia
EUCO2,Slovenia
EUCO2_ETS,Austria
EUCO2_ETS,Belgium
EUCO2_ETS,Denmark
EUCO2_ETS,Finland
EUCO2_ETS,France
EUCO2_ETS,Germany
EUCO2_ETS,Greece
EUCO2_ETS,Ireland
EUCO2_ETS,Italy
EUCO2_ETS,Luxembourg
EUCO2_ETS,Malta
EUCO2_ETS,Netherlands
EUCO2_ETS,Portugal
EUCO2_ETS,Spain
EUCO2_ETS,Sweden
EUCO2_ETS,UK
EUCO2_ETS,Belarus
EUCO2_ETS,Moldova
EUCO2_ETS,Croatia
EUCO2_ETS,Turkey
EUCO2_ETS,Iceland
EUCO2_ETS,Norway
EUCO2_ETS,Switzerland
EUCO2_ETS,Czech Republic
EUCO2_ETS,Estonia
EUCO2_ETS,Hungary
