# File: GCAM32_to_EU.csv
# Title: ISO to GCAM region mapping for EU and 32 regions
# Units: NA
# Description: Maps iso codes to GCAM regions (including composites as necessary)
# Column types: cccicic
# ----------
iso,country_name,region_GCAM3,GCAM_region_ID,GCAMEU_region,GCAM32_region_ID,GCAM32_region
bdi,Burundi,Africa,2,Africa_Eastern,2,Africa_Eastern
com,Comoros,Africa,2,Africa_Eastern,2,Africa_Eastern
dji,Djibouti,Africa,2,Africa_Eastern,2,Africa_Eastern
eri,Eritrea,Africa,2,Africa_Eastern,2,Africa_Eastern
eth,Ethiopia,Africa,2,Africa_Eastern,2,Africa_Eastern
ken,Kenya,Africa,2,Africa_Eastern,2,Africa_Eastern
mdg,Madagascar,Africa,2,Africa_Eastern,2,Africa_Eastern
mus,Mauritius,Africa,2,Africa_Eastern,2,Africa_Eastern
reu,Reunion,Africa,2,Africa_Eastern,2,Africa_Eastern
rwa,Rwanda,Africa,2,Africa_Eastern,2,Africa_Eastern
sdn,Sudan,Africa,2,Africa_Eastern,2,Africa_Eastern
som,Somalia,Africa,2,Africa_Eastern,2,Africa_Eastern
ssd,South Sudan,Africa,2,Africa_Eastern,2,Africa_Eastern
uga,Uganda,Africa,2,Africa_Eastern,2,Africa_Eastern
dza,Algeria,Africa,3,Africa_Northern,3,Africa_Northern
egy,Egypt,Africa,3,Africa_Northern,3,Africa_Northern
esh,Western Sahara,Africa,3,Africa_Northern,3,Africa_Northern
lby,Libyan Arab Jamahiriya,Africa,3,Africa_Northern,3,Africa_Northern
mar,Morocco,Africa,3,Africa_Northern,3,Africa_Northern
tun,Tunisia,Africa,3,Africa_Northern,3,Africa_Northern
ago,Angola,Africa,4,Africa_Southern,4,Africa_Southern
bwa,Botswana,Africa,4,Africa_Southern,4,Africa_Southern
lso,Lesotho,Africa,4,Africa_Southern,4,Africa_Southern
moz,Mozambique,Africa,4,Africa_Southern,4,Africa_Southern
mwi,Malawi,Africa,4,Africa_Southern,4,Africa_Southern
nam,Namibia,Africa,4,Africa_Southern,4,Africa_Southern
swz,Swaziland,Africa,4,Africa_Southern,4,Africa_Southern
tza,"Tanzania, United Republic of",Africa,4,Africa_Southern,4,Africa_Southern
zmb,Zambia,Africa,4,Africa_Southern,4,Africa_Southern
zwe,Zimbabwe,Africa,4,Africa_Southern,4,Africa_Southern
ben,Benin,Africa,5,Africa_Western,5,Africa_Western
bfa,Burkina Faso,Africa,5,Africa_Western,5,Africa_Western
caf,Central African Republic,Africa,5,Africa_Western,5,Africa_Western
civ,Cote dIvoire,Africa,5,Africa_Western,5,Africa_Western
cmr,Cameroon,Africa,5,Africa_Western,5,Africa_Western
cod,"Congo, the Democratic Republic of the",Africa,5,Africa_Western,5,Africa_Western
cog,Congo,Africa,5,Africa_Western,5,Africa_Western
cpv,Cape Verde,Africa,5,Africa_Western,5,Africa_Western
gab,Gabon,Africa,5,Africa_Western,5,Africa_Western
gha,Ghana,Africa,5,Africa_Western,5,Africa_Western
gin,Guinea,Africa,5,Africa_Western,5,Africa_Western
gmb,Gambia,Africa,5,Africa_Western,5,Africa_Western
gnb,Guinea-Bissau,Africa,5,Africa_Western,5,Africa_Western
gnq,Equatorial Guinea,Africa,5,Africa_Western,5,Africa_Western
lbr,Liberia,Africa,5,Africa_Western,5,Africa_Western
mli,Mali,Africa,5,Africa_Western,5,Africa_Western
mrt,Mauritania,Africa,5,Africa_Western,5,Africa_Western
ner,Niger,Africa,5,Africa_Western,5,Africa_Western
nga,Nigeria,Africa,5,Africa_Western,5,Africa_Western
sen,Senegal,Africa,5,Africa_Western,5,Africa_Western
sle,Sierra Leone,Africa,5,Africa_Western,5,Africa_Western
stp,Sao Tome and Principe,Africa,5,Africa_Western,5,Africa_Western
tcd,Chad,Africa,5,Africa_Western,5,Africa_Western
tgo,Togo,Africa,5,Africa_Western,5,Africa_Western
arg,Argentina,Latin America,26,Argentina,31,Argentina
