# Data can be generated in 3 ways. 1. Using GCAM 3.0 assumptions 2. Using global average emissions
# coefficients based on CDIAC inventory and IEA energy balances or 3. Using region-specific average emissions coefficients based on CDIAC inventory and IEA energy balances
region,PrimaryFuelCO2Coef.name,PrimaryFuelCO2Coef
USA,biomass,0
Africa_Eastern,biomass,0
Africa_Northern,biomass,0
Africa_Southern,biomass,0
Africa_Western,biomass,0
Australia_NZ,biomass,0
Brazil,biomass,0
Canada,biomass,0
Central America and Caribbean,biomass,0
Central Asia,biomass,0
China,biomass,0
India,biomass,0
Indonesia,biomass,0
Japan,biomass,0
Mexico,biomass,0
Middle East,biomass,0
Pakistan,biomass,0
Russia,biomass,0
South Africa,biomass,0
South America_Northern,biomass,0
South America_Southern,biomass,0
South Asia,biomass,0
South Korea,biomass,0
Southeast Asia,biomass,0
Taiwan,biomass,0
Argentina,biomass,0
Colombia,biomass,0
Austria,biomass,0
Belgium,biomass,0
Bulgaria,biomass,0
Croatia,biomass,0
Cyprus,biomass,0
Czech Republic,biomass,0
Denmark,biomass,0
Estonia,biomass,0
Finland,biomass,0
France,biomass,0
Germany,biomass,0
Greece,biomass,0
Hungary,biomass,0
Ireland,biomass,0
Italy,biomass,0
Latvia,biomass,0
Lithuania,biomass,0
Luxembourg,biomass,0
Malta,biomass,0
Netherlands,biomass,0
Poland,biomass,0
Portugal,biomass,0
Romania,biomass,0
Slovakia,biomass,0
Slovenia,biomass,0
Spain,biomass,0
Sweden,biomass,0
Albania,biomass,0
Belarus,biomass,0
Bosnia and Herzegovina,biomass,0
Iceland,biomass,0
Macedonia,biomass,0
Moldova,biomass,0
Norway,biomass,0
Serbia and Montenegro,biomass,0
Switzerland,biomass,0
Turkey,biomass,0
UK,biomass,0
Ukraine,biomass,0
USA,regional biomass,23
Africa_Eastern,regional biomass,23
Africa_Northern,regional biomass,23
Africa_Southern,regional biomass,23
Africa_Western,regional biomass,23
Australia_NZ,regional biomass,23
Brazil,regional biomass,23
Canada,regional biomass,23
Central America and Caribbean,regional biomass,23
Central Asia,regional biomass,23
China,regional biomass,23
India,regional biomass,23
Indonesia,regional biomass,23
Japan,regional biomass,23
Mexico,regional biomass,23
Middle East,regional biomass,23
Pakistan,regional biomass,23
Russia,regional biomass,23
South Africa,regional biomass,23
South America_Northern,regional biomass,23
South America_Southern,regional biomass,23
South Asia,regional biomass,23
South Korea,regional biomass,23
Southeast Asia,regional biomass,23
Taiwan,regional biomass,23
Argentina,regional biomass,23
Colombia,regional biomass,23
Austria,regional biomass,23
Belgium,regional biomass,23
Bulgaria,regional biomass,23
Croatia,regional biomass,23
Cyprus,regional biomass,23
Czech Republic,regional biomass,23
Denmark,regional biomass,23
Estonia,regional biomass,23
Finland,regional biomass,23
France,regional biomass,23
Germany,regional biomass,23
Greece,regional biomass,23
Hungary,regional biomass,23
Ireland,regional biomass,23
Italy,regional biomass,23
Latvia,regional biomass,23
Lithuania,regional biomass,23
Luxembourg,regional biomass,23
Malta,regional biomass,23
Netherlands,regional biomass,23
Poland,regional biomass,23
Portugal,regional biomass,23
Romania,regional biomass,23
Slovakia,regional biomass,23
Slovenia,regional biomass,23
Spain,regional biomass,23
Sweden,regional biomass,23
Albania,regional biomass,23
Belarus,regional biomass,23
Bosnia and Herzegovina,regional biomass,23
Iceland,regional biomass,23
Macedonia,regional biomass,23
Moldova,regional biomass,23
