# food_expenditures_average
# Description: Expenditure by GCAM region calculated from documented food expenditure data from USDA for 2018-2022 (average taken),,
# Source: https://ourworldindata.org/grapher/food-expenditure-share-gdp,,
region,av_food_exp,year
USA,2932.348985,2021
Africa_Eastern,399.6408137,2021
Africa_Northern,902.066751,2021
Africa_Southern,364.7594569,2021
Africa_Western,782.0657043,2021
Australia_NZ,3183.403775,2021
Brazil,769.011905,2021
Canada,2560.441601,2021
Central America and Caribbean,1436.052464,2021
Central Asia,1054.239342,2021
China,895.3182744,2021
Bulgaria,1849.947732,2021
Cyprus,1849.947732,2021
Czech Republic,1849.947732,2021
Estonia,1849.947732,2021
Hungary,1849.947732,2021
Latvia,1849.947732,2021
Lithuania,1849.947732,2021
Malta,1849.947732,2021
Poland,1849.947732,2021
Romania,1849.947732,2021
Slovakia,1849.947732,2021
Slovenia,1849.947732,2021
Austria,2704.093883,2021
Belgium,2704.093883,2021
Denmark,2704.093883,2021
Finland,2704.093883,2021
France,2704.093883,2021
Germany,2704.093883,2021
Greece,2704.093883,2021
Ireland,2704.093883,2021
Italy,2704.093883,2021
Luxembourg,2704.093883,2021
Netherlands,2704.093883,2021
Portugal,2704.093883,2021
Spain,2704.093883,2021
Sweden,2704.093883,2021
UK,2704.093883,2021
Ukraine,1051.184803,2021
Belarus,1266.377292,2021
Moldova,1266.377292,2021
Croatia,1266.377292,2021
Albania,1266.377292,2021
Bosnia and Herzegovina,1266.377292,2021
Macedonia,1266.377292,2021
Serbia and Montenegro,1266.377292,2021
Turkey,1266.377292,2021
Iceland,3925.554561,2021
Norway,3925.554561,2021
Switzerland,3925.554561,2021
India,397.6824123,2021
Indonesia,761.434183,2021
Japan,3317.816302,2021
Mexico,1649.495264,2021
Middle East,1361.768805,2021
Pakistan,405.029257,2021
Russia,1641.924967,2021
South Africa,795.0113175,2021
South America_Northern,49.58318411,2021
South America_Southern,1194.019847,2021
South Asia,742.0806014,2021
South Korea,1804.183603,2021
Southeast Asia,871.6532416,2021
Taiwan,1813.458903,2021
Argentina,1579.828605,2021
Colombia,784.6763647,2021
