# CO2 emission by tech mapping
sector,subsector,technology,var1,var2,var3,var4,var5,var6,var7,var8,var9,unit_conv
airCO2,airCO2,airCO2,Emissions|CO2,Emissions|CO2|Other Capture and Removal,,,,,,,,3.666667
CO2 removal,dac,hightemp DAC NG,Emissions|CO2,Emissions|CO2|Other Capture and Removal,,,,,,,,3.666667
CO2 removal,dac,hightemp DAC elec,Emissions|CO2,Emissions|CO2|Other Capture and Removal,,,,,,,,3.666667
CO2 removal,dac,lowtemp DAC heatpump,Emissions|CO2,Emissions|CO2|Other Capture and Removal,,,,,,,,3.666667
CO2 removal,rock weathering,rock weathering,Emissions|CO2,Emissions|CO2|Other Capture and Removal,,,,,,,,3.666667
agricultural energy use,mobile,refined liquids,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|AFOFI,Emissions|CO2|Energy|Demand|Residential and Commercial and AFOFI,,,,3.666667
agricultural energy use,stationary,biomass,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|AFOFI,Emissions|CO2|Energy|Demand|Residential and Commercial and AFOFI,,,,3.666667
agricultural energy use,stationary,refined liquids,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|AFOFI,Emissions|CO2|Energy|Demand|Residential and Commercial and AFOFI,,,,3.666667
agricultural energy use,stationary,gas,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|AFOFI,Emissions|CO2|Energy|Demand|Residential and Commercial and AFOFI,,,,3.666667
agricultural energy use,stationary,coal,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|AFOFI,Emissions|CO2|Energy|Demand|Residential and Commercial and AFOFI,,,,3.666667
alumina,biomass,biomass,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Non-Ferrous Metals,,,,3.666667
alumina,biomass,biomass CCS,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Non-Ferrous Metals,,,,3.666667
alumina,coal,coal,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Non-Ferrous Metals,,,,3.666667
alumina,coal,coal CCS,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Non-Ferrous Metals,,,,3.666667
alumina,gas,gas,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Non-Ferrous Metals,,,,3.666667
alumina,gas,gas CCS,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Non-Ferrous Metals,,,,3.666667
alumina,refined liquids,refined liquids,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Non-Ferrous Metals,,,,3.666667
alumina,refined liquids,refined liquids CCS,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Non-Ferrous Metals,,,,3.666667
ammonia,coal,coal,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Chemicals,Emissions|CO2|Energy|Demand|Industry|Chemicals|Ammonia,,,3.666667
ammonia,coal,coal CCS,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Chemicals,Emissions|CO2|Energy|Demand|Industry|Chemicals|Ammonia,,,3.666667
ammonia,gas,gas,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Chemicals,Emissions|CO2|Energy|Demand|Industry|Chemicals|Ammonia,,,3.666667
ammonia,gas,gas CCS,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Chemicals,Emissions|CO2|Energy|Demand|Industry|Chemicals|Ammonia,,,3.666667
ammonia,hydrogen,hydrogen,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Chemicals,Emissions|CO2|Energy|Demand|Industry|Chemicals|Ammonia,,,3.666667
ammonia,refined liquids,refined liquids,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Chemicals,Emissions|CO2|Energy|Demand|Industry|Chemicals|Ammonia,,,3.666667
backup_electricity,gas,gas (steam/CT),Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Supply,Emissions|CO2|Energy|Supply|Electricity,,,,,3.666667
cement,,,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Industrial Processes,Emissions|CO2|Industrial Processes|Cement,,,,,,3.666667
cement,cement,cement,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Industrial Processes,Emissions|CO2|Industrial Processes|Cement,,,,,,3.666667
cement,cement,cement CCS,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Industrial Processes,Emissions|CO2|Industrial Processes|Cement,,,,,,3.666667
chemical energy use,biomass,biomass CCS,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Chemicals,Emissions|CO2|Energy|Demand|Industry|Chemicals|Other Sector,,,3.666667
chemical energy use,biomass,biomass,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Chemicals,Emissions|CO2|Energy|Demand|Industry|Chemicals|Other Sector,,,3.666667
chemical energy use,coal,coal,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Chemicals,Emissions|CO2|Energy|Demand|Industry|Chemicals|Other Sector,,,3.666667
chemical energy use,coal,coal CCS,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Chemicals,Emissions|CO2|Energy|Demand|Industry|Chemicals|Other Sector,,,3.666667
chemical energy use,gas,gas,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Chemicals,Emissions|CO2|Energy|Demand|Industry|Chemicals|Other Sector,,,3.666667
chemical energy use,gas,gas CCS,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Chemicals,Emissions|CO2|Energy|Demand|Industry|Chemicals|Other Sector,,,3.666667
chemical energy use,refined liquids,refined liquids,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Chemicals,Emissions|CO2|Energy|Demand|Industry|Chemicals|Other Sector,,,3.666667
chemical energy use,refined liquids,refined liquids CCS,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Chemicals,Emissions|CO2|Energy|Demand|Industry|Chemicals|Other Sector,,,3.666667
chemical feedstocks,coal,coal,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Chemicals,Emissions|CO2|Energy|Demand|Industry|Chemicals|Other Sector,,,3.666667
chemical feedstocks,coal,coal CCS,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Chemicals,Emissions|CO2|Energy|Demand|Industry|Chemicals|Other Sector,,,3.666667
chemical feedstocks,gas,gas,Emissions|CO2,Emissions|CO2|Energy and Industrial Processes,Emissions|CO2|Energy,Emissions|CO2|Energy|Demand,Emissions|CO2|Energy|Demand|Industry,Emissions|CO2|Energy|Demand|Industry|Chemicals,Emissions|CO2|Energy|Demand|Industry|Chemicals|Other Sector,,,3.666667
