# nonCO2 emissions by subsector
ghg,resource,var1,var2,var3,var4,var5,var6,var7,var8,unit_conv
BC,crude oil,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Supply,Emissions|BC|Energy|Supply|Fugitive,,,,Emissions|BC|Energy and Industrial Processes,1
BC,natural gas,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Supply,Emissions|BC|Energy|Supply|Fugitive,,,,Emissions|BC|Energy and Industrial Processes,1
CH4,coal,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Supply,Emissions|CH4|Energy|Supply|Fugitive,,,,Emissions|CH4|Energy and Industrial Processes,1
CH4,crude oil,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Supply,Emissions|CH4|Energy|Supply|Fugitive,,,,Emissions|CH4|Energy and Industrial Processes,1
CH4,natural gas,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Supply,Emissions|CH4|Energy|Supply|Fugitive,,,,Emissions|CH4|Energy and Industrial Processes,1
OC,crude oil,Emissions|OC,Emissions|OC|Energy,Emissions|OC|Energy|Supply,Emissions|OC|Energy|Supply|Fugitive,,,,Emissions|OC|Energy and Industrial Processes,1
OC,natural gas,Emissions|OC,Emissions|OC|Energy,Emissions|OC|Energy|Supply,Emissions|OC|Energy|Supply|Fugitive,,,,Emissions|OC|Energy and Industrial Processes,1
CO,coal,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Supply,Emissions|CO|Energy|Supply|Fugitive,,,,Emissions|CO|Energy and Industrial Processes,1
CO,crude oil,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Supply,Emissions|CO|Energy|Supply|Fugitive,,,,Emissions|CO|Energy and Industrial Processes,1
CO,natural gas,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Supply,Emissions|CO|Energy|Supply|Fugitive,,,,Emissions|CO|Energy and Industrial Processes,1
N2O,coal,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Supply,Emissions|N2O|Energy|Supply|Fugitive,,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
N2O,crude oil,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Supply,Emissions|N2O|Energy|Supply|Fugitive,,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
N2O,natural gas,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Supply,Emissions|N2O|Energy|Supply|Fugitive,,,,Emissions|N2O|Energy and Industrial Processes,1.00E+03
NH3,coal,Emissions|NH3,Emissions|NH3|Energy,Emissions|NH3|Energy|Supply,Emissions|NH3|Energy|Supply|Fugitive,,,,Emissions|NH3|Energy and Industrial Processes,1
NH3,crude oil,Emissions|NH3,Emissions|NH3|Energy,Emissions|NH3|Energy|Supply,Emissions|NH3|Energy|Supply|Fugitive,,,,Emissions|NH3|Energy and Industrial Processes,1
NH3,natural gas,Emissions|NH3,Emissions|NH3|Energy,Emissions|NH3|Energy|Supply,Emissions|NH3|Energy|Supply|Fugitive,,,,Emissions|NH3|Energy and Industrial Processes,1
NMVOC,coal,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Supply,Emissions|VOC|Energy|Supply|Fugitive,,,,Emissions|VOC|Energy and Industrial Processes,1
NMVOC,crude oil,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Supply,Emissions|VOC|Energy|Supply|Fugitive,,,,Emissions|VOC|Energy and Industrial Processes,1
NMVOC,natural gas,Emissions|VOC,Emissions|VOC|Energy,Emissions|VOC|Energy|Supply,Emissions|VOC|Energy|Supply|Fugitive,,,,Emissions|VOC|Energy and Industrial Processes,1
NOx,coal,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Supply,Emissions|NOx|Energy|Supply|Fugitive,,,,Emissions|NOx|Energy and Industrial Processes,1
NOx,crude oil,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Supply,Emissions|NOx|Energy|Supply|Fugitive,,,,Emissions|NOx|Energy and Industrial Processes,1
NOx,natural gas,Emissions|NOx,Emissions|NOx|Energy,Emissions|NOx|Energy|Supply,Emissions|NOx|Energy|Supply|Fugitive,,,,Emissions|NOx|Energy and Industrial Processes,1
SO2_1,crude oil,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Supply,Emissions|Sulfur|Energy|Supply|Fugitive,,,,Emissions|Sulfur|Energy and Industrial Processes,1
SO2_1,natural gas,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Supply,Emissions|Sulfur|Energy|Supply|Fugitive,,,,Emissions|Sulfur|Energy and Industrial Processes,1
SO2_2,crude oil,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Supply,Emissions|Sulfur|Energy|Supply|Fugitive,,,,Emissions|Sulfur|Energy and Industrial Processes,1
SO2_2,natural gas,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Supply,Emissions|Sulfur|Energy|Supply|Fugitive,,,,Emissions|Sulfur|Energy and Industrial Processes,1
SO2_3,crude oil,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Supply,Emissions|Sulfur|Energy|Supply|Fugitive,,,,Emissions|Sulfur|Energy and Industrial Processes,1
SO2_3,natural gas,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Supply,Emissions|Sulfur|Energy|Supply|Fugitive,,,,Emissions|Sulfur|Energy and Industrial Processes,1
SO2_4,crude oil,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Supply,Emissions|Sulfur|Energy|Supply|Fugitive,,,,Emissions|Sulfur|Energy and Industrial Processes,1
SO2_4,natural gas,Emissions|Sulfur,Emissions|Sulfur|Energy,Emissions|Sulfur|Energy|Supply,Emissions|Sulfur|Energy|Supply|Fugitive,,,,Emissions|Sulfur|Energy and Industrial Processes,1
PM2.5,crude oil,NoReported,,,,,,,,1
PM2.5,natural gas,NoReported,,,,,,,,1
PM10,crude oil,NoReported,,,,,,,,1
PM10,natural gas,NoReported,,,,,,,,1
