# non co2 emissions map
sector,subsector,ghg,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,unit_conv
agricultural energy use,,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|AFOFI,,,,,,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|BC|Energy and Industrial Processes,1
alumina,biomass,BC,Emissions|BC,Emissions|BC|Industrial Processes,Emissions|BC|Industrial Processes|Non-Ferrous Metals,,,,,,,,,,,Emissions|BC|Energy and Industrial Processes,1
alumina,,BC,Emissions|BC,Emissions|BC|Industrial Processes,Emissions|BC|Industrial Processes|Non-Ferrous Metals,,,,,,,,,,,Emissions|BC|Energy and Industrial Processes,1
ammonia,,BC,Emissions|BC,Emissions|BC|Industrial Processes,Emissions|BC|Industrial Processes|Chemicals,,Emissions|BC|Industrial Processes|Chemicals|Ammonia,,,,,,,,,Emissions|BC|Energy and Industrial Processes,1
chemical energy use,biomass,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Industry,Emissions|BC|Energy|Demand|Industry|Biomass,,,,,,,,Emissions|BC|Energy and Industrial Processes,1
chemical energy use,,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Industry,,,,,,,,,Emissions|BC|Energy and Industrial Processes,1
comm cooling,,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Residential and Commercial,,,Emissions|BC|Energy|Demand|Commercial,,,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|BC|Energy and Industrial Processes,1
comm heating,biomass,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Residential and Commercial,Emissions|BC|Energy|Demand|Residential and Commercial|Biomass,,Emissions|BC|Energy|Demand|Commercial,Emissions|BC|Energy|Demand|Commercial|Biomass,,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI|Biomass,,Emissions|BC|Energy and Industrial Processes,1
comm heating,,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Residential and Commercial,,,Emissions|BC|Energy|Demand|Commercial,,,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|BC|Energy and Industrial Processes,1
comm others,biomass,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Residential and Commercial,Emissions|BC|Energy|Demand|Residential and Commercial|Biomass,,Emissions|BC|Energy|Demand|Commercial,Emissions|BC|Energy|Demand|Commercial|Biomass,,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI|Biomass,,Emissions|BC|Energy and Industrial Processes,1
comm others,,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Residential and Commercial,,,Emissions|BC|Energy|Demand|Commercial,,,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|BC|Energy and Industrial Processes,1
construction energy use,,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Industry,,,,,,,,,Emissions|BC|Energy and Industrial Processes,1
district heat,biomass,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Supply,Emissions|BC|Energy|Supply|Biomass,Emissions|BC|Energy|Supply|Heat,Emissions|BC|Energy|Supply|Heat|Biomass,,,,,,,,Emissions|BC|Energy and Industrial Processes,1
district heat,,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Supply,,Emissions|BC|Energy|Supply|Heat,,,,,,,,,Emissions|BC|Energy and Industrial Processes,1
electricity,biomass,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Supply,Emissions|BC|Energy|Supply|Biomass,Emissions|BC|Energy|Supply|Electricity,Emissions|BC|Energy|Supply|Electricity|Biomass,,,,,,,,Emissions|BC|Energy and Industrial Processes,1
electricity,,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Supply,,Emissions|BC|Energy|Supply|Electricity,,,,,,,,,Emissions|BC|Energy and Industrial Processes,1
industrial energy use,,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Industry,,,,,,,,,Emissions|BC|Energy and Industrial Processes,1
industrial processes,solvents,BC,Emissions|BC,Emissions|BC|Product Use,Emissions|BC|Product Use|Solvents,,,,,,,,,,,,1
industrial processes,,BC,Emissions|BC,Emissions|BC|Industrial Processes,,,,,,,,,,,,Emissions|BC|Energy and Industrial Processes,1
iron and steel,,BC,Emissions|BC,Emissions|BC|Industrial Processes,Emissions|BC|Industrial Processes|Iron and Steel,,,,,,,,,,,Emissions|BC|Energy and Industrial Processes,1
mining energy use,,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Industry,,,,,,,,,Emissions|BC|Energy and Industrial Processes,1
N fertilizer,,BC,Emissions|BC,Emissions|BC|Industrial Processes,Emissions|BC|Industrial Processes|Chemicals,,Emissions|BC|Industrial Processes|Chemicals|Ammonia,,,,,,,,,Emissions|BC|Energy and Industrial Processes,1
other industrial energy use,biomass,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Industry,Emissions|BC|Energy|Demand|Industry|Biomass,,,,,,,,Emissions|BC|Energy and Industrial Processes,1
other industrial energy use,,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Industry,,,,,,,,,Emissions|BC|Energy and Industrial Processes,1
process heat cement,biomass,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Industry,Emissions|BC|Energy|Demand|Industry|Biomass,,,,,,,,Emissions|BC|Energy and Industrial Processes,1
process heat cement,,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Industry,,,,,,,,,Emissions|BC|Energy and Industrial Processes,1
process heat food processing,biomass,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Industry,Emissions|BC|Energy|Demand|Industry|Biomass,,,,,,,,Emissions|BC|Energy and Industrial Processes,1
process heat food processing,,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Industry,,,,,,,,,Emissions|BC|Energy and Industrial Processes,1
process heat paper,,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Industry,,,,,,,,,Emissions|BC|Energy and Industrial Processes,1
resid cooling,,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Residential and Commercial,,,Emissions|BC|Energy|Demand|Residential,,,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|BC|Energy and Industrial Processes,1
resid cooling modern,,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Residential and Commercial,,,Emissions|BC|Energy|Demand|Residential,,,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|BC|Energy and Industrial Processes,1
resid heating,,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Residential and Commercial,,,Emissions|BC|Energy|Demand|Residential,,,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|BC|Energy and Industrial Processes,1
resid heating coal,,BC,Emissions|BC,Emissions|BC|Energy,Emissions|BC|Energy|Demand,,Emissions|BC|Energy|Demand|Residential and Commercial,,,Emissions|BC|Energy|Demand|Residential,,,Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI,,,Emissions|BC|Energy and Industrial Processes,1
