sector,subsector,intermittent.technology,year,capital.overnight
elect_td_bld,rooftop_pv,rooftop_pv,1975,936
elect_td_bld,rooftop_pv,rooftop_pv,1990,936
elect_td_bld,rooftop_pv,rooftop_pv,2005,936
elect_td_bld,rooftop_pv,rooftop_pv,2010,936
elect_td_bld,rooftop_pv,rooftop_pv,2015,936
elect_td_bld,rooftop_pv,rooftop_pv,2020,581
elect_td_bld,rooftop_pv,rooftop_pv,2025,486
elect_td_bld,rooftop_pv,rooftop_pv,2030,400
elect_td_bld,rooftop_pv,rooftop_pv,2035,381
elect_td_bld,rooftop_pv,rooftop_pv,2040,363
elect_td_bld,rooftop_pv,rooftop_pv,2045,354
elect_td_bld,rooftop_pv,rooftop_pv,2050,343
elect_td_bld,rooftop_pv,rooftop_pv,2055,343
elect_td_bld,rooftop_pv,rooftop_pv,2060,343
elect_td_bld,rooftop_pv,rooftop_pv,2065,343
elect_td_bld,rooftop_pv,rooftop_pv,2070,343
elect_td_bld,rooftop_pv,rooftop_pv,2075,343
elect_td_bld,rooftop_pv,rooftop_pv,2080,343
elect_td_bld,rooftop_pv,rooftop_pv,2085,343
elect_td_bld,rooftop_pv,rooftop_pv,2090,343
elect_td_bld,rooftop_pv,rooftop_pv,2095,343
elect_td_bld,rooftop_pv,rooftop_pv,2100,343
electricity,solar,CSP,1975,1175
electricity,solar,CSP,1990,1175
electricity,solar,CSP,2005,1175
electricity,solar,CSP,2010,1175
electricity,solar,CSP,2015,1175
electricity,solar,CSP,2020,1175
electricity,solar,CSP,2025,1104
electricity,solar,CSP,2030,1038
electricity,solar,CSP,2035,970
electricity,solar,CSP,2040,905
electricity,solar,CSP,2045,843
electricity,solar,CSP,2050,784
electricity,solar,CSP,2055,784
electricity,solar,CSP,2060,784
electricity,solar,CSP,2065,784
electricity,solar,CSP,2070,784
electricity,solar,CSP,2075,784
electricity,solar,CSP,2080,784
electricity,solar,CSP,2085,784
electricity,solar,CSP,2090,784
electricity,solar,CSP,2095,784
electricity,solar,CSP,2100,784
electricity,solar,PV,1975,641
electricity,solar,PV,1990,641
electricity,solar,PV,2005,641
electricity,solar,PV,2010,641
electricity,solar,PV,2015,641
electricity,solar,PV,2020,347
electricity,solar,PV,2025,315
electricity,solar,PV,2030,296
electricity,solar,PV,2035,283
electricity,solar,PV,2040,270
electricity,solar,PV,2045,256
electricity,solar,PV,2050,242
electricity,solar,PV,2055,242
electricity,solar,PV,2060,242
electricity,solar,PV,2065,242
electricity,solar,PV,2070,242
electricity,solar,PV,2075,242
electricity,solar,PV,2080,242
electricity,solar,PV,2085,242
electricity,solar,PV,2090,242
electricity,solar,PV,2095,242
electricity,solar,PV,2100,242
electricity,wind,wind,1975,420
electricity,wind,wind,1990,420
electricity,wind,wind,2005,420
electricity,wind,wind,2010,420
electricity,wind,wind,2015,420
electricity,wind,wind,2020,399
electricity,wind,wind,2025,376
electricity,wind,wind,2030,358
electricity,wind,wind,2035,345
electricity,wind,wind,2040,337
electricity,wind,wind,2045,334
electricity,wind,wind,2050,335
electricity,wind,wind,2055,335
electricity,wind,wind,2060,335
electricity,wind,wind,2065,335
electricity,wind,wind,2070,335
electricity,wind,wind,2075,335
electricity,wind,wind,2080,335
electricity,wind,wind,2085,335
electricity,wind,wind,2090,335
electricity,wind,wind,2095,335
electricity,wind,wind,2100,335
electricity,wind,wind_offshore,1975,967
electricity,wind,wind_offshore,1990,967
electricity,wind,wind_offshore,2005,967
electricity,wind,wind_offshore,2010,967
electricity,wind,wind_offshore,2015,967
electricity,wind,wind_offshore,2020,887
electricity,wind,wind_offshore,2025,757
electricity,wind,wind_offshore,2030,622
electricity,wind,wind_offshore,2035,594
electricity,wind,wind_offshore,2040,564
electricity,wind,wind_offshore,2045,532
electricity,wind,wind_offshore,2050,499
electricity,wind,wind_offshore,2055,499
electricity,wind,wind_offshore,2060,499
electricity,wind,wind_offshore,2065,499
electricity,wind,wind_offshore,2070,499
electricity,wind,wind_offshore,2075,499
electricity,wind,wind_offshore,2080,499
electricity,wind,wind_offshore,2085,499
electricity,wind,wind_offshore,2090,499
electricity,wind,wind_offshore,2095,499
electricity,wind,wind_offshore,2100,499
