sector,subsector,technology,year,capital.overnight
electricity,biomass,biomass (conv),1975,1071
electricity,biomass,biomass (conv),1990,1071
electricity,biomass,biomass (conv),2005,1071
electricity,biomass,biomass (conv),2010,1071
electricity,biomass,biomass (conv),2015,1071
electricity,biomass,biomass (conv),2020,1057
electricity,biomass,biomass (conv),2025,1026
electricity,biomass,biomass (conv),2030,1007
electricity,biomass,biomass (conv),2035,987
electricity,biomass,biomass (conv),2040,967
electricity,biomass,biomass (conv),2045,947
electricity,biomass,biomass (conv),2050,919
electricity,biomass,biomass (conv),2055,919
electricity,biomass,biomass (conv),2060,919
electricity,biomass,biomass (conv),2065,919
electricity,biomass,biomass (conv),2070,919
electricity,biomass,biomass (conv),2075,919
electricity,biomass,biomass (conv),2080,919
electricity,biomass,biomass (conv),2085,919
electricity,biomass,biomass (conv),2090,919
electricity,biomass,biomass (conv),2095,919
electricity,biomass,biomass (conv),2100,919
electricity,coal,coal (conv pul CCS),1975,1563
electricity,coal,coal (conv pul CCS),1990,1563
electricity,coal,coal (conv pul CCS),2005,1563
electricity,coal,coal (conv pul CCS),2010,1563
electricity,coal,coal (conv pul CCS),2015,1563
electricity,coal,coal (conv pul CCS),2020,1545
electricity,coal,coal (conv pul CCS),2025,1512
electricity,coal,coal (conv pul CCS),2030,1478
electricity,coal,coal (conv pul CCS),2035,1445
electricity,coal,coal (conv pul CCS),2040,1410
electricity,coal,coal (conv pul CCS),2045,1377
electricity,coal,coal (conv pul CCS),2050,1331
electricity,coal,coal (conv pul CCS),2055,1331
electricity,coal,coal (conv pul CCS),2060,1331
electricity,coal,coal (conv pul CCS),2065,1331
electricity,coal,coal (conv pul CCS),2070,1331
electricity,coal,coal (conv pul CCS),2075,1331
electricity,coal,coal (conv pul CCS),2080,1331
electricity,coal,coal (conv pul CCS),2085,1331
electricity,coal,coal (conv pul CCS),2090,1331
electricity,coal,coal (conv pul CCS),2095,1331
electricity,coal,coal (conv pul CCS),2100,1331
electricity,coal,coal (conv pul),1975,1021
electricity,coal,coal (conv pul),1990,1021
electricity,coal,coal (conv pul),2005,1021
electricity,coal,coal (conv pul),2010,1021
electricity,coal,coal (conv pul),2015,1021
electricity,coal,coal (conv pul),2020,1009
electricity,coal,coal (conv pul),2025,995
electricity,coal,coal (conv pul),2030,983
electricity,coal,coal (conv pul),2035,971
electricity,coal,coal (conv pul),2040,957
electricity,coal,coal (conv pul),2045,946
electricity,coal,coal (conv pul),2050,925
electricity,coal,coal (conv pul),2055,925
electricity,coal,coal (conv pul),2060,925
electricity,coal,coal (conv pul),2065,925
electricity,coal,coal (conv pul),2070,925
electricity,coal,coal (conv pul),2075,925
electricity,coal,coal (conv pul),2080,925
electricity,coal,coal (conv pul),2085,925
electricity,coal,coal (conv pul),2090,925
electricity,coal,coal (conv pul),2095,925
electricity,coal,coal (conv pul),2100,925
electricity,coal,coal (IGCC),1975,1096
electricity,coal,coal (IGCC),1990,1096
electricity,coal,coal (IGCC),2005,1096
electricity,coal,coal (IGCC),2010,1096
electricity,coal,coal (IGCC),2015,1096
electricity,coal,coal (IGCC),2020,1080
electricity,coal,coal (IGCC),2025,1051
electricity,coal,coal (IGCC),2030,1022
electricity,coal,coal (IGCC),2035,998
electricity,coal,coal (IGCC),2040,975
electricity,coal,coal (IGCC),2045,953
electricity,coal,coal (IGCC),2050,924
electricity,coal,coal (IGCC),2055,924
electricity,coal,coal (IGCC),2060,924
electricity,coal,coal (IGCC),2065,924
electricity,coal,coal (IGCC),2070,924
electricity,coal,coal (IGCC),2075,924
electricity,coal,coal (IGCC),2080,924
electricity,coal,coal (IGCC),2085,924
electricity,coal,coal (IGCC),2090,924
electricity,coal,coal (IGCC),2095,924
electricity,coal,coal (IGCC),2100,924
electricity,gas,gas (CC CCS),1975,605
electricity,gas,gas (CC CCS),1990,605
electricity,gas,gas (CC CCS),2005,605
