model,scenario,region,variable,unit,period,value
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity,GW,2017,6970
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity,GW,2017,6970
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity,GW,2017,6970
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Biomass,GW,2017,137
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Biomass,GW,2017,137
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Biomass,GW,2017,137
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Coal,GW,2017,2071
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Coal,GW,2017,2071
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Coal,GW,2017,2071
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|CSP,GW,2017,5
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|CSP,GW,2017,5
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|CSP,GW,2017,5
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Gas,GW,2017,1693
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Gas,GW,2017,1693
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Gas,GW,2017,1693
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Geothermal,GW,2017,14
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Geothermal,GW,2017,14
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Geothermal,GW,2017,14
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Hydro,GW,2017,1269
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Hydro,GW,2017,1269
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Hydro,GW,2017,1269
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Marine,GW,2017,1
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Marine,GW,2017,1
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Marine,GW,2017,1
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Nuclear,GW,2017,413
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Nuclear,GW,2017,413
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Nuclear,GW,2017,413
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Oil,GW,2017,450
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Oil,GW,2017,450
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Oil,GW,2017,450
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Renewables,GW,2017,2339
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Renewables,GW,2017,2339
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Renewables,GW,2017,2339
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Solar|PV,GW,2017,399
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Solar|PV,GW,2017,399
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Solar|PV,GW,2017,399
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Wind,GW,2017,515
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Wind,GW,2017,515
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Wind,GW,2017,515
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Non-Biomass Renewables,GW,2017,2202
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Non-Biomass Renewables,GW,2017,2202
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Non-Biomass Renewables,GW,2017,2202
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity,GW,2018,7218
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity,GW,2018,7218
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity,GW,2018,7218
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Biomass,GW,2018,146
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Biomass,GW,2018,146
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Biomass,GW,2018,146
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Coal,GW,2018,2079
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Coal,GW,2018,2079
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Coal,GW,2018,2079
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|CSP,GW,2018,6
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|CSP,GW,2018,6
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|CSP,GW,2018,6
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Gas,GW,2018,1745
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Gas,GW,2018,1745
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Gas,GW,2018,1745
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Geothermal,GW,2018,14
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Geothermal,GW,2018,14
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Geothermal,GW,2018,14
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Hydro,GW,2018,1290
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Hydro,GW,2018,1290
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Hydro,GW,2018,1290
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Marine,GW,2018,1
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Marine,GW,2018,1
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Marine,GW,2018,1
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Nuclear,GW,2018,419
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Nuclear,GW,2018,419
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Nuclear,GW,2018,419
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Oil,GW,2018,450
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Oil,GW,2018,450
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Oil,GW,2018,450
IEA-WEM2019,Current Policies Scenario,World,Capacity|Electricity|Renewables,GW,2018,2517
IEA-WEM2019,Stated Policies Scenario,World,Capacity|Electricity|Renewables,GW,2018,2517
IEA-WEM2019,Sustainable Development Scenario,World,Capacity|Electricity|Renewables,GW,2018,2517
