# Take GHG emissions for the energy system, filter to include only resources,,,,,
# in model base years, and rename to regional SO2.,,,,,
region,resource,subresource,technology,year,Non.CO2,emiss.coef
USA,coal,coal,coal,1975,CH4,0.191830215
USA,coal,coal,coal,1975,N2O,0
USA,crude oil,crude oil,crude oil,1975,CH4,0.246410238
USA,crude oil,crude oil,crude oil,1975,N2O,0
USA,natural gas,natural gas,natural gas,1975,CH4,0.246410238
USA,natural gas,natural gas,natural gas,1975,N2O,0
USA,coal,coal,coal,1990,CH4,0.184910272
USA,coal,coal,coal,1990,N2O,0
USA,crude oil,crude oil,crude oil,1990,CH4,0.265898138
USA,crude oil,crude oil,crude oil,1990,N2O,0
USA,natural gas,natural gas,natural gas,1990,CH4,0.265898138
USA,natural gas,natural gas,natural gas,1990,N2O,0
USA,coal,coal,coal,2005,CH4,0.119466553
USA,coal,coal,coal,2005,N2O,0
USA,crude oil,crude oil,crude oil,2005,CH4,0.262726644
USA,crude oil,crude oil,crude oil,2005,N2O,0
USA,natural gas,natural gas,natural gas,2005,CH4,0.262726644
USA,natural gas,natural gas,natural gas,2005,N2O,0
USA,coal,coal,coal,2010,CH4,0.161925408
USA,coal,coal,coal,2010,N2O,0
USA,crude oil,crude oil,crude oil,2010,CH4,0.2145142
USA,crude oil,crude oil,crude oil,2010,N2O,7.87E-07
USA,natural gas,natural gas,natural gas,2010,CH4,0.2145142
USA,natural gas,natural gas,natural gas,2010,N2O,7.87E-07
USA,coal,coal,coal,2015,CH4,0.152080265
USA,coal,coal,coal,2015,N2O,0
USA,crude oil,crude oil,crude oil,2015,CH4,0.14935169
USA,crude oil,crude oil,crude oil,2015,N2O,0
USA,natural gas,natural gas,natural gas,2015,CH4,0.14935169
USA,natural gas,natural gas,natural gas,2015,N2O,0
Africa_Eastern,coal,coal,coal,1975,CH4,0.491185455
Africa_Eastern,coal,coal,coal,1975,N2O,0
Africa_Eastern,crude oil,crude oil,crude oil,1975,CH4,0.392040911
Africa_Eastern,crude oil,crude oil,crude oil,1975,N2O,0
Africa_Eastern,natural gas,natural gas,natural gas,1975,CH4,0.397931523
Africa_Eastern,natural gas,natural gas,natural gas,1975,N2O,0
Africa_Eastern,coal,coal,coal,1990,CH4,0.382951108
Africa_Eastern,coal,coal,coal,1990,N2O,0
Africa_Eastern,crude oil,crude oil,crude oil,1990,CH4,0.452815391
Africa_Eastern,crude oil,crude oil,crude oil,1990,N2O,0
Africa_Eastern,natural gas,natural gas,natural gas,1990,CH4,0.442162796
Africa_Eastern,natural gas,natural gas,natural gas,1990,N2O,0
Africa_Eastern,coal,coal,coal,2005,CH4,0.266570496
Africa_Eastern,coal,coal,coal,2005,N2O,0
Africa_Eastern,crude oil,crude oil,crude oil,2005,CH4,0.073453473
Africa_Eastern,crude oil,crude oil,crude oil,2005,N2O,0
Africa_Eastern,natural gas,natural gas,natural gas,2005,CH4,0.073453473
Africa_Eastern,natural gas,natural gas,natural gas,2005,N2O,0
Africa_Eastern,coal,coal,coal,2010,CH4,0.270226267
Africa_Eastern,coal,coal,coal,2010,N2O,0
Africa_Eastern,crude oil,crude oil,crude oil,2010,CH4,0.068760593
Africa_Eastern,crude oil,crude oil,crude oil,2010,N2O,0
Africa_Eastern,natural gas,natural gas,natural gas,2010,CH4,0.068760593
Africa_Eastern,natural gas,natural gas,natural gas,2010,N2O,0
Africa_Eastern,coal,coal,coal,2015,CH4,0.256594838
Africa_Eastern,coal,coal,coal,2015,N2O,0
Africa_Eastern,crude oil,crude oil,crude oil,2015,CH4,0.10840066
Africa_Eastern,crude oil,crude oil,crude oil,2015,N2O,0
Africa_Eastern,natural gas,natural gas,natural gas,2015,CH4,0.10840066
Africa_Eastern,natural gas,natural gas,natural gas,2015,N2O,0
Africa_Northern,coal,coal,coal,1975,CH4,0.491185455
Africa_Northern,coal,coal,coal,1975,N2O,0
Africa_Northern,crude oil,crude oil,crude oil,1975,CH4,0.392040911
Africa_Northern,crude oil,crude oil,crude oil,1975,N2O,0
Africa_Northern,natural gas,natural gas,natural gas,1975,CH4,0.397931523
Africa_Northern,natural gas,natural gas,natural gas,1975,N2O,0
Africa_Northern,coal,coal,coal,1990,CH4,0.382951108
Africa_Northern,coal,coal,coal,1990,N2O,0
Africa_Northern,crude oil,crude oil,crude oil,1990,CH4,0.452815391
Africa_Northern,crude oil,crude oil,crude oil,1990,N2O,0
Africa_Northern,natural gas,natural gas,natural gas,1990,CH4,0.442162796
Africa_Northern,natural gas,natural gas,natural gas,1990,N2O,0
Africa_Northern,coal,coal,coal,2005,CH4,0.266570496
Africa_Northern,coal,coal,coal,2005,N2O,0
Africa_Northern,crude oil,crude oil,crude oil,2005,CH4,0.380829137
Africa_Northern,crude oil,crude oil,crude oil,2005,N2O,0
Africa_Northern,natural gas,natural gas,natural gas,2005,CH4,0.332724508
Africa_Northern,natural gas,natural gas,natural gas,2005,N2O,0
Africa_Northern,coal,coal,coal,2010,CH4,0.270226267
Africa_Northern,coal,coal,coal,2010,N2O,0
Africa_Northern,crude oil,crude oil,crude oil,2010,CH4,0.337132965
Africa_Northern,crude oil,crude oil,crude oil,2010,N2O,7.87E-07
Africa_Northern,natural gas,natural gas,natural gas,2010,CH4,0.300110342
Africa_Northern,natural gas,natural gas,natural gas,2010,N2O,7.87E-07
Africa_Northern,coal,coal,coal,2015,CH4,0.256594838
Africa_Northern,coal,coal,coal,2015,N2O,0
Africa_Northern,crude oil,crude oil,crude oil,2015,CH4,0.354957542
Africa_Northern,crude oil,crude oil,crude oil,2015,N2O,0
Africa_Northern,natural gas,natural gas,natural gas,2015,CH4,0.337804658
Africa_Northern,natural gas,natural gas,natural gas,2015,N2O,0
Africa_Southern,coal,coal,coal,1975,CH4,0.491185455
Africa_Southern,coal,coal,coal,1975,N2O,0
Africa_Southern,crude oil,crude oil,crude oil,1975,CH4,0.392040911
Africa_Southern,crude oil,crude oil,crude oil,1975,N2O,0
Africa_Southern,natural gas,natural gas,natural gas,1975,CH4,0.397931523
Africa_Southern,natural gas,natural gas,natural gas,1975,N2O,0
Africa_Southern,coal,coal,coal,1990,CH4,0.382951108
Africa_Southern,coal,coal,coal,1990,N2O,0
Africa_Southern,crude oil,crude oil,crude oil,1990,CH4,0.452815391
Africa_Southern,crude oil,crude oil,crude oil,1990,N2O,0
Africa_Southern,natural gas,natural gas,natural gas,1990,CH4,0.442162796
Africa_Southern,natural gas,natural gas,natural gas,1990,N2O,0
Africa_Southern,coal,coal,coal,2005,CH4,0.266570496
Africa_Southern,coal,coal,coal,2005,N2O,0
Africa_Southern,crude oil,crude oil,crude oil,2005,CH4,0.315085505
Africa_Southern,crude oil,crude oil,crude oil,2005,N2O,0
Africa_Southern,natural gas,natural gas,natural gas,2005,CH4,0.315085505
Africa_Southern,natural gas,natural gas,natural gas,2005,N2O,0
Africa_Southern,coal,coal,coal,2010,CH4,0.270226267
Africa_Southern,coal,coal,coal,2010,N2O,0
Africa_Southern,crude oil,crude oil,crude oil,2010,CH4,0.209564351
Africa_Southern,crude oil,crude oil,crude oil,2010,N2O,7.87E-07
Africa_Southern,natural gas,natural gas,natural gas,2010,CH4,0.209564351
Africa_Southern,natural gas,natural gas,natural gas,2010,N2O,7.87E-07
Africa_Southern,coal,coal,coal,2015,CH4,0.256594838
Africa_Southern,coal,coal,coal,2015,N2O,0
Africa_Southern,crude oil,crude oil,crude oil,2015,CH4,0.250745392
Africa_Southern,crude oil,crude oil,crude oil,2015,N2O,0
Africa_Southern,natural gas,natural gas,natural gas,2015,CH4,0.250745392
Africa_Southern,natural gas,natural gas,natural gas,2015,N2O,0
Africa_Western,coal,coal,coal,1975,CH4,0.491185455
Africa_Western,coal,coal,coal,1975,N2O,0
Africa_Western,crude oil,crude oil,crude oil,1975,CH4,0.392040911
Africa_Western,crude oil,crude oil,crude oil,1975,N2O,0
Africa_Western,natural gas,natural gas,natural gas,1975,CH4,0.397931523
Africa_Western,natural gas,natural gas,natural gas,1975,N2O,0
Africa_Western,coal,coal,coal,1990,CH4,0.382951108
Africa_Western,coal,coal,coal,1990,N2O,0
Africa_Western,crude oil,crude oil,crude oil,1990,CH4,0.452815391
Africa_Western,crude oil,crude oil,crude oil,1990,N2O,0
Africa_Western,natural gas,natural gas,natural gas,1990,CH4,0.442162796
Africa_Western,natural gas,natural gas,natural gas,1990,N2O,0
Africa_Western,coal,coal,coal,2005,CH4,0.266570496
Africa_Western,coal,coal,coal,2005,N2O,0
Africa_Western,crude oil,crude oil,crude oil,2005,CH4,0.380829137
Africa_Western,crude oil,crude oil,crude oil,2005,N2O,0
Africa_Western,natural gas,natural gas,natural gas,2005,CH4,0.332724508
Africa_Western,natural gas,natural gas,natural gas,2005,N2O,0
Africa_Western,coal,coal,coal,2010,CH4,0.270226267
Africa_Western,coal,coal,coal,2010,N2O,0
Africa_Western,crude oil,crude oil,crude oil,2010,CH4,0.337132965
Africa_Western,crude oil,crude oil,crude oil,2010,N2O,7.87E-07
Africa_Western,natural gas,natural gas,natural gas,2010,CH4,0.300110342
Africa_Western,natural gas,natural gas,natural gas,2010,N2O,7.87E-07
Africa_Western,coal,coal,coal,2015,CH4,0.256594838
Africa_Western,coal,coal,coal,2015,N2O,0
Africa_Western,crude oil,crude oil,crude oil,2015,CH4,0.354957542
Africa_Western,crude oil,crude oil,crude oil,2015,N2O,0
Africa_Western,natural gas,natural gas,natural gas,2015,CH4,0.337804658
Africa_Western,natural gas,natural gas,natural gas,2015,N2O,0
Australia_NZ,coal,coal,coal,1975,CH4,0.278240523
Australia_NZ,coal,coal,coal,1975,N2O,0
Australia_NZ,crude oil,crude oil,crude oil,1975,CH4,0.077891403
Australia_NZ,crude oil,crude oil,crude oil,1975,N2O,0
Australia_NZ,natural gas,natural gas,natural gas,1975,CH4,0.077891403
Australia_NZ,natural gas,natural gas,natural gas,1975,N2O,0
Australia_NZ,coal,coal,coal,1990,CH4,0.191819986
Australia_NZ,coal,coal,coal,1990,N2O,0
Australia_NZ,crude oil,crude oil,crude oil,1990,CH4,0.168413082
Australia_NZ,crude oil,crude oil,crude oil,1990,N2O,0
Australia_NZ,natural gas,natural gas,natural gas,1990,CH4,0.168413082
Australia_NZ,natural gas,natural gas,natural gas,1990,N2O,0
Australia_NZ,coal,coal,coal,2005,CH4,0.133025629
Australia_NZ,coal,coal,coal,2005,N2O,0
Australia_NZ,crude oil,crude oil,crude oil,2005,CH4,0.104793448
Australia_NZ,crude oil,crude oil,crude oil,2005,N2O,0
Australia_NZ,natural gas,natural gas,natural gas,2005,CH4,0.104793448
Australia_NZ,natural gas,natural gas,natural gas,2005,N2O,0
Australia_NZ,coal,coal,coal,2010,CH4,0.120771993
Australia_NZ,coal,coal,coal,2010,N2O,0
Australia_NZ,crude oil,crude oil,crude oil,2010,CH4,0.088525584
Australia_NZ,crude oil,crude oil,crude oil,2010,N2O,0
Australia_NZ,natural gas,natural gas,natural gas,2010,CH4,0.088525584
Australia_NZ,natural gas,natural gas,natural gas,2010,N2O,0
Australia_NZ,coal,coal,coal,2015,CH4,0.106595361
Australia_NZ,coal,coal,coal,2015,N2O,0
Australia_NZ,crude oil,crude oil,crude oil,2015,CH4,0.106300347
