# Non-intermittent technologies from L113.globaltech_capital_ATB and values interpolated from assumptions,,,,,,
# Values determined by an exponential function with terms for minimum achievable cost and pace of reduction,,,,,,
sector.name,subsector.name,technology,year,input.capital,capital.overnight,fixed.charge.rate
electricity,biomass,biomass (conv CCS),1975,capital,2051,0.13
electricity,biomass,biomass (conv CCS),1990,capital,2051,0.13
electricity,biomass,biomass (conv CCS),2005,capital,2051,0.13
electricity,biomass,biomass (conv CCS),2010,capital,2051,0.13
electricity,biomass,biomass (conv CCS),2015,capital,2051,0.13
electricity,biomass,biomass (conv CCS),2020,capital,1962,0.13
electricity,biomass,biomass (conv CCS),2025,capital,1882,0.13
electricity,biomass,biomass (conv CCS),2030,capital,1810,0.13
electricity,biomass,biomass (conv CCS),2035,capital,1744,0.13
electricity,biomass,biomass (conv CCS),2040,capital,1685,0.13
electricity,biomass,biomass (conv CCS),2045,capital,1631,0.13
electricity,biomass,biomass (conv CCS),2050,capital,1583,0.13
electricity,biomass,biomass (conv CCS),2055,capital,1539,0.13
electricity,biomass,biomass (conv CCS),2060,capital,1500,0.13
electricity,biomass,biomass (conv CCS),2065,capital,1464,0.13
electricity,biomass,biomass (conv CCS),2070,capital,1432,0.13
electricity,biomass,biomass (conv CCS),2075,capital,1403,0.13
electricity,biomass,biomass (conv CCS),2080,capital,1376,0.13
electricity,biomass,biomass (conv CCS),2085,capital,1352,0.13
electricity,biomass,biomass (conv CCS),2090,capital,1331,0.13
electricity,biomass,biomass (conv CCS),2095,capital,1311,0.13
electricity,biomass,biomass (conv CCS),2100,capital,1294,0.13
electricity,biomass,biomass (conv),1975,capital,1065,0.13
electricity,biomass,biomass (conv),1990,capital,1065,0.13
electricity,biomass,biomass (conv),2005,capital,1065,0.13
electricity,biomass,biomass (conv),2010,capital,1065,0.13
electricity,biomass,biomass (conv),2015,capital,1065,0.13
electricity,biomass,biomass (conv),2020,capital,1042,0.13
electricity,biomass,biomass (conv),2025,capital,1021,0.13
electricity,biomass,biomass (conv),2030,capital,1001,0.13
electricity,biomass,biomass (conv),2035,capital,984,0.13
electricity,biomass,biomass (conv),2040,capital,968,0.13
electricity,biomass,biomass (conv),2045,capital,954,0.13
electricity,biomass,biomass (conv),2050,capital,941,0.13
electricity,biomass,biomass (conv),2055,capital,930,0.13
electricity,biomass,biomass (conv),2060,capital,919,0.13
electricity,biomass,biomass (conv),2065,capital,910,0.13
electricity,biomass,biomass (conv),2070,capital,901,0.13
electricity,biomass,biomass (conv),2075,capital,893,0.13
electricity,biomass,biomass (conv),2080,capital,886,0.13
electricity,biomass,biomass (conv),2085,capital,880,0.13
electricity,biomass,biomass (conv),2090,capital,874,0.13
electricity,biomass,biomass (conv),2095,capital,869,0.13
electricity,biomass,biomass (conv),2100,capital,864,0.13
electricity,biomass,biomass (IGCC CCS),1975,capital,2357,0.13
electricity,biomass,biomass (IGCC CCS),1990,capital,2357,0.13
electricity,biomass,biomass (IGCC CCS),2005,capital,2357,0.13
electricity,biomass,biomass (IGCC CCS),2010,capital,2357,0.13
electricity,biomass,biomass (IGCC CCS),2015,capital,2357,0.13
electricity,biomass,biomass (IGCC CCS),2020,capital,2235,0.13
electricity,biomass,biomass (IGCC CCS),2025,capital,2124,0.13
electricity,biomass,biomass (IGCC CCS),2030,capital,2024,0.13
electricity,biomass,biomass (IGCC CCS),2035,capital,1934,0.13
electricity,biomass,biomass (IGCC CCS),2040,capital,1853,0.13
electricity,biomass,biomass (IGCC CCS),2045,capital,1779,0.13
electricity,biomass,biomass (IGCC CCS),2050,capital,1712,0.13
electricity,biomass,biomass (IGCC CCS),2055,capital,1652,0.13
electricity,biomass,biomass (IGCC CCS),2060,capital,1597,0.13
electricity,biomass,biomass (IGCC CCS),2065,capital,1548,0.13
electricity,biomass,biomass (IGCC CCS),2070,capital,1503,0.13
electricity,biomass,biomass (IGCC CCS),2075,capital,1463,0.13
electricity,biomass,biomass (IGCC CCS),2080,capital,1427,0.13
electricity,biomass,biomass (IGCC CCS),2085,capital,1394,0.13
electricity,biomass,biomass (IGCC CCS),2090,capital,1364,0.13
electricity,biomass,biomass (IGCC CCS),2095,capital,1337,0.13
electricity,biomass,biomass (IGCC CCS),2100,capital,1313,0.13
electricity,biomass,biomass (IGCC),1975,capital,1598,0.13
electricity,biomass,biomass (IGCC),1990,capital,1598,0.13
electricity,biomass,biomass (IGCC),2005,capital,1598,0.13
electricity,biomass,biomass (IGCC),2010,capital,1598,0.13
electricity,biomass,biomass (IGCC),2015,capital,1598,0.13
electricity,biomass,biomass (IGCC),2020,capital,1534,0.13
electricity,biomass,biomass (IGCC),2025,capital,1475,0.13
electricity,biomass,biomass (IGCC),2030,capital,1423,0.13
electricity,biomass,biomass (IGCC),2035,capital,1375,0.13
electricity,biomass,biomass (IGCC),2040,capital,1332,0.13
electricity,biomass,biomass (IGCC),2045,capital,1293,0.13
electricity,biomass,biomass (IGCC),2050,capital,1258,0.13
electricity,biomass,biomass (IGCC),2055,capital,1226,0.13
electricity,biomass,biomass (IGCC),2060,capital,1197,0.13
electricity,biomass,biomass (IGCC),2065,capital,1171,0.13
electricity,biomass,biomass (IGCC),2070,capital,1148,0.13
electricity,biomass,biomass (IGCC),2075,capital,1127,0.13
electricity,biomass,biomass (IGCC),2080,capital,1107,0.13
electricity,biomass,biomass (IGCC),2085,capital,1090,0.13
electricity,biomass,biomass (IGCC),2090,capital,1074,0.13
electricity,biomass,biomass (IGCC),2095,capital,1060,0.13
electricity,biomass,biomass (IGCC),2100,capital,1047,0.13
electricity,coal,coal (conv pul CCS),1975,capital,1553,0.13
electricity,coal,coal (conv pul CCS),1990,capital,1553,0.13
electricity,coal,coal (conv pul CCS),2005,capital,1553,0.13
electricity,coal,coal (conv pul CCS),2010,capital,1553,0.13
electricity,coal,coal (conv pul CCS),2015,capital,1553,0.13
electricity,coal,coal (conv pul CCS),2020,capital,1530,0.13
electricity,coal,coal (conv pul CCS),2025,capital,1509,0.13
