# Average annual utilization of renewable technologies, calculated using regional solar irradiance data and wind resource curves to adjust default assumptions,,,,
region,supplysector,subsector,stub.technology,year,capacity.factor
Africa_Eastern,electricity,wind,wind_storage,1975,0.41
Africa_Eastern,electricity,wind,wind_storage,1990,0.41
Africa_Eastern,electricity,wind,wind_storage,2005,0.41
Africa_Eastern,electricity,wind,wind_storage,2010,0.41
Africa_Eastern,electricity,wind,wind_storage,2015,0.41
Africa_Eastern,electricity,wind,wind_storage,2020,0.41
Africa_Eastern,electricity,wind,wind_storage,2025,0.41
Africa_Eastern,electricity,wind,wind_storage,2030,0.41
Africa_Eastern,electricity,wind,wind_storage,2035,0.41
Africa_Eastern,electricity,wind,wind_storage,2040,0.41
Africa_Eastern,electricity,wind,wind_storage,2045,0.41
Africa_Eastern,electricity,wind,wind_storage,2050,0.41
Africa_Eastern,electricity,wind,wind_storage,2055,0.41
Africa_Eastern,electricity,wind,wind_storage,2060,0.41
Africa_Eastern,electricity,wind,wind_storage,2065,0.41
Africa_Eastern,electricity,wind,wind_storage,2070,0.41
Africa_Eastern,electricity,wind,wind_storage,2075,0.41
Africa_Eastern,electricity,wind,wind_storage,2080,0.41
Africa_Eastern,electricity,wind,wind_storage,2085,0.41
Africa_Eastern,electricity,wind,wind_storage,2090,0.41
Africa_Eastern,electricity,wind,wind_storage,2095,0.41
Africa_Eastern,electricity,wind,wind_storage,2100,0.41
Africa_Eastern,electricity,wind,wind,1975,0.41
Africa_Eastern,electricity,wind,wind,1990,0.41
Africa_Eastern,electricity,wind,wind,2005,0.41
Africa_Eastern,electricity,wind,wind,2010,0.41
Africa_Eastern,electricity,wind,wind,2015,0.41
Africa_Eastern,electricity,wind,wind,2020,0.41
Africa_Eastern,electricity,wind,wind,2025,0.41
Africa_Eastern,electricity,wind,wind,2030,0.41
Africa_Eastern,electricity,wind,wind,2035,0.41
Africa_Eastern,electricity,wind,wind,2040,0.41
Africa_Eastern,electricity,wind,wind,2045,0.41
Africa_Eastern,electricity,wind,wind,2050,0.41
Africa_Eastern,electricity,wind,wind,2055,0.41
Africa_Eastern,electricity,wind,wind,2060,0.41
Africa_Eastern,electricity,wind,wind,2065,0.41
Africa_Eastern,electricity,wind,wind,2070,0.41
Africa_Eastern,electricity,wind,wind,2075,0.41
Africa_Eastern,electricity,wind,wind,2080,0.41
Africa_Eastern,electricity,wind,wind,2085,0.41
Africa_Eastern,electricity,wind,wind,2090,0.41
Africa_Eastern,electricity,wind,wind,2095,0.41
Africa_Eastern,electricity,wind,wind,2100,0.41
Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,1975,0.240008956
Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,1990,0.240008956
Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,2005,0.240008956
Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,2010,0.240008956
Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,2015,0.240008956
Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,2020,0.240008956
Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,2025,0.240008956
Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,2030,0.240008956
Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,2035,0.240008956
Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,2040,0.240008956
Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,2045,0.240008956
Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,2050,0.240008956
Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,2055,0.240008956
Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,2060,0.240008956
Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,2065,0.240008956
Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,2070,0.240008956
Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,2075,0.240008956
Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,2080,0.240008956
Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,2085,0.240008956
Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,2090,0.240008956
Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,2095,0.240008956
Africa_Eastern,elect_td_bld,rooftop_pv,rooftop_pv,2100,0.240008956
Africa_Eastern,electricity,solar,PV,1975,0.282363478
Africa_Eastern,electricity,solar,PV_storage,1975,0.282363478
Africa_Eastern,electricity,solar,PV,1990,0.282363478
Africa_Eastern,electricity,solar,PV_storage,1990,0.282363478
Africa_Eastern,electricity,solar,PV,2005,0.282363478
Africa_Eastern,electricity,solar,PV_storage,2005,0.282363478
Africa_Eastern,electricity,solar,PV,2010,0.282363478
Africa_Eastern,electricity,solar,PV_storage,2010,0.282363478
Africa_Eastern,electricity,solar,PV,2015,0.282363478
Africa_Eastern,electricity,solar,PV_storage,2015,0.282363478
Africa_Eastern,electricity,solar,PV,2020,0.282363478
Africa_Eastern,electricity,solar,PV_storage,2020,0.282363478
Africa_Eastern,electricity,solar,PV,2025,0.282363478
Africa_Eastern,electricity,solar,PV_storage,2025,0.282363478
Africa_Eastern,electricity,solar,PV,2030,0.282363478
Africa_Eastern,electricity,solar,PV_storage,2030,0.282363478
Africa_Eastern,electricity,solar,PV,2035,0.282363478
Africa_Eastern,electricity,solar,PV_storage,2035,0.282363478
Africa_Eastern,electricity,solar,PV,2040,0.282363478
Africa_Eastern,electricity,solar,PV_storage,2040,0.282363478
Africa_Eastern,electricity,solar,PV,2045,0.282363478
Africa_Eastern,electricity,solar,PV_storage,2045,0.282363478
Africa_Eastern,electricity,solar,PV,2050,0.282363478
Africa_Eastern,electricity,solar,PV_storage,2050,0.282363478
Africa_Eastern,electricity,solar,PV,2055,0.282363478
Africa_Eastern,electricity,solar,PV_storage,2055,0.282363478
Africa_Eastern,electricity,solar,PV,2060,0.282363478
Africa_Eastern,electricity,solar,PV_storage,2060,0.282363478
Africa_Eastern,electricity,solar,PV,2065,0.282363478
Africa_Eastern,electricity,solar,PV_storage,2065,0.282363478
Africa_Eastern,electricity,solar,PV,2070,0.282363478
Africa_Eastern,electricity,solar,PV_storage,2070,0.282363478
Africa_Eastern,electricity,solar,PV,2075,0.282363478
Africa_Eastern,electricity,solar,PV_storage,2075,0.282363478
Africa_Eastern,electricity,solar,PV,2080,0.282363478
Africa_Eastern,electricity,solar,PV_storage,2080,0.282363478
Africa_Eastern,electricity,solar,PV,2085,0.282363478
Africa_Eastern,electricity,solar,PV_storage,2085,0.282363478
Africa_Eastern,electricity,solar,PV,2090,0.282363478
Africa_Eastern,electricity,solar,PV_storage,2090,0.282363478
Africa_Eastern,electricity,solar,PV,2095,0.282363478
Africa_Eastern,electricity,solar,PV_storage,2095,0.282363478
Africa_Eastern,electricity,solar,PV,2100,0.282363478
Africa_Eastern,electricity,solar,PV_storage,2100,0.282363478
Africa_Eastern,electricity,solar,CSP,1975,0.246298623
Africa_Eastern,electricity,solar,CSP_storage,1975,0.496298623
Africa_Eastern,electricity,solar,CSP,1990,0.246298623
Africa_Eastern,electricity,solar,CSP_storage,1990,0.496298623
Africa_Eastern,electricity,solar,CSP,2005,0.246298623
Africa_Eastern,electricity,solar,CSP_storage,2005,0.496298623
Africa_Eastern,electricity,solar,CSP,2010,0.246298623
Africa_Eastern,electricity,solar,CSP_storage,2010,0.496298623
Africa_Eastern,electricity,solar,CSP,2015,0.246298623
Africa_Eastern,electricity,solar,CSP_storage,2015,0.496298623
Africa_Eastern,electricity,solar,CSP,2020,0.246298623
Africa_Eastern,electricity,solar,CSP_storage,2020,0.496298623
Africa_Eastern,electricity,solar,CSP,2025,0.246298623
Africa_Eastern,electricity,solar,CSP_storage,2025,0.496298623
Africa_Eastern,electricity,solar,CSP,2030,0.246298623
Africa_Eastern,electricity,solar,CSP_storage,2030,0.496298623
Africa_Eastern,electricity,solar,CSP,2035,0.246298623
Africa_Eastern,electricity,solar,CSP_storage,2035,0.496298623
Africa_Eastern,electricity,solar,CSP,2040,0.246298623
Africa_Eastern,electricity,solar,CSP_storage,2040,0.496298623
Africa_Eastern,electricity,solar,CSP,2045,0.246298623
Africa_Eastern,electricity,solar,CSP_storage,2045,0.496298623
