#mapping file for N2O markets,
market,region
Africa_EasternN2O,Africa_Eastern
Africa_NorthernN2O,Africa_Northern
Africa_SouthernN2O,Africa_Southern
Africa_WesternN2O,Africa_Western
ArgentinaN2O,Argentina
Australia_NZN2O,Australia_NZ
BrazilN2O,Brazil
CanadaN2O,Canada
Central America and CaribbeanN2O,Central America and Caribbean
Central AsiaN2O,Central Asia
ChinaN2O,China
ColombiaN2O,Colombia
EUN2O,EU-12
EUN2O,EU-15
Europe_EasternN2O,Europe_Eastern
Europe_Non_EUN2O,Europe_Non_EU
European Free Trade AssociationN2O,European Free Trade Association
IndiaN2O,India
IndonesiaN2O,Indonesia
JapanN2O,Japan
MexicoN2O,Mexico
Middle EastN2O,Middle East
PakistanN2O,Pakistan
RussiaN2O,Russia
South AfricaN2O,South Africa
South America_NorthernN2O,South America_Northern
South America_SouthernN2O,South America_Southern
South AsiaN2O,South Asia
South KoreaN2O,South Korea
Southeast AsiaN2O,Southeast Asia
TaiwanN2O,Taiwan
USAN2O,USA
ROWN2O,Africa_Eastern
ROWN2O,Africa_Northern
ROWN2O,Africa_Southern
ROWN2O,Africa_Western
ROWN2O,Argentina
ROWN2O,Australia_NZ
ROWN2O,Brazil
ROWN2O,Central America and Caribbean
ROWN2O,Central Asia
ROWN2O,Colombia
ROWN2O,Europe_Eastern
ROWN2O,Europe_Non_EU
ROWN2O,European Free Trade Association
ROWN2O,India
ROWN2O,Indonesia
ROWN2O,Mexico
ROWN2O,Middle East
ROWN2O,Pakistan
ROWN2O,Russia
ROWN2O,South Africa
ROWN2O,South America_Northern
ROWN2O,South America_Southern
ROWN2O,South Asia
ROWN2O,Southeast Asia
ROWN2O,Taiwan
rowN2O,Africa_Eastern
rowN2O,Africa_Northern
rowN2O,Africa_Southern
rowN2O,Africa_Western
rowN2O,Argentina
rowN2O,Australia_NZ
rowN2O,Brazil
rowN2O,Central America and Caribbean
rowN2O,Central Asia
rowN2O,Colombia
rowN2O,Europe_Eastern
rowN2O,Europe_Non_EU
rowN2O,European Free Trade Association
rowN2O,India
rowN2O,Indonesia
rowN2O,Mexico
rowN2O,Middle East
rowN2O,Pakistan
rowN2O,Russia
rowN2O,South Africa
rowN2O,South America_Northern
rowN2O,South America_Southern
rowN2O,South Asia
rowN2O,Southeast Asia
rowN2O,Taiwan
