# nonCO2 emissions,,,,,,,,,
ghg,var1,var2,var3,var4,var5,var6,var7,var8,unit_conv
BC,Emissions|BC,,,,,,,,1
BC_AWB,Emissions|BC,,,,,,,,1
C2F6,Emissions|C2F6,,,,,,,,1
CF4,Emissions|PFC,,,,,,,,1
CH4,Emissions|CH4,,,,,,,,1
CH4_AGR,Emissions|CH4,,,,,,,,1
CH4_AWB,Emissions|CH4,,,,,,,,1
CO,Emissions|CO,,,,,,,,1
CO_AWB,Emissions|CO,,,,,,,,1
HFC125,Emissions|HFC,Emissions|HFC|HFC125,,,,,,,1
HFC134a,Emissions|HFC,Emissions|HFC|HFC134a,,,,,,,1
HFC143a,Emissions|HFC,Emissions|HFC|HFC143a,,,,,,,1
HFC152a,,,,,,,,,1
HFC227ea,Emissions|HFC,Emissions|HFC|HFC227ea,,,,,,,1
HFC23,Emissions|HFC,Emissions|HFC|HFC23,,,,,,,1
HFC236fa,,,,,,,,,1
HFC245fa,Emissions|HFC,Emissions|HFC|HFC245fa,,,,,,,1
HFC32,Emissions|HFC,Emissions|HFC|HFC32,,,,,,,1
HFC365mfc,,,,,,,,,1
N2O,Emissions|N2O,,,,,,,,1000
N2O_AGR,Emissions|N2O,,,,,,,,1000
N2O_AWB,Emissions|N2O,,,,,,,,1000
NH3,Emissions|NH3,,,,,,,,1
NH3_AGR,Emissions|NH3,,,,,,,,1
NH3_AWB,Emissions|NH3,,,,,,,,1
NMVOC,Emissions|VOC,,,,,,,,1
NMVOC_AWB,Emissions|VOC,,,,,,,,1
NOx,Emissions|NOx,,,,,,,,1
NOx_AGR,Emissions|NOx,,,,,,,,1
NOx_AWB,Emissions|NOx,,,,,,,,1
OC,Emissions|OC,,,,,,,,1
OC_AWB,Emissions|OC,,,,,,,,1
SF6,Emissions|SF6,,,,,,,,1
SO2,Emissions|Sulfur,,,,,,,,1
SO2_1,Emissions|Sulfur,,,,,,,,1
SO2_1_AWB,Emissions|Sulfur,,,,,,,,1
