"","subsector","technology"
"1","biomass","biomass cogen"
"2","biomass","biomass_base_IGCC"
"3","biomass","biomass_base_IGCC_CCS"
"4","biomass","biomass_base_conv"
"5","biomass","biomass_base_conv_CCS"
"6","biomass","biomass_int_IGCC"
"7","biomass","biomass_int_IGCC_CCS"
"8","biomass","biomass_int_conv"
"9","biomass","biomass_int_conv_CCS"
"10","coal","coal cogen"
"11","coal","coal_base_IGCC_CCS"
"12","coal","coal_base_conv pul_CCS"
"13","coal","coal_base_conv pul_slow_retire"
"14","coal","coal_base_conv pul_slow_retire 1971-1975"
"15","coal","coal_base_conv pul_slow_retire 1981-1985"
"16","coal","coal_base_conv pul_slow_retire 1986-1990"
"17","coal","coal_int_IGCC_CCS"
"18","coal","coal_int_conv pul_CCS"
"19","coal","coal_int_conv pul_slow_retire"
"20","coal","coal_int_conv pul_slow_retire 1971-1975"
"21","coal","coal_int_conv pul_slow_retire 1981-1985"
"22","coal","coal_int_conv pul_slow_retire 1986-1990"
"23","gas","gas cogen"
"24","gas","gas_base_CC"
"25","gas","gas_base_CC_CCS"
"26","gas","gas_int_CC"
"27","gas","gas_int_CC_CCS"
"28","gas","gas_peak_CC"
"29","gas","gas_peak_CC_CCS"
"30","gas","gas_peak_steam/CT"
"31","gas","gas_subpeak_CC"
"32","gas","gas_subpeak_CC_CCS"
"33","gas","gas_subpeak_steam/CT"
"34","geothermal","geo_base"
"35","grid_storage","battery"
"36","hydro","hydro_base"
"37","hydrogen","hydrogen cogen"
"38","refined liquids","refined liquids cogen"
"39","refined liquids","refined liquids_base_steam/CT"
"40","refined liquids","refined liquids_int_steam/CT"
"41","refined liquids","refined liquids_subpeak_steam/CT"
"42","rooftop_pv","rooftop_pv"
"43","solar","PV_base_storage"
"44","solar","PV_int"
"45","solar","PV_peak"
"46","solar","PV_subpeak"
"47","wind","wind_base"
"48","wind","wind_base_storage"
"49","coal","coal_base_conv pul_fast_retire"
"50","coal","coal_base_conv pul_slow_retire 1951-1955"
"51","coal","coal_base_conv pul_slow_retire 1961-1965"
"52","coal","coal_base_conv pul_slow_retire 1976-1980"
"53","coal","coal_base_conv pul_slow_retire 1991-1995"
"54","coal","coal_int_conv pul_fast_retire"
"55","coal","coal_int_conv pul_slow_retire 1951-1955"
"56","coal","coal_int_conv pul_slow_retire 1961-1965"
"57","coal","coal_int_conv pul_slow_retire 1976-1980"
"58","coal","coal_int_conv pul_slow_retire 1991-1995"
"59","coal","coal_peak_conv pul_fast_retire"
"60","coal","coal_peak_conv pul_slow_retire"
"61","coal","coal_subpeak_conv pul_fast_retire"
"62","coal","coal_subpeak_conv pul_slow_retire"
"63","nuclear","nuc_base_Gen II"
"64","nuclear","nuc_base_Gen III"
"65","refined liquids","refined liquids_peak_steam/CT"
"66","coal","coal_base_conv pul_slow_retire 2006-2010"
"67","coal","coal_base_conv pul_slow_retire 2011-2015"
"68","coal","coal_int_conv pul_slow_retire 2006-2010"
"69","coal","coal_int_conv pul_slow_retire 2011-2015"
"70","solar","CSP_base_storage"
"71","solar","CSP_int"
"72","solar","CSP_peak"
"73","solar","CSP_subpeak"
"74","wind","wind_int"
"75","wind","wind_subpeak"
"76","AK base load generation","AK base load generation"
"77","AK intermediate generation","AK intermediate generation"
