#Demand for Final Fuels,,,,,,,,,,
sector,input,var1,var2,var3,var4,var5,var6,var7,var8,unit_conv
cement,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Industry,,Final Energy|Industry|Electricity,,1
comm cooking,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,,Final Energy|Residential and Commercial|Electricity,,1
comm cooking,gas,Final Energy,Final Energy|Gases,,,Final Energy|Residential and Commercial,,Final Energy|Residential and Commercial|Gases,,1
comm cooling,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,,Final Energy|Residential and Commercial|Electricity,,1
comm cooling,gas,Final Energy,Final Energy|Gases,,,Final Energy|Residential and Commercial,,Final Energy|Residential and Commercial|Gases,,1
comm heating,biomass,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,,Final Energy|Residential and Commercial,,Final Energy|Residential and Commercial|Solids,Final Energy|Residential and Commercial|Solids|Biomass,1
comm heating,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,,Final Energy|Residential and Commercial,,Final Energy|Residential and Commercial|Solids,Final Energy|Residential and Commercial|Solids|Coal,1
comm heating,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,,Final Energy|Residential and Commercial|Electricity,,1
comm heating,gas,Final Energy,Final Energy|Gases,,,Final Energy|Residential and Commercial,,Final Energy|Residential and Commercial|Gases,,1
comm heating,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Residential and Commercial,,Final Energy|Residential and Commercial|Liquids,,1
comm hot water,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,,Final Energy|Residential and Commercial|Electricity,,1
comm hot water,gas,Final Energy,Final Energy|Gases,,,Final Energy|Residential and Commercial,,Final Energy|Residential and Commercial|Gases,,1
comm hot water,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Residential and Commercial,,Final Energy|Residential and Commercial|Liquids,,1
comm lighting,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,,Final Energy|Residential and Commercial|Electricity,,1
comm non-building,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,,Final Energy|Residential and Commercial|Electricity,,1
comm office,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,,Final Energy|Residential and Commercial|Electricity,,1
comm other,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,,Final Energy|Residential and Commercial|Electricity,,1
comm other,gas,Final Energy,Final Energy|Gases,,,Final Energy|Residential and Commercial,,Final Energy|Residential and Commercial|Gases,,1
comm other,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Residential and Commercial,,Final Energy|Residential and Commercial|Liquids,,1
comm refrigeration,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,,Final Energy|Residential and Commercial|Electricity,,1
comm ventilation,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,,Final Energy|Residential and Commercial|Electricity,,1
industrial energy use,biomass,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,,Final Energy|Industry,,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Biomass,1
industrial energy use,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,,Final Energy|Industry,,Final Energy|Industry|Solids,Final Energy|Industry|Solids|Coal,1
industrial energy use,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Industry,,Final Energy|Industry|Electricity,,1
industrial energy use,gas,Final Energy,Final Energy|Gases,,,Final Energy|Industry,,Final Energy|Industry|Gases,,1
industrial energy use,hydrogen,Final Energy,Final Energy|Hydrogen,,,Final Energy|Industry,,Final Energy|Industry|Hydrogen,,1
industrial energy use,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Industry,,Final Energy|Industry|Liquids,,1
industrial feedstocks,gas,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Gas,,,,,,,1
industrial feedstocks,refined liquids,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Oil,,,,,,,1
industry,industrial processes,Final Energy|Non-Energy Use,,,,,,,,1
N fertilizer,gas,Final Energy,Final Energy|Gases,,,Final Energy|Industry,,Final Energy|Industry|Gases,,1
process heat cement,biomass,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Biomass,,,,,,,1
process heat cement,coal,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Coal,,,,,,,1
process heat cement,gas,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Gas,,,,,,,1
process heat cement,refined liquids,Final Energy|Non-Energy Use,Final Energy|Non-Energy Use|Oil,,,,,,,1
resid clothes dryers,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,Final Energy|Residential ,Final Energy|Residential and Commercial|Electricity,,1
resid clothes dryers,gas,Final Energy,Final Energy|Gases,,,Final Energy|Residential and Commercial,Final Energy|Residential ,Final Energy|Residential and Commercial|Gases,,1
resid clothes washers,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,Final Energy|Residential ,Final Energy|Residential and Commercial|Electricity,,1
resid computers,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,Final Energy|Residential ,Final Energy|Residential and Commercial|Electricity,,1
resid cooking,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,Final Energy|Residential ,Final Energy|Residential and Commercial|Electricity,,1
resid cooking,gas,Final Energy,Final Energy|Gases,,,Final Energy|Residential and Commercial,Final Energy|Residential ,Final Energy|Residential and Commercial|Gases,,1
resid cooking,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Residential and Commercial,Final Energy|Residential ,Final Energy|Residential and Commercial|Liquids,,1
resid cooling,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,Final Energy|Residential ,Final Energy|Residential and Commercial|Electricity,,1
resid dishwashers,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,Final Energy|Residential ,Final Energy|Residential and Commercial|Electricity,,1
resid freezers,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,Final Energy|Residential ,Final Energy|Residential and Commercial|Electricity,,1
resid furnace fans,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,Final Energy|Residential ,Final Energy|Residential and Commercial|Electricity,,1
resid heating,biomass,Final Energy,Final Energy|Solids,Final Energy|Solids|Biomass,,Final Energy|Residential and Commercial,Final Energy|Residential ,Final Energy|Residential and Commercial|Solids,Final Energy|Residential and Commercial|Solids|Biomass,1
resid heating,coal,Final Energy,Final Energy|Solids,Final Energy|Solids|Coal,,Final Energy|Residential and Commercial,Final Energy|Residential ,Final Energy|Residential and Commercial|Solids,Final Energy|Residential and Commercial|Solids|Coal,1
resid heating,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,Final Energy|Residential ,Final Energy|Residential and Commercial|Electricity,,1
resid heating,gas,Final Energy,Final Energy|Gases,,,Final Energy|Residential and Commercial,Final Energy|Residential ,Final Energy|Residential and Commercial|Gases,,1
resid heating,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Residential and Commercial,Final Energy|Residential ,Final Energy|Residential and Commercial|Liquids,,1
resid hot water,gas,Final Energy,Final Energy|Gases,,,Final Energy|Residential and Commercial,Final Energy|Residential ,Final Energy|Residential and Commercial|Gases,,1
resid hot water,refined liquids,Final Energy,Final Energy|Liquids,,,Final Energy|Residential and Commercial,Final Energy|Residential ,Final Energy|Residential and Commercial|Liquids,,1
resid hot water,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,Final Energy|Residential ,Final Energy|Residential and Commercial|Electricity,,1
resid lighting,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,Final Energy|Residential ,Final Energy|Residential and Commercial|Electricity,,1
resid other,electricity,Final Energy,Final Energy|Electricity,,,Final Energy|Residential and Commercial,Final Energy|Residential ,Final Energy|Residential and Commercial|Electricity,,1
