# Prices by sector,,,,,,,,,
sector,var1,var2,var3,var4,var5,var6,var7,var8,unit_conv
Corn,Price|Agriculture|Corn|Index,,,,,,,,1
FiberCrop,,,,,,,,,1
FodderGrass,,,,,,,,,1
FodderHerb,,,,,,,,,1
Forest,,,,,,,,,1
Fruits,,,,,,,,,1
Legumes,,,,,,,,,1
MiscCrop,,,,,,,,,1
NutsSeeds,,,,,,,,,1
OilCrop,,,,,,,,,1
OilPalm,,,,,,,,,1
OtherGrain,,,,,,,,,1
Pasture,,,,,,,,,1
Rice,Price|Agriculture|Rice|Index,,,,,,,,1
RootTuber,,,,,,,,,1
Soybean,Price|Agriculture|Soybean|Index,,,,,,,,1
SugarCrop,,,,,,,,,1
UnmanagedLand,,,,,,,,,1
Vegetables,,,,,,,,,1
Wheat,Price|Agriculture|Wheat|Index,,,,,,,,1
biomass,,,,,,,,,1
