"emiss											",,,,,,,,,,,
sector,technology,var1,var2,var3,var4,var5,var6,var7,var8,var9,unit_conv
alumina,biomass CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Biomass,Carbon Sequestration|CCS|Biomass|Energy,Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry,,,,,,3.666667
alumina,coal CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,,,,,,3.666667
alumina,gas CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,,,,,,3.666667
alumina,refined liquids CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Liquids|Energy,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,,,,,,3.666667
cement,cement CCS,Carbon Sequestration|CCS,,Carbon Sequestration|CCS|Industrial Processes,,,,,,,3.666667
ces,dac,CO2 capture|Direct Air Capture,,,,,,,,,3.666667
ces,dac,CO2 capture|Direct Air Capture,,,,,,,,,3.666667
ces,dac,CO2 capture|Direct Air Capture,,,,,,,,,3.666667
CO2 removal,hightemp DAC NG,CO2 capture|Direct Air Capture,,,,,,,,,3.666667
CO2 removal,hightemp DAC elec,CO2 capture|Direct Air Capture,,,,,,,,,3.666667
CO2 removal,lowtemp DAC heatpump,CO2 capture|Direct Air Capture,,,,,,,,,3.666667
process heat dac,gas CCS,CO2 capture|Direct Air Capture,,,,,,,,,3.666667
chemical energy use,biomass CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Biomass,Carbon Sequestration|CCS|Biomass|Energy,Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry,,,,,,3.666667
chemical energy use,coal CCS,Carbon Sequestration|CCS,Carbon Sequestration|CCS|Fossil,Carbon Sequestration|CCS|Fossil|Energy,Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,,,,,,3.666667
