# water content of different agricultural GCAM commodities
GCAM_commodity,mean,max,min
Corn,0.14,0.14000000000000004,0.13999999999999999
FiberCrop,0.08,0.08,0.07999999999999999
Fruits,0.7694178168967176,0.8263407995381807,0.6933114427912944
Legumes,0.25073919070274797,0.4929596582369856,0.14244133930925387
MiscCrop,0.11835001443811673,0.4279579503326393,1.0214057461368977e-5
NutsSeeds,0.14565946690805986,0.2,0.09
OilCrop,0.3373106311535489,0.8,0.006194020000377129
OilPalm,0.35,0.35000000000000003,0.35
OtherGrain,0.45761998296156575,0.8675902214760187,0.1266807310587647
Rice,0.09,0.09000000000000001,0.08999999999999998
RootTuber,0.6710077360807972,0.8000000000000002,0.22108147990015622
Soybean,0.12000000000000001,0.12000000000000004,0.12
SugarCrop,0.7765614927052715,0.8500000000000001,0.7399999999999999
Vegetables,0.6787473303642838,0.8882701974772436,0.1815558970600645
Wheat,0.13,0.13000000000000003,0.12999999999999998
Beef,0.5792484268929711,0.6261325536567531,0.438043842737319
Dairy,0.8693635357675124,0.8764101772494625,0.8426224869210828
Pork,0.5153123867507513,0.5435384132058636,0.3966641761615176
Poultry,0.5147056909192032,0.5332664958502069,0.4582057686712109
SheepGoat,0.5372520319769176,0.5763205205859323,0.12263046219589488
FodderGrass,0.7671657081654986,NA,NA
FodderHerb,0.7671657081654986,NA,NA
Fish_OtherMeat,0.7399895995839834,NA,NA
Pasture,0.75,NA,NA
biomass,0,NA,NA
Forest,0.13043478260869557,NA,NA
traded beef,0.5792484268929711,0.6261325536567531,0.438043842737319
traded dairy,0.8693635357675124,0.8764101772494625,0.8426224869210828
traded pork,0.5153123867507513,0.5435384132058636,0.3966641761615176
traded poultry,0.5147056909192032,0.5332664958502069,0.4582057686712109
traded sheepgoat,0.5372520319769176,0.5763205205859323,0.12263046219589488
