Year,State Code,Producer Type,Fuel Source,Generators,Facilities,Nameplate Capacity (Megawatts),Summer Capacity (Megawatts)
1990,AK,"Combined Heat and Power, Commercial Power",All Sources,,4,85.9,80.1
1990,AK,"Combined Heat and Power, Commercial Power",Coal,,3,65.5,61.1
1990,AK,"Combined Heat and Power, Commercial Power",Petroleum,,1,20.4,19
1990,AK,"Combined Heat and Power, Industrial Power",All Sources,,23,229.4,204.2
1990,AK,"Combined Heat and Power, Industrial Power",Natural Gas,,28,159.3,136.7
1990,AK,"Combined Heat and Power, Industrial Power",Petroleum,,8,68.3,65.9
1990,AK,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,,2,1.8,1.7
1990,AK,"Electric Generators, Electric Utilities",All Sources,,125,"1,754.70","1,541.80"
1990,AK,"Electric Generators, Electric Utilities",Coal,,2,53.5,55.5
1990,AK,"Electric Generators, Electric Utilities",Hydroelectric,,20,240.7,235.7
1990,AK,"Electric Generators, Electric Utilities",Natural Gas,,7,924.4,756.2
1990,AK,"Electric Generators, Electric Utilities",Petroleum,,95,536.1,494.4
1990,AK,"Electric Generators, Electric Utilities",Wind,,1,0,0
1990,AK,Total Electric Power Industry,All Sources,,152,"2,070.00","1,826.10"
1990,AK,Total Electric Power Industry,Coal,,,119,116.6
1990,AK,Total Electric Power Industry,Hydroelectric,,20,240.7,235.7
1990,AK,Total Electric Power Industry,Natural Gas,,21,"1,083.80",892.9
1990,AK,Total Electric Power Industry,Petroleum,,,624.7,579.3
1990,AK,Total Electric Power Industry,Wind,,1,0,0
1990,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,,1,1.8,1.7
1990,AL,"Combined Heat and Power, Electric Power",All Sources,,2,101.9,95.5
1990,AL,"Combined Heat and Power, Electric Power",Natural Gas,,1,15.6,15
1990,AL,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,,1,86.3,80.5
1990,AL,"Combined Heat and Power, Industrial Power",All Sources,,14,443,421.1
1990,AL,"Combined Heat and Power, Industrial Power",Coal,,1,25,23.2
1990,AL,"Combined Heat and Power, Industrial Power",Natural Gas,,8,44.4,38.5
1990,AL,"Combined Heat and Power, Industrial Power",Other Gases,,6,92.5,90.2
1990,AL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,,12,281.1,269.2
1990,AL,"Electric Generators, Electric Utilities",All Sources,,36,"21,252.30","20,022.70"
1990,AL,"Electric Generators, Electric Utilities",Coal,,10,"12,619.50","11,776.70"
1990,AL,"Electric Generators, Electric Utilities",Hydroelectric,,21,"2,857.00","2,934.30"
1990,AL,"Electric Generators, Electric Utilities",Natural Gas,,2,476,400
1990,AL,"Electric Generators, Electric Utilities",Nuclear,,2,"5,232.50","4,847.00"
1990,AL,"Electric Generators, Electric Utilities",Petroleum,,1,67.3,64.8
1990,AL,"Electric Generators, Independent Power Producers",All Sources,,1,5,4.7
1990,AL,"Electric Generators, Independent Power Producers",Other Biomass,,,5,4.7
1990,AL,Total Electric Power Industry,All Sources,,53,"21,802.20","20,544.00"
1990,AL,Total Electric Power Industry,Coal,,,"12,644.50","11,799.80"
1990,AL,Total Electric Power Industry,Hydroelectric,,21,"2,857.00","2,934.30"
1990,AL,Total Electric Power Industry,Natural Gas,,7,536,453.5
