#Transport Demand for Final Fuels,,,,,
sector,input,mode,var1,var2,unit_conv
trn_aviation_intl,elect_td_trn,International Aviation,Final Energy|Transportation|Aviation,Final Energy|Transportation|Aviation|Passenger,1
trn_aviation_intl,H2 wholesale dispensing,International Aviation,Final Energy|Transportation|Aviation,Final Energy|Transportation|Aviation|Passenger,1
trn_aviation_intl,refined liquids enduse,International Aviation,Final Energy|Transportation|Aviation,Final Energy|Transportation|Aviation|Passenger,1
trn_freight,elect_td_trn,Domestic Ship,Final Energy|Transportation|Maritime,Final Energy|Transportation|Maritime|Freight,1
trn_freight,H2 wholesale dispensing,Domestic Ship,Final Energy|Transportation|Maritime,Final Energy|Transportation|Maritime|Freight,1
trn_freight,refined liquids enduse,Domestic Ship,Final Energy|Transportation|Maritime,Final Energy|Transportation|Maritime|Freight,1
trn_freight,delivered coal,Freight Rail,Final Energy|Transportation|Rail,Final Energy|Transportation|Rail|Freight,1
trn_freight,elect_td_trn,Freight Rail,Final Energy|Transportation|Rail,Final Energy|Transportation|Rail|Freight,1
trn_freight,H2 wholesale dispensing,Freight Rail,Final Energy|Transportation|Rail,Final Energy|Transportation|Rail|Freight,1
trn_freight,refined liquids enduse,Freight Rail,Final Energy|Transportation|Rail,Final Energy|Transportation|Rail|Freight,1
trn_freight_road,elect_td_trn,Heavy truck,,,1
trn_freight_road,H2 retail dispensing,Heavy truck,,,1
trn_freight_road,refined liquids enduse,Heavy truck,,,1
trn_freight_road,delivered gas,Light truck,,,1
trn_freight_road,elect_td_trn,Light truck,,,1
trn_freight_road,H2 retail dispensing,Light truck,,,1
trn_freight_road,refined liquids enduse,Light truck,,,1
trn_freight_road,elect_td_trn,Medium truck,,,1
trn_freight_road,H2 retail dispensing,Medium truck,,,1
trn_freight_road,refined liquids enduse,Medium truck,,,1
trn_pass,elect_td_trn,Domestic Aviation,Final Energy|Transportation|Aviation,Final Energy|Transportation|Aviation|Passenger,1
trn_pass,H2 wholesale dispensing,Domestic Aviation,Final Energy|Transportation|Aviation,Final Energy|Transportation|Aviation|Passenger,1
trn_pass,refined liquids enduse,Domestic Aviation,Final Energy|Transportation|Aviation,Final Energy|Transportation|Aviation|Passenger,1
trn_pass,elect_td_trn,HSR,Final Energy|Transportation|Rail,Final Energy|Transportation|Rail|Passenger,1
trn_pass,elect_td_trn,Passenger Rail,Final Energy|Transportation|Rail,Final Energy|Transportation|Rail|Passenger,1
trn_pass,refined liquids enduse,Passenger Rail,Final Energy|Transportation|Rail,Final Energy|Transportation|Rail|Passenger,1
trn_pass_road,delivered gas,Bus,Final Energy|Transportation|Road|Passenger|Bus,,1
trn_pass_road,elect_td_trn,Bus,Final Energy|Transportation|Road|Passenger|Bus,,1
trn_pass_road,H2 retail dispensing,Bus,Final Energy|Transportation|Road|Passenger|Bus,,1
trn_pass_road,refined liquids enduse,Bus,Final Energy|Transportation|Road|Passenger|Bus,,1
trn_pass_road_LDV,delivered gas,2W and 3W,,,1
trn_pass_road_LDV,elect_td_trn,2W and 3W,,,1
trn_pass_road_LDV,refined liquids enduse,2W and 3W,,,1
trn_pass_road_LDV_4W,delivered gas,Car,,,1
trn_pass_road_LDV_4W,elect_td_trn,Car,,,1
trn_pass_road_LDV_4W,H2 retail dispensing,Car,,,1
trn_pass_road_LDV_4W,refined liquids enduse,Car,,,1
trn_pass_road_LDV_4W,delivered gas,Large Car and Truck,,,1
trn_pass_road_LDV_4W,elect_td_trn,Large Car and Truck,,,1
trn_pass_road_LDV_4W,H2 retail dispensing,Large Car and Truck,,,1
trn_pass_road_LDV_4W,refined liquids enduse,Large Car and Truck,,,1
trn_pass_road_LDV_4W,delivered gas,Mini Car,,,1
trn_pass_road_LDV_4W,elect_td_trn,Mini Car,,,1
trn_pass_road_LDV_4W,H2 retail dispensing,Mini Car,,,1
trn_pass_road_LDV_4W,refined liquids enduse,Mini Car,,,1
trn_shipping_intl,elect_td_trn,International Ship,Final Energy|Transportation|Maritime,Final Energy|Transportation|Maritime|Freight,1
trn_shipping_intl,H2 wholesale dispensing,International Ship,Final Energy|Transportation|Maritime,Final Energy|Transportation|Maritime|Freight,1
trn_shipping_intl,refined liquids enduse,International Ship,Final Energy|Transportation|Maritime,Final Energy|Transportation|Maritime|Freight,1
trn_aviation_intl,refined liquids transport,International Aviation,Final Energy|Transportation|Aviation,Final Energy|Transportation|Aviation|Passenger,1
trn_freight,refined liquids transport,Domestic Ship,Final Energy|Transportation|Maritime,Final Energy|Transportation|Maritime|Freight,1
trn_freight,refined liquids transport,Freight Rail,Final Energy|Transportation|Rail,Final Energy|Transportation|Rail|Freight,1
trn_pass,refined liquids bunkers,Domestic Aviation,Final Energy|Transportation|Aviation,Final Energy|Transportation|Aviation|Passenger,1
trn_pass,refined liquids transport,Passenger Rail,Final Energy|Transportation|Rail,Final Energy|Transportation|Rail|Passenger,1
trn_pass_road,delivered gas transport,Bus,Final Energy|Transportation|Road|Passenger|Bus,,1
trn_pass_road,refined liquids transport,Bus,Final Energy|Transportation|Road|Passenger|Bus,,1
trn_shipping_intl,refined liquids bunkers,International Ship,Final Energy|Transportation|Maritime,Final Energy|Transportation|Maritime|Freight,1
trn_shipping_intl,refined liquids transport,International Ship,Final Energy|Transportation|Maritime,Final Energy|Transportation|Maritime|Freight,1
