name;fun;dependencies;checks
population_clean;get_population;;
GDP_PPP_clean;get_gdp_ppp;population_clean;
GDP_MER_clean;get_gdp_mer;;
forcing_clean;get_forcing;;
global_temp_clean;get_temperature;;
co2_concentration_clean;get_co2_concentration;;
co2_clean;get_co2;;
nonbio_share;get_nonbio_tmp;;
co2_tech_nobio;get_co2_tech_nobio_tmp;nonbio_share;
co2_tech_emissions;get_co2_tech_emissions_tmp;co2_tech_nobio;
iron_steel_map;get_iron_steel_map;;
co2_tech_ironsteel;get_co2_iron_steel;co2_tech_nobio,iron_steel_map;
LU_carbon_clean;get_lu_co2;;
co2_emissions_clean;get_co2_emissions;co2_clean,LU_carbon_clean,co2_tech_emissions;
tot_co2_clean;get_total_co2_emissions;co2_clean,LU_carbon_clean;
nonco2_clean;get_nonco2_emissions;;
f_gas_clean;get_fgas;;
ghg_clean;get_ghg;LU_carbon_clean;
ghg_sector_clean;get_ghg_sector;LU_carbon_clean;
co2_sequestration_clean;get_co2_sequestration;;
ag_demand_clean;get_ag_demand;;
ag_production_clean;get_ag_production;;
land_clean;get_land;;
primary_energy_clean;get_primary_energy;;
energy_trade_prod;get_energy_trade_prod;;
energy_trade_supply;get_energy_trade_tmp;;
energy_trade_clean;get_energy_trade;energy_trade_prod,energy_trade_supply;check_trade
check_trade;do_check_trade;;
elec_gen_tech_clean;get_elec_gen_tech;;
secondary_solids;get_secondary_solids;;
se_gen_tech_clean;get_se_gen_tech;secondary_solids;
fe_sector;get_fe_sector_tmp;;
fe_transportation;get_fe_transportation_tmp;;
fe_sector_clean;get_fe_sector;fe_sector,fe_transportation;
energy_service_transportation_clean;get_energy_service_transportation;;
energy_service_buildings_clean;get_energy_service_buildings;;
industry_production_clean;get_industry_production;;
ag_prices_wld;get_ag_prices_wld_tmp;;
ag_prices_clean;get_ag_prices;ag_prices_wld;
price_var;get_price_var_tmp;;
regions;get_regions_tmp;;
region_weight;get_regions_weight_tmp;fe_sector_clean;
co2_ets_bysec;get_co2_ets;;
co2_price_share_bysec;get_co2_price_share;co2_ets_bysec,co2_clean;
co2_price_global;get_co2_price_global_tmp;regions,price_var;
co2_price_fragmented;get_co2_price_fragmented_tmp;price_var,region_weight,regions,co2_price_share_bysec;
co2_price_clean;get_co2_price;co2_price_fragmented,co2_price_global;
gov_revenue_sector;get_gov_revenue_sector;co2_clean;
gov_revenue_all;get_gov_revenue_all;gov_revenue_sector;
prices_subsector;get_prices_subsector;;
energy_price_fragmented;get_energy_price_fragmented;prices_subsector;
total_revenue;get_total_revenue;;
regional_emission;get_regional_emission;nonCO2_content;
energy_price;get_energy_price_tmp;energy_price_fragmented;
energy_price_clean;get_energy_price;energy_price;
cf_iea;get_cf_iea_tmp;elec_gen_tech_clean;
elec_cf;get_elec_cf_tmp;cf_iea;
elec_capacity_tot_clean;get_elec_capacity_tot;elec_cf;
elec_capacity_add;get_elec_capacity_add_tmp;elec_cf;
elec_capacity_add_clean;get_elec_capacity_add;elec_capacity_add;
elec_capital_clean;get_elec_capital;;
elec_investment_clean;get_elec_investment;elec_capacity_add;
transmission_invest_clean;get_transmission_invest;elec_capacity_add_clean;
CCS_invest_clean;get_CCS_invest;co2_sequestration_clean;
resource_investment_clean;get_resource_investment;;
