Model,Variable,Unit,Internal_variable
GCAM 7.0,Agricultural Demand,million t DM/yr,ag_demand_clean
GCAM 7.0,Agricultural Demand|Crops,million t DM/yr,ag_demand_clean
GCAM 7.0,Agricultural Demand|Crops|Energy,million t DM/yr,ag_demand_clean
GCAM 7.0,Agricultural Demand|Crops|Energy|1st generation,million t DM/yr,ag_demand_clean
GCAM 7.0,Agricultural Demand|Crops|Energy|2nd generation,million t DM/yr,ag_demand_clean
GCAM 7.0,Agricultural Demand|Crops|Feed,million t DM/yr,ag_demand_clean
GCAM 7.0,Agricultural Demand|Crops|Food,million t DM/yr,ag_demand_clean
GCAM 7.0,Agricultural Demand|Crops|Other,million t DM/yr,ag_demand_clean
GCAM 7.0,Agricultural Demand|Livestock,million t DM/yr,ag_demand_clean
GCAM 7.0,Agricultural Demand|Livestock|Food,million t DM/yr,ag_demand_clean
GCAM 7.0,Agricultural Demand|Livestock|Other,million t DM/yr,ag_demand_clean
GCAM 7.0,Agricultural Production,million t DM/yr,ag_production_clean
GCAM 7.0,Agricultural Production|Energy,million t DM/yr,
GCAM 7.0,Agricultural Production|Energy|Crops,million t DM/yr,
GCAM 7.0,Agricultural Production|Energy|Residues,million t DM/yr,
GCAM 7.0,Agricultural Production|Non-Energy,million t DM/yr,
GCAM 7.0,Agricultural Production|Non-Energy|Crops,million t DM/yr,
GCAM 7.0,Agricultural Production|Non-Energy|Livestock,million t DM/yr,
GCAM 7.0,Capacity Additions|Electricity|Biomass,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Biomass|w/ CCS,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Biomass|w/o CCS,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Coal,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Coal|w/ CCS,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Coal|w/o CCS,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Gas,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Gas|w/ CCS,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Gas|w/o CCS,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Geothermal,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Hydro,GW/yr,
GCAM 7.0,Capacity Additions|Electricity|Nuclear,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Oil,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Oil|w/ CCS,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Oil|w/o CCS,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Solar,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Solar|CSP,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Solar|PV,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Storage Capacity,GWh/yr,
GCAM 7.0,Capacity Additions|Electricity|Transmissions Grid,GWkm/yr,
GCAM 7.0,Capacity Additions|Electricity|Wind,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Wind|Offshore,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity Additions|Electricity|Wind|Onshore,GW/yr,elec_capacity_add_clean
GCAM 7.0,Capacity|Electricity,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Biomass,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Biomass|w/ CCS,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Biomass|w/o CCS,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Coal,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Coal|w/ CCS,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Coal|w/o CCS,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Gas,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Gas|w/ CCS,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Gas|w/o CCS,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Geothermal,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Hydro,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Nuclear,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Ocean,GW,
GCAM 7.0,Capacity|Electricity|Oil,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Oil|w/ CCS,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Oil|w/o CCS,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Other,GW,
GCAM 7.0,Capacity|Electricity|Peak Demand,GW,
GCAM 7.0,Capacity|Electricity|Solar,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Solar|CSP,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Solar|PV,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Storage,GW,
GCAM 7.0,Capacity|Electricity|Storage Capacity,GW,
GCAM 7.0,Capacity|Electricity|Transmissions Grid,GW,
GCAM 7.0,Capacity|Electricity|Wind,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Wind|Offshore,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Electricity|Wind|Onshore,GW,elec_capacity_tot_clean
GCAM 7.0,Capacity|Gases,GW,
GCAM 7.0,Capacity|Gases|Biomass,GW,
GCAM 7.0,Capacity|Gases|Biomass|w/ CCS,GW,
GCAM 7.0,Capacity|Gases|Biomass|w/o CCS,GW,
GCAM 7.0,Capacity|Gases|Coal,GW,
GCAM 7.0,Capacity|Gases|Coal|w/ CCS,GW,
GCAM 7.0,Capacity|Gases|Coal|w/o CCS,GW,
GCAM 7.0,Capacity|Hydrogen,GW,
GCAM 7.0,Capacity|Hydrogen|Biomass,GW,
GCAM 7.0,Capacity|Hydrogen|Biomass|w/ CCS,GW,
GCAM 7.0,Capacity|Hydrogen|Biomass|w/o CCS,GW,
GCAM 7.0,Capacity|Hydrogen|Coal,GW,
GCAM 7.0,Capacity|Hydrogen|Coal|w/ CCS,GW,
GCAM 7.0,Capacity|Hydrogen|Coal|w/o CCS,GW,
GCAM 7.0,Capacity|Hydrogen|Electricity,GW,
GCAM 7.0,Capacity|Hydrogen|Gas,GW,
GCAM 7.0,Capacity|Hydrogen|Gas|w/ CCS,GW,
GCAM 7.0,Capacity|Hydrogen|Gas|w/o CCS,GW,
GCAM 7.0,Capacity|Liquids,GW,
GCAM 7.0,Capacity|Liquids|Biomass,GW,
GCAM 7.0,Capacity|Liquids|Biomass|w/ CCS,GW,
GCAM 7.0,Capacity|Liquids|Biomass|w/o CCS,GW,
GCAM 7.0,Capacity|Liquids|Coal,GW,
GCAM 7.0,Capacity|Liquids|Coal|w/ CCS,GW,
GCAM 7.0,Capacity|Liquids|Coal|w/o CCS,GW,
GCAM 7.0,Capacity|Liquids|Gas,GW,
GCAM 7.0,Capacity|Liquids|Gas|w/ CCS,GW,
GCAM 7.0,Capacity|Liquids|Gas|w/o CCS,GW,
GCAM 7.0,Capacity|Liquids|Oil,GW,
GCAM 7.0,Capacity|Transportation|Aviation|Freight,billion tkm/yr,
GCAM 7.0,Capacity|Transportation|Aviation|Passenger,billion pkm/yr,
GCAM 7.0,Capacity|Transportation|Maritime|Freight,billion tkm/yr,
